"Hours since thread went live","Dekisokonai to Yobareta Moto Eiyuu wa, Jikka kara Tsuihou Sareta no de Suki Katte ni Ikiru Koto ni Shita • The Banished Former Hero Lives as He Pleases - Episode 7 discussion"
38.416666666666664,9
38.5,9
38.583333333333336,8
38.666666666666664,14
38.75,10
38.833333333333336,9
38.916666666666664,9
39,9
39.083333333333336,10
39.166666666666664,11
39.25,8
39.333333333333336,10
39.416666666666664,11
39.5,9
39.583333333333336,11
39.666666666666664,10
39.75,9
39.833333333333336,9
39.916666666666664,11
40,7
40.083333333333336,14
40.166666666666664,11
40.25,9
40.333333333333336,11
40.416666666666664,10
40.5,13
40.583333333333336,12
40.666666666666664,10
40.75,9
40.833333333333336,12
40.916666666666664,8
41,9
41.083333333333336,8
41.166666666666664,12
41.25,7
41.333333333333336,11
41.416666666666664,11
41.5,13
41.583333333333336,8
41.666666666666664,9
41.75,13
41.833333333333336,10
41.916666666666664,7
42,9
42.083333333333336,13
42.166666666666664,8
42.25,8
42.333333333333336,7
42.416666666666664,7
42.5,8
42.583333333333336,9
42.666666666666664,9
42.75,8
42.833333333333336,9
42.916666666666664,9
43,12
43.083333333333336,10
43.166666666666664,13
43.25,11
43.333333333333336,10
43.416666666666664,11
43.5,9
43.583333333333336,8
43.666666666666664,12
43.75,7
43.833333333333336,6
43.916666666666664,11
44,6
44.083333333333336,8
44.166666666666664,9
44.25,8
44.333333333333336,12
44.416666666666664,12
44.5,7
44.583333333333336,12
44.666666666666664,9
44.75,9
44.833333333333336,10
44.916666666666664,9
45,12
45.083333333333336,11
45.166666666666664,10
45.25,12
45.333333333333336,8
45.416666666666664,7
45.5,11
45.583333333333336,11
45.666666666666664,7
45.75,8
45.833333333333336,14
45.916666666666664,8
46,10
46.083333333333336,11
46.166666666666664,12
46.25,11
46.333333333333336,8
46.416666666666664,9
46.5,10
46.583333333333336,8
46.666666666666664,7
46.75,9
46.833333333333336,7
46.916666666666664,7
47,10
47.083333333333336,9
47.166666666666664,11
47.25,10
47.333333333333336,12
47.416666666666664,14
47.5,7
47.583333333333336,10
47.666666666666664,13
47.75,10
47.833333333333336,8
47.916666666666664,9
