"Hours since thread went live","T.P BON - Episode 2 discussion"
39.5,4
39.583333333333336,5
39.666666666666664,6
39.75,5
39.833333333333336,4
39.916666666666664,5
40,6
40.083333333333336,5
40.166666666666664,3
40.25,5
40.333333333333336,4
40.416666666666664,5
40.5,3
40.583333333333336,6
40.666666666666664,5
40.75,4
40.833333333333336,6
40.916666666666664,5
41,4
41.083333333333336,4
41.166666666666664,7
41.25,6
41.333333333333336,7
41.416666666666664,6
41.5,5
41.583333333333336,4
41.666666666666664,4
41.75,4
41.833333333333336,3
41.916666666666664,3
42,5
42.083333333333336,4
42.166666666666664,4
42.25,4
42.333333333333336,6
42.416666666666664,5
42.5,7
42.583333333333336,3
42.666666666666664,4
42.75,6
42.833333333333336,3
42.916666666666664,6
43,4
43.083333333333336,4
43.166666666666664,3
43.25,5
43.333333333333336,5
43.416666666666664,3
43.5,5
43.583333333333336,5
43.666666666666664,5
43.75,7
43.833333333333336,3
43.916666666666664,7
44,4
44.083333333333336,5
44.166666666666664,6
44.25,3
44.333333333333336,6
44.416666666666664,3
44.5,5
44.583333333333336,5
44.666666666666664,2
44.75,6
44.833333333333336,4
44.916666666666664,6
45,4
45.083333333333336,4
45.166666666666664,3
45.25,3
45.333333333333336,3
45.416666666666664,4
45.5,5
45.583333333333336,4
45.666666666666664,4
45.75,5
45.833333333333336,2
45.916666666666664,4
46,4
46.083333333333336,4
46.166666666666664,4
46.25,4
46.333333333333336,2
46.416666666666664,5
46.5,3
46.583333333333336,4
46.666666666666664,3
46.75,5
46.833333333333336,6
46.916666666666664,3
47,4
47.083333333333336,6
47.166666666666664,4
47.25,4
47.333333333333336,4
47.416666666666664,4
47.5,2
47.583333333333336,6
47.666666666666664,4
47.75,4
47.833333333333336,3
47.916666666666664,2
