"Hours since thread went live","Meiji Gekken: 1874 - Episode 9 discussion"
39.166666666666664,38
39.25,35
39.333333333333336,39
39.416666666666664,42
39.5,37
39.583333333333336,37
39.666666666666664,36
39.75,40
39.833333333333336,42
39.916666666666664,36
40,38
40.083333333333336,40
40.166666666666664,37
40.25,38
40.333333333333336,37
40.416666666666664,38
40.5,40
40.583333333333336,36
40.666666666666664,38
40.75,40
40.833333333333336,39
40.916666666666664,38
41,37
41.083333333333336,40
41.166666666666664,36
41.25,41
41.333333333333336,40
41.416666666666664,38
41.5,40
41.583333333333336,38
41.666666666666664,40
41.75,39
41.833333333333336,37
41.916666666666664,42
42,39
42.083333333333336,38
42.166666666666664,40
42.25,39
42.333333333333336,39
42.416666666666664,36
42.5,39
42.583333333333336,38
42.666666666666664,35
42.75,38
42.833333333333336,41
42.916666666666664,37
43,38
43.083333333333336,42
43.166666666666664,39
43.25,41
43.333333333333336,36
43.416666666666664,39
43.5,37
43.583333333333336,42
43.666666666666664,38
43.75,38
43.833333333333336,38
43.916666666666664,34
44,39
44.083333333333336,38
44.166666666666664,35
44.25,40
44.333333333333336,35
44.416666666666664,39
44.5,37
44.583333333333336,35
44.666666666666664,40
44.75,36
44.833333333333336,42
44.916666666666664,38
45,38
45.083333333333336,39
45.166666666666664,36
45.25,41
45.333333333333336,42
45.416666666666664,36
45.5,39
45.583333333333336,40
45.666666666666664,36
45.75,39
45.833333333333336,39
45.916666666666664,41
46,39
46.083333333333336,35
46.166666666666664,41
46.25,40
46.333333333333336,38
46.416666666666664,39
46.5,38
46.583333333333336,39
46.666666666666664,38
46.75,41
46.833333333333336,38
46.916666666666664,38
47,36
47.083333333333336,41
47.166666666666664,39
47.25,39
47.333333333333336,39
47.416666666666664,39
47.5,40
47.583333333333336,41
47.666666666666664,43
47.75,38
47.833333333333336,42
47.916666666666664,38
