"Hours since thread went live","Highspeed Étoile - Episode 1 discussion"
33.666666666666664,120
33.75,116
33.833333333333336,120
33.916666666666664,119
34,119
34.083333333333336,120
34.166666666666664,120
34.25,119
34.333333333333336,118
34.416666666666664,121
34.5,120
34.583333333333336,119
34.666666666666664,121
34.75,116
34.833333333333336,121
34.916666666666664,121
35,124
35.083333333333336,121
35.166666666666664,121
35.25,119
35.333333333333336,121
35.416666666666664,122
35.5,121
35.583333333333336,121
35.666666666666664,122
35.75,125
35.833333333333336,123
35.916666666666664,120
36,123
36.083333333333336,121
36.166666666666664,124
36.25,121
36.333333333333336,120
36.416666666666664,122
36.5,120
36.583333333333336,121
36.666666666666664,121
36.75,124
36.833333333333336,121
36.916666666666664,122
37,118
37.083333333333336,120
37.166666666666664,126
37.25,123
37.333333333333336,121
37.416666666666664,121
37.5,120
37.583333333333336,126
37.666666666666664,124
37.75,118
37.833333333333336,125
37.916666666666664,125
38,119
38.083333333333336,124
38.166666666666664,123
38.25,120
38.333333333333336,124
38.416666666666664,126
38.5,125
38.583333333333336,125
38.666666666666664,120
38.75,122
38.833333333333336,119
38.916666666666664,122
39,125
39.083333333333336,127
39.166666666666664,121
39.25,122
39.333333333333336,124
39.416666666666664,123
39.5,124
39.583333333333336,119
39.666666666666664,123
39.75,124
39.833333333333336,122
39.916666666666664,119
40,127
40.083333333333336,126
40.166666666666664,123
40.25,123
40.333333333333336,121
40.416666666666664,122
40.5,120
40.583333333333336,123
40.666666666666664,123
40.75,126
40.833333333333336,127
40.916666666666664,124
41,124
41.083333333333336,123
41.166666666666664,121
41.25,124
41.333333333333336,121
41.416666666666664,124
41.5,124
41.583333333333336,124
41.666666666666664,125
41.75,123
41.833333333333336,127
41.916666666666664,123
42,123
42.083333333333336,125
42.166666666666664,121
42.25,124
42.333333333333336,125
42.416666666666664,123
42.5,126
42.583333333333336,124
42.666666666666664,121
42.75,127
42.833333333333336,122
42.916666666666664,121
43,127
43.083333333333336,123
43.166666666666664,123
43.25,124
43.333333333333336,123
43.416666666666664,122
43.5,121
43.583333333333336,123
43.666666666666664,125
43.75,127
43.833333333333336,123
43.916666666666664,122
44,123
44.083333333333336,121
44.166666666666664,122
44.25,121
44.333333333333336,120
44.416666666666664,125
44.5,124
44.583333333333336,123
44.666666666666664,120
44.75,123
44.833333333333336,124
44.916666666666664,126
45,121
45.083333333333336,123
45.166666666666664,124
45.25,123
45.333333333333336,123
45.416666666666664,121
45.5,127
45.583333333333336,125
45.666666666666664,124
45.75,127
45.833333333333336,122
45.916666666666664,120
46,123
46.083333333333336,126
46.166666666666664,123
46.25,123
46.333333333333336,126
46.416666666666664,126
46.5,124
46.583333333333336,122
46.666666666666664,120
46.75,126
46.833333333333336,124
46.916666666666664,120
47,120
47.083333333333336,126
47.166666666666664,123
47.25,123
47.333333333333336,122
47.416666666666664,121
47.5,120
47.583333333333336,122
47.666666666666664,123
47.75,122
47.833333333333336,122
47.916666666666664,122
