"Hours since thread went live","Kaijuu 8-gou • Kaiju No. 8 - Episode 2 discussion"
24.25,2054
24.333333333333332,2051
24.416666666666668,2058
24.5,2055
24.583333333333332,2058
24.666666666666668,2057
24.75,2064
24.833333333333332,2067
24.916666666666668,2071
25,2066
25.083333333333332,2072
25.166666666666668,2074
25.25,2082
25.333333333333332,2076
25.416666666666668,2080
25.5,2082
25.583333333333332,2077
25.666666666666668,2080
25.75,2085
25.833333333333332,2083
25.916666666666668,2093
26,2099
26.083333333333332,2096
26.166666666666668,2098
26.25,2098
26.333333333333332,2101
26.416666666666668,2107
26.5,2103
26.583333333333332,2108
26.666666666666668,2110
26.75,2112
26.833333333333332,2118
26.916666666666668,2118
27,2120
27.083333333333332,2125
27.166666666666668,2121
27.25,2120
27.333333333333332,2123
27.416666666666668,2125
27.5,2124
27.583333333333332,2125
27.666666666666668,2135
27.75,2131
27.833333333333332,2132
27.916666666666668,2134
28,2136
28.083333333333332,2142
28.166666666666668,2137
28.25,2138
28.333333333333332,2137
28.416666666666668,2140
28.5,2143
28.583333333333332,2145
28.666666666666668,2144
28.75,2153
28.833333333333332,2148
28.916666666666668,2149
29,2152
29.083333333333332,2146
29.166666666666668,2154
29.25,2146
29.333333333333332,2152
29.416666666666668,2145
29.5,2151
29.583333333333332,2154
29.666666666666668,2149
29.75,2150
29.833333333333332,2155
29.916666666666668,2158
30,2157
30.083333333333332,2158
30.166666666666668,2162
30.25,2161
30.333333333333332,2163
30.416666666666668,2161
30.5,2160
30.583333333333332,2165
30.666666666666668,2163
30.75,2169
30.833333333333332,2169
30.916666666666668,2165
31,2173
31.083333333333332,2170
31.166666666666668,2176
31.333333333333332,2179
31.416666666666668,2180
31.5,2185
31.583333333333332,2186
31.666666666666668,2181
31.75,2188
31.833333333333332,2186
31.916666666666668,2183
32,2185
32.083333333333336,2186
32.166666666666664,2189
32.25,2189
32.333333333333336,2189
32.416666666666664,2189
32.5,2191
32.583333333333336,2190
32.666666666666664,2195
32.75,2195
32.833333333333336,2190
32.916666666666664,2198
33,2195
33.083333333333336,2201
33.166666666666664,2202
33.25,2199
33.333333333333336,2197
33.416666666666664,2196
33.5,2194
33.583333333333336,2196
33.666666666666664,2202
33.75,2204
33.833333333333336,2204
33.916666666666664,2199
34,2207
34.083333333333336,2208
34.166666666666664,2207
34.25,2204
34.333333333333336,2211
34.416666666666664,2213
34.5,2208
34.583333333333336,2209
34.666666666666664,2214
34.75,2210
34.833333333333336,2215
34.916666666666664,2216
35,2218
35.083333333333336,2220
35.166666666666664,2214
35.25,2220
35.333333333333336,2220
35.416666666666664,2216
35.5,2217
35.583333333333336,2221
35.666666666666664,2221
35.75,2222
35.833333333333336,2219
35.916666666666664,2218
36,2227
36.083333333333336,2222
36.166666666666664,2227
36.25,2224
36.333333333333336,2227
36.416666666666664,2231
36.5,2228
36.583333333333336,2232
36.666666666666664,2232
36.75,2230
36.833333333333336,2230
36.916666666666664,2239
37,2242
37.083333333333336,2234
37.166666666666664,2232
37.25,2238
37.333333333333336,2238
37.416666666666664,2238
37.5,2236
37.583333333333336,2239
37.666666666666664,2238
37.75,2241
37.833333333333336,2241
37.916666666666664,2241
38,2236
38.083333333333336,2240
38.166666666666664,2245
38.25,2243
38.333333333333336,2243
38.416666666666664,2241
38.5,2247
38.583333333333336,2250
38.666666666666664,2253
38.75,2247
38.833333333333336,2248
38.916666666666664,2253
39,2252
39.083333333333336,2253
39.166666666666664,2255
39.25,2253
39.333333333333336,2257
39.416666666666664,2252
39.5,2250
39.583333333333336,2253
39.666666666666664,2253
39.75,2261
39.833333333333336,2256
39.916666666666664,2256
40,2260
40.083333333333336,2253
40.166666666666664,2257
40.25,2258
40.333333333333336,2256
40.416666666666664,2261
40.5,2255
40.583333333333336,2253
40.666666666666664,2259
40.75,2255
40.833333333333336,2256
40.916666666666664,2256
41,2263
41.083333333333336,2258
41.166666666666664,2263
41.25,2255
41.333333333333336,2267
41.416666666666664,2261
41.5,2259
41.583333333333336,2268
41.666666666666664,2263
41.75,2265
41.833333333333336,2263
41.916666666666664,2270
42,2271
42.083333333333336,2267
42.166666666666664,2261
42.25,2263
42.333333333333336,2271
42.416666666666664,2273
42.5,2265
42.583333333333336,2268
42.666666666666664,2267
42.75,2266
42.833333333333336,2265
42.916666666666664,2264
43,2269
43.083333333333336,2269
43.166666666666664,2267
43.25,2271
43.333333333333336,2269
43.416666666666664,2275
43.5,2267
43.583333333333336,2266
43.666666666666664,2271
43.75,2269
43.833333333333336,2273
43.916666666666664,2270
44,2274
44.083333333333336,2275
44.166666666666664,2275
44.25,2276
44.333333333333336,2276
44.416666666666664,2276
44.5,2271
44.583333333333336,2273
44.666666666666664,2278
44.75,2275
44.833333333333336,2270
44.916666666666664,2276
45,2280
45.083333333333336,2274
45.166666666666664,2272
45.25,2275
45.333333333333336,2275
45.416666666666664,2276
45.5,2271
45.583333333333336,2275
45.666666666666664,2275
45.75,2272
45.833333333333336,2275
45.916666666666664,2275
46,2275
46.083333333333336,2278
46.166666666666664,2274
46.25,2274
46.333333333333336,2278
46.416666666666664,2277
46.5,2278
46.583333333333336,2280
46.666666666666664,2278
46.75,2278
46.833333333333336,2277
46.916666666666664,2279
47,2279
47.083333333333336,2280
47.166666666666664,2281
47.25,2283
47.333333333333336,2285
47.416666666666664,2283
47.5,2285
47.583333333333336,2283
47.666666666666664,2280
47.75,2281
47.833333333333336,2281
47.916666666666664,2280
