"Hours since thread went live","Mahou Shoujo ni Akogarete • Gushing over Magical Girls - Episode 11 discussion"
22.166666666666668,1386
22.25,1389
22.333333333333332,1387
22.416666666666668,1388
22.5,1392
22.583333333333332,1397
22.666666666666668,1399
22.75,1398
22.833333333333332,1399
22.916666666666668,1399
23,1400
23.083333333333332,1403
23.166666666666668,1406
23.25,1416
23.333333333333332,1409
23.416666666666668,1419
23.5,1419
23.583333333333332,1417
23.666666666666668,1425
23.75,1424
23.833333333333332,1427
23.916666666666668,1421
24,1423
24.083333333333332,1426
24.166666666666668,1433
24.25,1436
24.333333333333332,1433
24.416666666666668,1435
24.5,1436
24.583333333333332,1438
24.666666666666668,1441
24.75,1445
24.833333333333332,1439
24.916666666666668,1445
25,1444
25.083333333333332,1450
25.166666666666668,1454
25.25,1448
25.333333333333332,1447
25.416666666666668,1445
25.5,1455
25.583333333333332,1458
25.666666666666668,1455
25.75,1455
25.833333333333332,1461
25.916666666666668,1453
26,1460
26.083333333333332,1461
26.166666666666668,1465
26.25,1460
26.333333333333332,1456
26.416666666666668,1460
26.5,1462
26.583333333333332,1464
26.666666666666668,1468
26.75,1468
26.833333333333332,1467
26.916666666666668,1470
27,1476
27.083333333333332,1471
27.166666666666668,1468
27.25,1476
27.333333333333332,1468
27.416666666666668,1476
27.5,1476
27.583333333333332,1472
27.666666666666668,1475
27.75,1475
27.833333333333332,1476
27.916666666666668,1475
28,1477
28.083333333333332,1482
28.166666666666668,1484
28.25,1479
28.333333333333332,1482
28.416666666666668,1481
28.5,1481
28.583333333333332,1480
28.666666666666668,1484
28.75,1483
28.833333333333332,1483
28.916666666666668,1485
29,1485
29.083333333333332,1489
29.166666666666668,1486
29.25,1484
29.333333333333332,1484
29.416666666666668,1488
29.5,1486
29.583333333333332,1485
29.666666666666668,1490
29.75,1490
29.833333333333332,1493
29.916666666666668,1494
30,1489
30.083333333333332,1489
30.166666666666668,1493
30.25,1486
30.333333333333332,1493
30.416666666666668,1493
30.5,1491
30.583333333333332,1492
30.666666666666668,1495
30.75,1496
30.833333333333332,1492
30.916666666666668,1494
31,1492
31.083333333333332,1495
31.166666666666668,1498
31.25,1499
31.333333333333332,1492
31.416666666666668,1495
31.5,1492
31.583333333333332,1500
31.666666666666668,1501
31.75,1503
31.833333333333332,1501
31.916666666666668,1499
32,1499
32.083333333333336,1500
32.166666666666664,1504
32.25,1505
32.333333333333336,1504
32.416666666666664,1505
32.5,1503
32.583333333333336,1504
32.666666666666664,1502
32.75,1503
32.833333333333336,1502
32.916666666666664,1507
33,1509
33.083333333333336,1505
33.166666666666664,1512
33.25,1509
33.333333333333336,1508
33.416666666666664,1512
33.5,1510
33.583333333333336,1509
33.666666666666664,1510
33.75,1508
33.833333333333336,1517
33.916666666666664,1515
34,1512
34.083333333333336,1512
34.166666666666664,1511
34.25,1515
34.333333333333336,1512
34.416666666666664,1514
34.5,1514
34.583333333333336,1519
34.666666666666664,1513
34.75,1518
34.833333333333336,1512
34.916666666666664,1517
35,1519
35.083333333333336,1514
35.166666666666664,1514
35.25,1522
35.333333333333336,1522
35.416666666666664,1516
35.5,1519
35.583333333333336,1523
35.666666666666664,1527
35.75,1526
35.833333333333336,1521
35.916666666666664,1520
36,1527
36.083333333333336,1525
36.166666666666664,1523
36.25,1524
36.333333333333336,1524
36.416666666666664,1526
36.5,1531
36.583333333333336,1522
36.666666666666664,1527
36.75,1528
36.833333333333336,1528
36.916666666666664,1529
37,1525
37.083333333333336,1527
37.166666666666664,1528
37.25,1524
37.333333333333336,1528
37.416666666666664,1526
37.5,1528
37.583333333333336,1526
37.666666666666664,1533
37.75,1530
37.833333333333336,1527
37.916666666666664,1529
38,1530
38.083333333333336,1532
38.166666666666664,1535
38.25,1532
38.333333333333336,1528
38.416666666666664,1532
38.5,1535
38.583333333333336,1535
38.666666666666664,1531
38.75,1532
38.833333333333336,1530
38.916666666666664,1531
39,1539
39.083333333333336,1530
39.166666666666664,1534
39.25,1531
39.333333333333336,1536
39.416666666666664,1539
39.5,1534
39.583333333333336,1534
39.666666666666664,1532
39.75,1537
39.833333333333336,1535
39.916666666666664,1538
40,1538
40.083333333333336,1538
40.166666666666664,1542
40.25,1540
40.333333333333336,1538
40.416666666666664,1542
40.5,1539
40.583333333333336,1541
40.666666666666664,1542
40.75,1541
40.833333333333336,1538
40.916666666666664,1536
41,1545
41.083333333333336,1542
41.166666666666664,1541
41.25,1540
41.333333333333336,1546
41.416666666666664,1545
41.5,1538
41.583333333333336,1542
41.666666666666664,1543
41.75,1548
41.833333333333336,1548
41.916666666666664,1544
42,1541
42.083333333333336,1542
42.166666666666664,1543
42.25,1545
42.333333333333336,1543
42.416666666666664,1543
42.5,1546
42.583333333333336,1546
42.666666666666664,1548
42.75,1546
42.833333333333336,1551
42.916666666666664,1546
43,1545
43.083333333333336,1549
43.166666666666664,1551
43.25,1551
43.333333333333336,1550
43.416666666666664,1553
43.5,1552
43.583333333333336,1548
43.666666666666664,1555
43.75,1558
43.833333333333336,1553
43.916666666666664,1554
44,1550
44.083333333333336,1554
44.166666666666664,1549
44.25,1552
44.333333333333336,1558
44.416666666666664,1553
44.5,1559
44.583333333333336,1556
44.666666666666664,1560
44.75,1562
44.833333333333336,1558
44.916666666666664,1562
45,1559
45.083333333333336,1560
45.166666666666664,1564
45.25,1565
45.333333333333336,1556
45.416666666666664,1556
45.5,1556
45.583333333333336,1562
45.666666666666664,1563
45.75,1562
45.833333333333336,1562
45.916666666666664,1560
46,1563
46.083333333333336,1561
46.166666666666664,1566
46.25,1560
46.333333333333336,1562
46.416666666666664,1566
46.5,1566
46.583333333333336,1562
46.666666666666664,1562
46.75,1563
46.833333333333336,1564
46.916666666666664,1567
47,1565
47.083333333333336,1568
47.166666666666664,1565
47.25,1566
47.333333333333336,1568
47.416666666666664,1566
47.5,1563
47.583333333333336,1568
47.666666666666664,1570
47.75,1564
47.833333333333336,1563
47.916666666666664,1569
