"Hours since thread went live","Ragna Crimson - Episode 19 discussion"
46.833333333333336,400
46.916666666666664,393
47,394
47.083333333333336,397
47.166666666666664,403
47.25,397
47.333333333333336,393
47.416666666666664,396
47.5,404
47.583333333333336,396
47.666666666666664,401
47.75,398
47.833333333333336,399
47.916666666666664,399
