"Hours since thread went live","Oi! Tonbo • Tonbo! - Episode 6 discussion"
21.833333333333332,59
21.916666666666668,55
22,56
22.083333333333332,57
22.166666666666668,56
22.25,57
22.333333333333332,56
22.416666666666668,54
22.5,58
22.583333333333332,57
22.666666666666668,60
22.75,60
22.833333333333332,58
22.916666666666668,61
23,59
23.083333333333332,59
23.166666666666668,59
23.25,59
23.333333333333332,59
23.416666666666668,57
23.5,56
23.583333333333332,60
23.666666666666668,61
23.75,60
23.833333333333332,58
23.916666666666668,61
24,59
24.083333333333332,62
24.166666666666668,57
24.25,61
24.333333333333332,62
24.416666666666668,61
24.5,62
24.583333333333332,61
24.666666666666668,58
24.75,61
24.833333333333332,62
24.916666666666668,59
25,58
25.083333333333332,59
25.166666666666668,60
25.25,60
25.333333333333332,59
25.416666666666668,60
25.5,61
25.583333333333332,62
25.666666666666668,61
25.75,61
25.833333333333332,64
25.916666666666668,63
26,61
26.083333333333332,65
26.166666666666668,64
26.25,64
26.333333333333332,61
26.416666666666668,65
26.5,64
26.583333333333332,61
26.666666666666668,63
26.75,63
26.833333333333332,66
26.916666666666668,65
27,65
27.083333333333332,64
27.166666666666668,66
27.25,60
27.333333333333332,66
27.416666666666668,63
27.5,63
27.583333333333332,63
27.666666666666668,64
27.75,62
27.833333333333332,63
27.916666666666668,66
28,61
28.083333333333332,63
28.166666666666668,63
28.25,64
28.333333333333332,63
28.416666666666668,60
28.5,62
28.583333333333332,65
28.666666666666668,65
28.75,62
28.833333333333332,66
28.916666666666668,66
29,64
29.083333333333332,65
29.166666666666668,66
29.25,66
29.333333333333332,64
29.416666666666668,63
29.5,67
29.583333333333332,67
29.666666666666668,66
29.75,66
29.833333333333332,65
29.916666666666668,62
30,65
30.083333333333332,63
30.166666666666668,64
30.25,64
30.333333333333332,67
30.416666666666668,64
30.5,67
30.583333333333332,64
30.666666666666668,67
30.75,64
30.833333333333332,63
30.916666666666668,66
31,67
31.083333333333332,65
31.166666666666668,63
31.25,67
31.333333333333332,64
31.416666666666668,64
31.5,65
31.583333333333332,66
31.666666666666668,63
31.75,66
31.833333333333332,65
31.916666666666668,64
32,67
32.083333333333336,64
32.166666666666664,65
32.25,64
32.333333333333336,67
32.416666666666664,67
32.5,66
32.583333333333336,64
32.666666666666664,67
32.75,65
32.833333333333336,65
32.916666666666664,65
33,67
33.083333333333336,65
33.166666666666664,63
33.25,67
33.333333333333336,64
33.416666666666664,61
33.5,64
33.583333333333336,64
33.666666666666664,67
33.75,66
33.833333333333336,62
33.916666666666664,65
34,62
34.083333333333336,64
34.166666666666664,65
34.25,67
34.333333333333336,65
34.416666666666664,66
34.5,64
34.583333333333336,64
34.666666666666664,62
34.75,64
34.833333333333336,65
34.916666666666664,65
35,65
35.083333333333336,66
35.166666666666664,65
35.25,64
35.333333333333336,61
35.416666666666664,64
35.5,64
35.583333333333336,62
35.666666666666664,64
35.75,65
35.833333333333336,67
35.916666666666664,67
36,66
36.083333333333336,66
36.166666666666664,66
36.25,67
36.333333333333336,67
36.416666666666664,67
36.5,67
36.583333333333336,66
36.666666666666664,67
36.75,66
36.833333333333336,67
36.916666666666664,67
37,66
37.083333333333336,67
37.166666666666664,69
37.25,65
37.333333333333336,68
37.416666666666664,69
37.5,68
37.583333333333336,69
37.666666666666664,68
37.75,68
37.833333333333336,65
37.916666666666664,68
38,67
38.083333333333336,69
38.166666666666664,67
38.25,65
38.333333333333336,65
38.416666666666664,69
38.5,70
38.583333333333336,70
38.666666666666664,69
38.75,66
38.833333333333336,69
38.916666666666664,71
39,68
39.083333333333336,67
39.166666666666664,67
39.25,69
39.333333333333336,70
39.416666666666664,69
39.5,69
39.583333333333336,68
39.666666666666664,71
39.75,68
39.833333333333336,72
39.916666666666664,68
40,68
40.083333333333336,71
40.166666666666664,69
40.25,68
40.333333333333336,70
40.416666666666664,67
40.5,69
40.583333333333336,72
40.666666666666664,70
40.75,68
40.833333333333336,69
40.916666666666664,67
41,72
41.083333333333336,66
41.166666666666664,68
41.25,69
41.333333333333336,69
41.416666666666664,71
41.5,69
41.583333333333336,69
41.666666666666664,68
41.75,66
41.833333333333336,70
41.916666666666664,68
42,71
42.083333333333336,71
42.166666666666664,69
42.25,71
42.333333333333336,72
42.416666666666664,67
42.5,69
42.583333333333336,69
42.666666666666664,67
42.75,69
42.833333333333336,69
42.916666666666664,70
43,68
43.083333333333336,72
43.166666666666664,69
43.25,70
43.333333333333336,70
43.416666666666664,70
43.5,70
43.583333333333336,70
43.666666666666664,67
43.75,70
43.833333333333336,69
43.916666666666664,73
44,70
44.083333333333336,70
44.166666666666664,70
44.25,70
44.333333333333336,71
44.416666666666664,73
44.5,68
44.583333333333336,72
44.666666666666664,68
44.75,70
44.833333333333336,70
44.916666666666664,68
45,69
45.083333333333336,70
45.166666666666664,72
45.25,67
45.333333333333336,71
45.416666666666664,72
45.5,73
45.583333333333336,72
45.666666666666664,70
45.75,72
45.833333333333336,69
45.916666666666664,68
46,70
46.083333333333336,72
46.166666666666664,72
46.25,73
46.333333333333336,70
46.416666666666664,72
46.5,70
46.583333333333336,68
46.666666666666664,70
46.75,72
46.833333333333336,72
46.916666666666664,68
47,70
47.083333333333336,68
47.166666666666664,68
47.25,71
47.333333333333336,69
47.416666666666664,68
47.5,68
47.583333333333336,70
47.666666666666664,71
47.75,69
47.833333333333336,68
47.916666666666664,67
