"Hours since thread went live","Hananoi-kun to Koi no Yamai • A Condition Called Love - Episode 1 discussion"
46.416666666666664,527
46.5,525
46.583333333333336,524
46.666666666666664,524
46.75,527
46.833333333333336,524
46.916666666666664,529
47,530
47.083333333333336,535
47.166666666666664,531
47.25,530
47.333333333333336,528
47.416666666666664,528
47.5,529
47.583333333333336,535
47.666666666666664,532
47.75,527
47.833333333333336,533
47.916666666666664,531
