"Hours since thread went live","Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo • The 100 Girlfriends Who Really, Really, Really, Really, Really Love You - Episode 2 discussion"
21.083333333333332,2307
21.166666666666668,2310
21.25,2310
21.333333333333332,2307
21.416666666666668,2310
21.5,2305
21.583333333333332,2306
21.666666666666668,2309
21.75,2322
21.833333333333332,2318
21.916666666666668,2327
22,2327
22.083333333333332,2330
22.166666666666668,2324
22.25,2331
22.333333333333332,2339
22.416666666666668,2335
22.5,2338
22.583333333333332,2349
22.666666666666668,2349
22.75,2348
22.833333333333332,2357
22.916666666666668,2355
23,2358
23.083333333333332,2360
23.166666666666668,2362
23.25,2364
23.333333333333332,2366
23.416666666666668,2366
23.5,2370
23.583333333333332,2376
23.666666666666668,2379
23.75,2374
23.833333333333332,2378
23.916666666666668,2387
24,2384
24.083333333333332,2389
24.166666666666668,2391
24.25,2392
24.333333333333332,2393
24.416666666666668,2393
24.5,2395
24.583333333333332,2395
24.666666666666668,2400
24.75,2394
24.833333333333332,2403
24.916666666666668,2400
25,2406
25.083333333333332,2407
25.166666666666668,2410
25.25,2413
25.333333333333332,2408
25.416666666666668,2412
25.5,2411
25.583333333333332,2417
25.666666666666668,2420
25.75,2423
25.833333333333332,2419
25.916666666666668,2425
26,2427
26.083333333333332,2433
26.166666666666668,2428
26.25,2437
26.333333333333332,2434
26.416666666666668,2432
26.5,2433
26.583333333333332,2440
26.666666666666668,2440
26.75,2441
26.833333333333332,2444
26.916666666666668,2445
27,2444
27.083333333333332,2449
27.166666666666668,2449
27.25,2452
27.333333333333332,2449
27.416666666666668,2454
27.5,2454
27.583333333333332,2452
27.666666666666668,2457
27.75,2457
27.833333333333332,2453
27.916666666666668,2454
28,2463
28.083333333333332,2459
28.166666666666668,2462
28.25,2462
28.333333333333332,2464
28.416666666666668,2465
28.5,2466
28.583333333333332,2465
28.666666666666668,2473
28.75,2470
28.833333333333332,2472
28.916666666666668,2469
29,2469
29.083333333333332,2472
29.166666666666668,2474
29.25,2478
29.333333333333332,2475
29.416666666666668,2477
29.5,2482
29.583333333333332,2476
29.666666666666668,2481
29.75,2491
29.833333333333332,2490
29.916666666666668,2489
30,2491
30.083333333333332,2489
30.166666666666668,2497
30.25,2496
30.333333333333332,2496
30.416666666666668,2490
30.5,2495
30.583333333333332,2491
30.666666666666668,2495
30.75,2493
30.833333333333332,2493
30.916666666666668,2503
31,2492
31.083333333333332,2497
31.166666666666668,2494
31.25,2494
31.333333333333332,2499
31.416666666666668,2503
31.5,2494
31.583333333333332,2501
31.666666666666668,2501
31.75,2503
31.833333333333332,2503
31.916666666666668,2506
32,2505
32.083333333333336,2503
32.166666666666664,2509
32.25,2500
32.333333333333336,2504
32.416666666666664,2502
32.5,2506
32.583333333333336,2506
32.666666666666664,2504
32.75,2509
32.833333333333336,2506
32.916666666666664,2515
33,2514
33.083333333333336,2511
33.166666666666664,2516
33.25,2507
33.333333333333336,2514
33.416666666666664,2517
33.5,2514
33.583333333333336,2517
33.666666666666664,2517
33.75,2519
33.833333333333336,2516
33.916666666666664,2521
34,2524
34.083333333333336,2517
34.166666666666664,2514
34.25,2516
34.333333333333336,2518
34.416666666666664,2524
34.5,2518
34.583333333333336,2520
34.666666666666664,2526
34.75,2522
34.833333333333336,2520
34.916666666666664,2524
35,2525
35.083333333333336,2525
35.166666666666664,2523
35.25,2527
35.333333333333336,2529
35.416666666666664,2526
35.5,2526
35.583333333333336,2528
35.666666666666664,2530
35.75,2529
35.833333333333336,2533
35.916666666666664,2529
36,2532
36.083333333333336,2528
36.166666666666664,2529
36.25,2532
36.333333333333336,2536
36.416666666666664,2531
36.5,2534
36.583333333333336,2535
36.666666666666664,2533
36.75,2533
36.833333333333336,2535
36.916666666666664,2535
37,2531
37.083333333333336,2531
37.166666666666664,2533
37.25,2535
37.333333333333336,2532
37.416666666666664,2538
37.5,2533
37.583333333333336,2538
37.666666666666664,2540
37.75,2536
37.833333333333336,2535
37.916666666666664,2534
38,2541
38.083333333333336,2541
38.166666666666664,2535
38.25,2539
38.333333333333336,2539
38.416666666666664,2537
38.5,2543
38.583333333333336,2540
38.666666666666664,2535
38.75,2540
38.833333333333336,2543
38.916666666666664,2539
39,2538
39.083333333333336,2544
39.166666666666664,2534
39.25,2542
39.333333333333336,2536
39.416666666666664,2536
39.5,2546
39.583333333333336,2537
39.666666666666664,2541
39.75,2540
39.833333333333336,2546
39.916666666666664,2545
40,2542
40.083333333333336,2542
40.166666666666664,2546
40.25,2546
40.333333333333336,2541
40.416666666666664,2541
40.5,2543
40.583333333333336,2547
40.666666666666664,2545
40.75,2542
40.833333333333336,2539
40.916666666666664,2546
41,2542
41.083333333333336,2544
41.166666666666664,2542
41.25,2540
41.333333333333336,2541
41.416666666666664,2548
41.5,2545
41.583333333333336,2547
41.666666666666664,2546
41.75,2544
41.833333333333336,2546
41.916666666666664,2548
42,2549
42.083333333333336,2549
42.166666666666664,2549
42.25,2552
42.333333333333336,2545
42.416666666666664,2548
42.5,2549
42.583333333333336,2553
42.666666666666664,2549
42.75,2551
42.833333333333336,2544
42.916666666666664,2544
43,2553
43.083333333333336,2545
43.166666666666664,2548
43.25,2552
43.333333333333336,2551
43.416666666666664,2547
43.5,2551
43.583333333333336,2547
43.666666666666664,2547
43.75,2554
43.833333333333336,2553
43.916666666666664,2555
44,2548
44.083333333333336,2554
44.166666666666664,2552
44.25,2555
44.333333333333336,2548
44.416666666666664,2549
44.5,2547
44.583333333333336,2556
44.666666666666664,2553
44.75,2553
44.833333333333336,2555
44.916666666666664,2558
45,2559
45.083333333333336,2556
45.166666666666664,2553
45.25,2554
45.333333333333336,2557
45.416666666666664,2554
45.5,2558
45.583333333333336,2553
45.666666666666664,2558
45.75,2551
45.833333333333336,2552
45.916666666666664,2561
46,2559
46.083333333333336,2558
46.166666666666664,2555
46.25,2561
46.333333333333336,2562
46.416666666666664,2555
46.5,2562
46.583333333333336,2555
46.666666666666664,2557
46.75,2559
46.833333333333336,2558
46.916666666666664,2555
47,2559
47.083333333333336,2565
47.166666666666664,2555
47.25,2560
47.333333333333336,2562
47.416666666666664,2559
47.5,2556
47.583333333333336,2558
47.666666666666664,2564
47.75,2561
47.833333333333336,2567
47.916666666666664,2567
