"Hours since thread went live","Boukyaku Battery • Oblivion Battery - Episode 2 discussion"
35.25,99
35.333333333333336,101
35.416666666666664,103
35.5,98
35.583333333333336,100
35.666666666666664,99
35.75,99
35.833333333333336,103
35.916666666666664,102
36,103
36.083333333333336,101
36.166666666666664,102
36.25,103
36.333333333333336,99
36.416666666666664,98
36.5,100
36.583333333333336,99
36.666666666666664,100
36.75,99
36.833333333333336,99
36.916666666666664,100
37,103
37.083333333333336,97
37.166666666666664,99
37.25,99
37.333333333333336,100
37.416666666666664,96
37.5,100
37.583333333333336,101
37.666666666666664,96
37.75,101
37.833333333333336,101
37.916666666666664,98
38,96
38.083333333333336,97
38.166666666666664,101
38.25,96
38.333333333333336,102
38.416666666666664,103
38.5,102
38.583333333333336,98
38.666666666666664,99
38.75,99
38.833333333333336,99
38.916666666666664,102
39,103
39.083333333333336,101
39.166666666666664,102
39.25,99
39.333333333333336,99
39.416666666666664,100
39.5,102
39.583333333333336,100
39.666666666666664,98
39.75,100
39.833333333333336,104
39.916666666666664,103
40,102
40.083333333333336,102
40.166666666666664,99
40.25,103
40.333333333333336,100
40.416666666666664,99
40.5,100
40.583333333333336,103
40.666666666666664,102
40.75,100
40.833333333333336,102
40.916666666666664,102
41,98
41.083333333333336,100
41.166666666666664,99
41.25,99
41.333333333333336,99
41.416666666666664,99
41.5,102
41.583333333333336,101
41.666666666666664,98
41.75,102
41.833333333333336,104
41.916666666666664,104
42,101
42.083333333333336,104
42.166666666666664,100
42.25,102
42.333333333333336,103
42.416666666666664,98
42.5,99
42.583333333333336,105
42.666666666666664,101
42.75,98
42.833333333333336,100
42.916666666666664,99
43,101
43.083333333333336,102
43.166666666666664,99
43.25,101
43.333333333333336,98
43.416666666666664,100
43.5,100
43.583333333333336,100
43.666666666666664,100
43.75,104
43.833333333333336,104
43.916666666666664,99
44,100
44.083333333333336,97
44.166666666666664,103
44.25,101
44.333333333333336,101
44.416666666666664,101
44.5,101
44.583333333333336,100
44.666666666666664,103
44.75,101
44.833333333333336,104
44.916666666666664,100
45,99
45.083333333333336,105
45.166666666666664,101
45.25,100
45.333333333333336,100
45.416666666666664,101
45.5,101
45.583333333333336,100
45.666666666666664,99
45.75,102
45.833333333333336,98
45.916666666666664,101
46,103
46.083333333333336,101
46.166666666666664,101
46.25,103
46.333333333333336,106
46.416666666666664,105
46.5,104
46.583333333333336,103
46.666666666666664,101
46.75,100
46.833333333333336,103
46.916666666666664,100
47,104
47.083333333333336,102
47.166666666666664,101
47.25,99
47.333333333333336,99
47.416666666666664,100
47.5,100
47.583333333333336,101
47.666666666666664,106
47.75,100
47.833333333333336,101
47.916666666666664,101
