"Hours since thread went live","Metallic Rouge - Episode 11 discussion"
24.666666666666668,280
24.75,278
24.833333333333332,281
24.916666666666668,284
25,280
25.083333333333332,283
25.166666666666668,281
25.25,282
25.333333333333332,286
25.416666666666668,283
25.5,281
25.583333333333332,281
25.666666666666668,283
25.75,282
25.833333333333332,283
25.916666666666668,282
26,284
26.083333333333332,284
26.166666666666668,286
26.25,284
26.333333333333332,280
26.416666666666668,282
26.5,283
26.583333333333332,283
26.666666666666668,286
26.75,286
26.833333333333332,287
26.916666666666668,288
27,283
27.083333333333332,286
27.166666666666668,287
27.25,289
27.333333333333332,286
27.416666666666668,290
27.5,286
27.583333333333332,286
27.666666666666668,287
27.75,288
27.833333333333332,287
27.916666666666668,291
28,288
28.083333333333332,286
28.166666666666668,288
28.25,289
28.333333333333332,288
28.416666666666668,285
28.5,288
28.583333333333332,287
28.666666666666668,289
28.75,291
28.833333333333332,291
28.916666666666668,290
29,290
29.083333333333332,284
29.166666666666668,292
29.25,286
29.333333333333332,289
29.416666666666668,288
29.5,285
29.583333333333332,293
29.666666666666668,292
29.75,288
29.833333333333332,286
29.916666666666668,290
30,290
30.083333333333332,292
30.166666666666668,292
30.25,294
30.333333333333332,292
30.416666666666668,292
30.5,293
30.583333333333332,292
30.666666666666668,290
30.75,289
30.833333333333332,290
30.916666666666668,291
31,291
31.083333333333332,291
31.166666666666668,287
31.25,291
31.333333333333332,291
31.416666666666668,290
31.5,286
31.583333333333332,293
31.666666666666668,289
31.75,292
31.833333333333332,295
31.916666666666668,290
32,292
32.083333333333336,293
32.166666666666664,290
32.25,292
32.333333333333336,291
32.416666666666664,297
32.5,294
32.583333333333336,296
32.666666666666664,292
32.75,297
32.833333333333336,292
32.916666666666664,296
33,292
33.083333333333336,290
33.166666666666664,293
33.25,289
33.333333333333336,293
33.416666666666664,292
33.5,295
33.583333333333336,294
33.666666666666664,294
33.75,290
33.833333333333336,294
33.916666666666664,292
34,297
34.083333333333336,296
34.166666666666664,297
34.25,294
34.333333333333336,294
34.416666666666664,294
34.5,298
34.583333333333336,296
34.666666666666664,294
34.75,294
34.833333333333336,292
34.916666666666664,297
35,295
35.083333333333336,294
35.166666666666664,297
35.25,296
35.333333333333336,296
35.416666666666664,291
35.5,291
35.583333333333336,292
35.666666666666664,292
35.75,297
35.833333333333336,293
35.916666666666664,300
36,298
36.083333333333336,298
36.166666666666664,297
36.25,298
36.333333333333336,296
36.416666666666664,296
36.5,298
36.583333333333336,295
36.666666666666664,300
36.75,298
36.833333333333336,297
36.916666666666664,296
37,296
37.083333333333336,299
37.166666666666664,297
37.25,300
37.333333333333336,299
37.416666666666664,299
37.5,299
37.583333333333336,295
37.666666666666664,298
37.75,301
37.833333333333336,296
37.916666666666664,298
38,297
38.083333333333336,296
38.166666666666664,298
38.25,297
38.333333333333336,297
38.416666666666664,296
38.5,294
38.666666666666664,297
38.75,299
38.833333333333336,299
38.916666666666664,298
39,298
39.083333333333336,297
39.166666666666664,299
39.25,300
39.333333333333336,294
39.416666666666664,299
39.5,295
39.583333333333336,296
39.666666666666664,295
39.75,294
39.833333333333336,297
39.916666666666664,298
40,295
40.083333333333336,300
40.166666666666664,294
40.25,293
40.333333333333336,295
40.416666666666664,301
40.5,298
40.583333333333336,300
40.666666666666664,298
40.75,302
40.833333333333336,302
40.916666666666664,301
41,297
41.083333333333336,299
41.166666666666664,298
41.25,303
41.333333333333336,298
41.416666666666664,299
41.5,298
41.583333333333336,302
41.666666666666664,300
41.75,299
41.833333333333336,301
41.916666666666664,300
42,301
42.083333333333336,301
42.166666666666664,300
42.25,300
42.333333333333336,302
42.416666666666664,298
42.5,296
42.583333333333336,302
42.666666666666664,297
42.75,299
42.833333333333336,298
42.916666666666664,297
43,296
43.083333333333336,301
43.166666666666664,301
43.25,303
43.333333333333336,300
43.416666666666664,300
43.5,302
43.583333333333336,300
43.666666666666664,302
43.75,303
43.833333333333336,304
43.916666666666664,300
44,303
44.083333333333336,298
44.166666666666664,299
44.25,301
44.333333333333336,304
44.416666666666664,298
44.5,299
44.583333333333336,301
44.666666666666664,300
44.75,302
44.833333333333336,300
44.916666666666664,300
45,301
45.083333333333336,299
45.166666666666664,300
45.25,302
45.333333333333336,300
45.416666666666664,296
45.5,299
45.583333333333336,298
45.666666666666664,302
45.75,298
45.833333333333336,301
45.916666666666664,300
46,301
46.083333333333336,300
46.166666666666664,297
46.25,301
46.333333333333336,300
46.416666666666664,299
46.5,302
46.583333333333336,299
46.666666666666664,300
46.75,304
46.833333333333336,299
46.916666666666664,302
47,300
47.083333333333336,299
47.166666666666664,298
47.25,301
47.333333333333336,296
47.416666666666664,299
47.5,298
47.583333333333336,300
47.666666666666664,298
47.75,302
47.833333333333336,296
47.916666666666664,297
