"Hours since thread went live","Shinigami Bocchan to Kuro Maid Season 3 • The Duke of Death and His Maid Season 3 - Episode 2 discussion"
31.083333333333332,211
31.166666666666668,217
31.25,214
31.333333333333332,215
31.416666666666668,216
31.5,215
31.583333333333332,213
31.666666666666668,213
31.75,217
31.833333333333332,211
31.916666666666668,213
32,211
32.083333333333336,211
32.166666666666664,212
32.25,214
32.333333333333336,214
32.416666666666664,215
32.5,215
32.583333333333336,211
32.666666666666664,215
32.75,216
32.833333333333336,218
32.916666666666664,217
33,216
33.083333333333336,215
33.166666666666664,215
33.25,217
33.666666666666664,216
33.75,217
33.833333333333336,216
33.916666666666664,216
34,216
34.083333333333336,218
34.166666666666664,217
34.25,220
34.333333333333336,219
34.416666666666664,218
34.5,212
34.583333333333336,215
34.666666666666664,218
34.75,216
34.833333333333336,217
34.916666666666664,216
35,216
35.083333333333336,217
35.166666666666664,218
35.25,219
35.333333333333336,216
35.416666666666664,214
35.5,214
35.583333333333336,219
35.666666666666664,217
35.75,214
35.833333333333336,216
35.916666666666664,212
36,218
36.083333333333336,216
36.166666666666664,216
36.25,213
36.333333333333336,214
36.416666666666664,214
36.5,218
36.583333333333336,219
36.666666666666664,217
36.75,218
36.833333333333336,212
36.916666666666664,219
37,217
37.083333333333336,216
37.166666666666664,215
37.25,216
37.333333333333336,219
37.416666666666664,221
37.5,218
37.583333333333336,217
37.666666666666664,213
37.75,219
37.833333333333336,217
37.916666666666664,219
38,220
38.083333333333336,218
38.166666666666664,219
38.25,219
38.333333333333336,217
38.416666666666664,214
38.5,219
38.583333333333336,217
38.666666666666664,218
38.75,215
38.833333333333336,217
38.916666666666664,217
39,219
39.083333333333336,217
39.166666666666664,217
39.25,217
39.333333333333336,217
39.416666666666664,221
39.5,217
39.583333333333336,218
39.666666666666664,217
39.75,219
39.833333333333336,217
39.916666666666664,217
40,216
40.083333333333336,214
40.166666666666664,221
40.25,220
40.333333333333336,218
40.416666666666664,218
40.5,217
40.583333333333336,218
40.666666666666664,219
40.75,219
40.833333333333336,217
40.916666666666664,216
41,218
41.083333333333336,217
41.166666666666664,218
41.25,215
41.333333333333336,215
41.416666666666664,219
41.5,216
41.583333333333336,218
41.666666666666664,218
41.75,219
41.833333333333336,216
41.916666666666664,218
42,221
42.083333333333336,215
42.166666666666664,221
42.25,220
42.333333333333336,218
42.416666666666664,219
42.5,217
42.583333333333336,219
42.666666666666664,219
42.75,217
42.833333333333336,222
42.916666666666664,216
43,216
43.083333333333336,221
43.166666666666664,222
43.25,219
43.333333333333336,219
43.416666666666664,216
43.5,217
43.583333333333336,220
43.666666666666664,219
43.75,221
43.833333333333336,216
43.916666666666664,221
44,217
44.083333333333336,217
44.166666666666664,219
44.25,217
44.333333333333336,217
44.416666666666664,220
44.5,214
44.583333333333336,218
44.666666666666664,220
44.75,216
44.833333333333336,218
44.916666666666664,221
45,221
45.083333333333336,217
45.166666666666664,220
45.25,214
45.333333333333336,218
45.416666666666664,219
45.5,222
45.583333333333336,219
45.666666666666664,216
45.75,216
45.833333333333336,217
45.916666666666664,218
46,218
46.083333333333336,217
46.166666666666664,218
46.25,219
46.333333333333336,221
46.416666666666664,217
46.5,215
46.583333333333336,217
46.666666666666664,216
46.75,222
46.833333333333336,217
46.916666666666664,218
47,214
47.083333333333336,216
47.166666666666664,217
47.25,215
47.333333333333336,215
47.416666666666664,218
47.5,219
47.583333333333336,221
47.666666666666664,222
47.75,219
47.833333333333336,219
47.916666666666664,216
