"Hours since thread went live","Ao no Exorcist Shimane Illuminati-hen • Blue Exorcist -Shimane Illuminati Saga- - Episode 8 discussion"
35.25,147
35.333333333333336,148
35.416666666666664,148
35.5,150
35.583333333333336,148
35.666666666666664,152
35.75,149
35.833333333333336,152
35.916666666666664,152
36,148
36.083333333333336,152
36.166666666666664,150
36.25,146
36.333333333333336,150
36.416666666666664,146
36.5,148
36.583333333333336,149
36.666666666666664,151
36.75,149
36.833333333333336,150
36.916666666666664,151
37,145
37.083333333333336,151
37.166666666666664,152
37.25,152
37.333333333333336,148
37.416666666666664,150
37.5,153
37.583333333333336,149
37.666666666666664,150
37.75,151
37.833333333333336,153
37.916666666666664,149
38,151
38.083333333333336,150
38.166666666666664,145
38.25,150
38.333333333333336,146
38.416666666666664,149
38.5,149
38.583333333333336,152
38.666666666666664,146
38.75,151
38.833333333333336,153
38.916666666666664,152
39,151
39.083333333333336,152
39.166666666666664,148
39.25,152
39.333333333333336,148
39.416666666666664,149
39.5,149
39.583333333333336,149
39.666666666666664,146
39.75,149
39.833333333333336,151
39.916666666666664,149
40,151
40.083333333333336,151
40.166666666666664,149
40.25,146
40.333333333333336,148
40.416666666666664,149
40.5,148
40.583333333333336,152
40.666666666666664,149
40.75,152
40.833333333333336,146
40.916666666666664,151
41,149
41.083333333333336,147
41.166666666666664,149
41.25,153
41.333333333333336,147
41.416666666666664,148
41.5,149
41.583333333333336,151
41.666666666666664,148
41.75,148
41.833333333333336,153
41.916666666666664,152
42,151
42.083333333333336,152
42.166666666666664,147
42.25,154
42.333333333333336,151
42.416666666666664,150
42.5,152
42.583333333333336,152
42.666666666666664,153
42.75,154
42.833333333333336,152
42.916666666666664,150
43,154
43.083333333333336,154
43.166666666666664,150
43.25,151
43.333333333333336,154
43.416666666666664,152
43.5,150
43.583333333333336,152
43.666666666666664,153
43.75,151
43.833333333333336,149
43.916666666666664,150
44,153
44.083333333333336,151
44.166666666666664,152
44.25,150
44.333333333333336,152
44.416666666666664,154
44.5,149
44.583333333333336,149
44.666666666666664,151
44.75,151
44.833333333333336,154
44.916666666666664,150
45,151
45.083333333333336,154
45.166666666666664,149
45.25,153
45.333333333333336,152
45.416666666666664,153
45.5,153
45.583333333333336,153
45.666666666666664,155
45.75,152
45.833333333333336,151
45.916666666666664,151
46,147
46.083333333333336,151
46.166666666666664,152
46.25,148
46.333333333333336,148
46.416666666666664,150
46.5,150
46.583333333333336,153
46.666666666666664,153
46.75,148
46.833333333333336,151
46.916666666666664,151
47,149
47.083333333333336,150
47.166666666666664,151
47.25,150
47.333333333333336,151
47.416666666666664,150
47.5,150
47.583333333333336,150
47.666666666666664,154
47.75,150
47.833333333333336,151
47.916666666666664,155
