"Hours since thread went live","Mahouka Koukou no Rettousei Season 3 • The Irregular at Magic High School Season 3 - Episode 1 discussion"
31.75,691
31.833333333333332,692
31.916666666666668,686
32,688
32.083333333333336,686
32.166666666666664,686
32.25,688
32.333333333333336,689
32.416666666666664,690
32.5,692
32.583333333333336,691
32.666666666666664,693
32.75,686
32.833333333333336,693
32.916666666666664,692
33,693
33.083333333333336,690
33.166666666666664,692
33.25,695
33.333333333333336,701
33.416666666666664,697
33.5,697
33.583333333333336,696
33.666666666666664,702
33.75,698
33.833333333333336,702
33.916666666666664,696
34,699
34.083333333333336,700
34.166666666666664,706
34.25,698
34.333333333333336,702
34.416666666666664,695
34.5,700
34.583333333333336,705
34.666666666666664,702
34.75,706
34.833333333333336,700
34.916666666666664,696
35,701
35.083333333333336,696
35.166666666666664,701
35.25,705
35.333333333333336,707
35.416666666666664,701
35.5,697
35.583333333333336,703
35.666666666666664,702
35.75,702
35.833333333333336,700
35.916666666666664,706
36,706
36.083333333333336,703
36.166666666666664,704
36.25,706
36.333333333333336,702
36.416666666666664,702
36.5,698
36.583333333333336,709
36.666666666666664,699
36.75,705
36.833333333333336,702
36.916666666666664,702
37,707
37.083333333333336,707
37.166666666666664,706
37.25,708
37.333333333333336,708
37.416666666666664,712
37.5,706
37.583333333333336,702
37.666666666666664,707
37.75,706
37.833333333333336,706
37.916666666666664,704
38,706
38.083333333333336,701
38.166666666666664,705
38.25,708
38.333333333333336,707
38.416666666666664,705
38.5,701
38.583333333333336,709
38.666666666666664,707
38.75,708
38.833333333333336,706
38.916666666666664,709
39,707
39.083333333333336,709
39.166666666666664,712
39.25,705
39.333333333333336,703
39.416666666666664,704
39.5,706
39.583333333333336,712
39.666666666666664,707
39.75,702
39.833333333333336,708
39.916666666666664,709
40,703
40.083333333333336,709
40.166666666666664,706
40.25,701
40.333333333333336,709
40.416666666666664,710
40.5,705
40.583333333333336,706
40.666666666666664,708
40.75,708
40.833333333333336,709
40.916666666666664,707
41,707
41.083333333333336,709
41.166666666666664,708
41.25,711
41.333333333333336,708
41.416666666666664,711
41.5,703
41.583333333333336,702
41.666666666666664,710
41.75,710
41.833333333333336,708
41.916666666666664,706
42,710
42.083333333333336,706
42.166666666666664,706
42.25,704
42.333333333333336,705
42.416666666666664,709
42.5,710
42.583333333333336,709
42.666666666666664,703
42.75,708
42.833333333333336,712
42.916666666666664,704
43,706
43.083333333333336,709
43.166666666666664,708
43.25,709
43.333333333333336,705
43.416666666666664,707
43.5,708
43.583333333333336,710
43.666666666666664,705
43.75,712
43.833333333333336,710
43.916666666666664,712
44,712
44.083333333333336,708
44.166666666666664,708
44.25,713
44.333333333333336,710
44.416666666666664,706
44.5,708
44.583333333333336,709
44.666666666666664,708
44.75,710
44.833333333333336,708
44.916666666666664,707
45,710
45.083333333333336,714
45.166666666666664,708
45.25,713
45.333333333333336,713
45.416666666666664,709
45.5,716
45.583333333333336,710
45.666666666666664,710
45.75,711
45.833333333333336,714
45.916666666666664,711
46,709
46.083333333333336,711
46.166666666666664,708
46.25,714
46.333333333333336,708
46.416666666666664,711
46.5,713
46.583333333333336,711
46.666666666666664,713
46.75,711
46.833333333333336,715
46.916666666666664,720
47,715
47.083333333333336,715
47.166666666666664,712
47.25,715
47.333333333333336,718
47.416666666666664,719
47.5,713
47.583333333333336,713
47.666666666666664,716
47.75,721
47.833333333333336,715
47.916666666666664,718
