"Hours since thread went live","Pokémon Horizons: The Series - Episode 47 discussion"
35.583333333333336,59
35.666666666666664,60
35.75,59
35.833333333333336,59
35.916666666666664,62
36,59
36.083333333333336,57
36.166666666666664,58
36.25,60
36.333333333333336,57
36.416666666666664,60
36.5,57
36.583333333333336,60
36.666666666666664,62
36.75,56
36.833333333333336,58
36.916666666666664,60
37,59
37.083333333333336,58
37.166666666666664,58
37.25,60
37.333333333333336,60
37.416666666666664,56
37.5,62
37.583333333333336,60
37.666666666666664,56
37.75,58
37.833333333333336,60
37.916666666666664,61
38,58
38.083333333333336,58
38.166666666666664,61
38.25,58
38.333333333333336,57
38.416666666666664,58
38.5,58
38.583333333333336,60
38.666666666666664,57
38.75,61
38.833333333333336,59
38.916666666666664,60
39,56
39.083333333333336,58
39.166666666666664,59
39.25,57
39.333333333333336,59
39.416666666666664,58
39.5,58
39.583333333333336,54
39.666666666666664,56
39.75,59
39.833333333333336,54
39.916666666666664,55
40,55
40.083333333333336,56
40.166666666666664,57
40.25,56
40.333333333333336,60
40.416666666666664,58
40.5,58
40.583333333333336,55
40.666666666666664,59
40.75,57
40.916666666666664,55
41,58
41.083333333333336,59
41.166666666666664,61
41.25,59
41.333333333333336,58
41.416666666666664,60
41.5,60
41.583333333333336,55
41.666666666666664,57
41.75,57
41.833333333333336,57
41.916666666666664,57
42,61
42.083333333333336,60
42.166666666666664,58
42.25,58
42.333333333333336,60
42.416666666666664,57
42.5,59
42.583333333333336,57
42.666666666666664,59
42.75,59
42.833333333333336,60
42.916666666666664,57
43,56
43.083333333333336,58
43.166666666666664,59
43.25,59
43.333333333333336,57
43.416666666666664,57
43.5,59
43.583333333333336,60
43.666666666666664,62
43.75,61
43.833333333333336,59
43.916666666666664,59
44,60
44.083333333333336,61
44.166666666666664,59
44.25,61
44.333333333333336,61
44.416666666666664,61
44.5,55
44.583333333333336,58
44.666666666666664,59
44.75,58
44.833333333333336,60
44.916666666666664,62
45,56
45.083333333333336,58
45.166666666666664,59
45.25,61
45.333333333333336,59
45.416666666666664,57
45.5,59
45.583333333333336,59
45.666666666666664,59
45.75,61
45.833333333333336,58
45.916666666666664,59
46,59
46.083333333333336,55
46.166666666666664,59
46.25,61
46.333333333333336,61
46.416666666666664,61
46.5,60
46.583333333333336,59
46.666666666666664,56
46.75,56
46.833333333333336,60
46.916666666666664,60
47,64
47.083333333333336,61
47.166666666666664,63
47.25,58
47.333333333333336,64
47.416666666666664,57
47.5,60
47.583333333333336,61
47.666666666666664,64
47.75,60
47.833333333333336,64
47.916666666666664,59
