"Hours since thread went live","Shuumatsu Train Doko e Iku? • Train to the End of the World - Episode 2 discussion"
31.25,973
31.333333333333332,969
31.416666666666668,967
31.5,972
31.583333333333332,971
31.666666666666668,973
31.75,980
31.833333333333332,977
31.916666666666668,976
32,982
32.083333333333336,981
32.166666666666664,971
32.25,982
32.333333333333336,976
32.416666666666664,978
32.5,981
32.583333333333336,976
32.666666666666664,979
32.75,976
32.833333333333336,975
32.916666666666664,984
33,980
33.083333333333336,981
33.166666666666664,981
33.25,984
33.333333333333336,987
33.416666666666664,985
33.5,983
33.583333333333336,988
33.666666666666664,986
33.75,980
33.833333333333336,986
33.916666666666664,980
34,980
34.083333333333336,981
34.166666666666664,981
34.25,981
34.333333333333336,987
34.416666666666664,984
34.5,989
34.583333333333336,988
34.666666666666664,984
34.75,986
34.833333333333336,986
34.916666666666664,987
35,988
35.083333333333336,991
35.166666666666664,984
35.25,987
35.333333333333336,987
35.416666666666664,989
35.5,989
35.583333333333336,995
35.666666666666664,990
35.75,990
35.833333333333336,988
35.916666666666664,985
36,990
36.083333333333336,995
36.166666666666664,991
36.25,994
36.333333333333336,991
36.416666666666664,998
36.5,998
36.583333333333336,993
36.666666666666664,1000
36.75,995
36.833333333333336,1001
36.916666666666664,1000
37,994
37.083333333333336,994
37.166666666666664,1002
37.25,1000
37.333333333333336,994
37.416666666666664,1000
37.5,1004
37.583333333333336,1001
37.666666666666664,1003
37.75,1000
37.833333333333336,1004
37.916666666666664,1000
38,1007
38.083333333333336,1010
38.166666666666664,1002
38.25,1006
38.333333333333336,1011
38.416666666666664,1007
38.5,1009
38.583333333333336,1003
38.666666666666664,1009
38.75,1008
38.833333333333336,1009
38.916666666666664,1012
39,1020
39.083333333333336,1013
39.166666666666664,1014
39.25,1012
39.333333333333336,1009
39.416666666666664,1014
39.5,1012
39.583333333333336,1012
39.666666666666664,1015
39.75,1019
39.833333333333336,1016
39.916666666666664,1014
40,1020
40.083333333333336,1023
40.166666666666664,1017
40.25,1013
40.333333333333336,1015
40.416666666666664,1022
40.5,1020
40.583333333333336,1022
40.666666666666664,1018
40.75,1022
40.833333333333336,1024
40.916666666666664,1021
41,1021
41.083333333333336,1020
41.166666666666664,1020
41.25,1021
41.333333333333336,1018
41.416666666666664,1021
41.5,1023
41.583333333333336,1015
41.666666666666664,1019
41.75,1019
41.833333333333336,1017
41.916666666666664,1016
42,1017
42.083333333333336,1026
42.166666666666664,1023
42.25,1019
42.333333333333336,1017
42.416666666666664,1019
42.5,1026
42.583333333333336,1019
42.666666666666664,1024
42.75,1019
42.833333333333336,1019
42.916666666666664,1020
43,1020
43.083333333333336,1016
43.166666666666664,1017
43.25,1017
43.333333333333336,1019
43.416666666666664,1019
43.5,1022
43.583333333333336,1025
43.666666666666664,1028
43.75,1022
43.833333333333336,1024
43.916666666666664,1025
44,1025
44.083333333333336,1023
44.166666666666664,1021
44.25,1027
44.333333333333336,1025
44.416666666666664,1027
44.5,1029
44.583333333333336,1023
44.666666666666664,1027
44.75,1022
44.833333333333336,1023
44.916666666666664,1027
45,1027
45.083333333333336,1027
45.166666666666664,1030
45.25,1029
45.333333333333336,1026
45.416666666666664,1021
45.5,1020
45.583333333333336,1028
45.666666666666664,1027
45.75,1025
45.833333333333336,1031
45.916666666666664,1033
46,1025
46.083333333333336,1029
46.166666666666664,1034
46.25,1029
46.333333333333336,1033
46.416666666666664,1033
46.5,1030
46.583333333333336,1028
46.666666666666664,1033
46.75,1026
46.833333333333336,1025
46.916666666666664,1026
47,1030
47.083333333333336,1027
47.166666666666664,1026
47.25,1023
47.333333333333336,1028
47.416666666666664,1036
47.5,1031
47.583333333333336,1035
47.666666666666664,1031
47.75,1030
47.833333333333336,1033
47.916666666666664,1034
