"Hours since thread went live","Sentai Daishikkaku • Go! Go! Loser Ranger! - Episode 1 discussion"
31.666666666666668,1294
31.75,1295
31.833333333333332,1299
31.916666666666668,1298
32,1292
32.083333333333336,1297
32.166666666666664,1295
32.25,1294
32.333333333333336,1293
32.416666666666664,1294
32.5,1301
32.583333333333336,1302
32.666666666666664,1297
32.75,1299
32.833333333333336,1294
32.916666666666664,1295
33,1297
33.083333333333336,1295
33.166666666666664,1295
33.25,1294
33.333333333333336,1305
33.416666666666664,1300
33.5,1299
33.583333333333336,1300
33.666666666666664,1303
33.75,1302
33.833333333333336,1307
33.916666666666664,1305
34,1302
34.083333333333336,1305
34.166666666666664,1304
34.25,1302
34.333333333333336,1300
34.416666666666664,1299
34.5,1303
34.583333333333336,1301
34.666666666666664,1304
34.75,1305
34.833333333333336,1301
34.916666666666664,1302
35,1307
35.083333333333336,1308
35.166666666666664,1305
35.25,1310
35.416666666666664,1303
35.5,1312
35.583333333333336,1305
35.666666666666664,1309
35.75,1309
35.833333333333336,1305
35.916666666666664,1305
36,1307
36.083333333333336,1314
36.166666666666664,1306
36.25,1309
36.333333333333336,1316
36.416666666666664,1317
36.5,1321
36.583333333333336,1314
36.666666666666664,1314
36.75,1321
36.833333333333336,1319
36.916666666666664,1318
37,1319
37.083333333333336,1316
37.166666666666664,1320
37.25,1316
37.333333333333336,1315
37.416666666666664,1317
37.5,1314
37.583333333333336,1318
37.666666666666664,1324
37.75,1320
37.833333333333336,1315
37.916666666666664,1322
38,1321
38.083333333333336,1323
38.166666666666664,1317
38.25,1323
38.333333333333336,1323
38.416666666666664,1324
38.5,1323
38.583333333333336,1325
38.666666666666664,1326
38.75,1328
38.833333333333336,1322
38.916666666666664,1323
39,1326
39.083333333333336,1326
39.166666666666664,1324
39.25,1328
39.333333333333336,1327
39.416666666666664,1326
39.5,1331
39.583333333333336,1331
39.666666666666664,1324
39.75,1326
39.833333333333336,1327
39.916666666666664,1329
40,1330
40.083333333333336,1326
40.166666666666664,1330
40.25,1330
40.333333333333336,1328
40.416666666666664,1325
40.5,1332
40.583333333333336,1333
40.666666666666664,1333
40.75,1330
40.833333333333336,1328
40.916666666666664,1336
41,1329
41.083333333333336,1334
41.166666666666664,1327
41.25,1330
41.333333333333336,1330
41.416666666666664,1329
41.5,1333
41.583333333333336,1333
41.666666666666664,1328
41.75,1334
41.833333333333336,1334
41.916666666666664,1332
42,1340
42.083333333333336,1338
42.166666666666664,1333
42.25,1342
42.333333333333336,1334
42.416666666666664,1338
42.5,1338
42.583333333333336,1338
42.666666666666664,1339
42.75,1335
42.833333333333336,1337
42.916666666666664,1339
43,1338
43.083333333333336,1344
43.166666666666664,1345
43.25,1336
43.333333333333336,1340
43.416666666666664,1338
43.5,1342
43.583333333333336,1343
43.666666666666664,1341
43.75,1338
43.833333333333336,1340
43.916666666666664,1348
44,1343
44.083333333333336,1343
44.166666666666664,1342
44.25,1347
44.333333333333336,1345
44.416666666666664,1350
44.5,1349
44.583333333333336,1346
44.666666666666664,1350
44.75,1353
44.833333333333336,1347
44.916666666666664,1348
45,1346
45.083333333333336,1349
45.166666666666664,1351
45.25,1352
45.333333333333336,1345
45.416666666666664,1351
45.5,1350
45.583333333333336,1346
45.666666666666664,1355
45.75,1357
45.833333333333336,1351
45.916666666666664,1352
46,1355
46.083333333333336,1351
46.166666666666664,1357
46.25,1356
46.333333333333336,1355
46.416666666666664,1360
46.5,1357
46.583333333333336,1359
46.666666666666664,1359
46.75,1356
46.833333333333336,1356
46.916666666666664,1361
47,1361
47.083333333333336,1360
47.166666666666664,1357
47.25,1359
47.333333333333336,1359
47.416666666666664,1354
47.5,1359
47.583333333333336,1355
47.666666666666664,1357
47.75,1355
47.833333333333336,1360
47.916666666666664,1363
