"Hours since thread went live","Tengoku Daimakyou • Heavenly Delusion - Episode 11 discussion"
17,2106
17.083333333333332,2115
17.166666666666668,2119
17.333333333333332,2123
17.416666666666668,2129
17.5,2131
17.583333333333332,2127
17.666666666666668,2141
17.75,2139
17.833333333333332,2143
17.916666666666668,2136
18,2142
18.083333333333332,2147
18.166666666666668,2151
18.25,2150
18.333333333333332,2158
18.416666666666668,2161
18.5,2164
18.583333333333332,2165
18.666666666666668,2174
18.75,2172
18.833333333333332,2180
18.916666666666668,2176
19,2181
19.083333333333332,2178
19.166666666666668,2189
19.25,2195
19.333333333333332,2198
19.5,2208
19.583333333333332,2202
19.666666666666668,2213
19.75,2214
19.833333333333332,2215
19.916666666666668,2220
20,2220
20.083333333333332,2224
20.166666666666668,2225
20.25,2227
20.333333333333332,2229
20.416666666666668,2227
20.5,2230
20.583333333333332,2234
20.666666666666668,2231
20.75,2233
20.833333333333332,2230
20.916666666666668,2242
21,2242
21.25,2248
24.833333333333332,2348
24.833333333333332,2352
24.916666666666668,2352
25,2343
25.083333333333332,2348
25.166666666666668,2352
25.25,2348
25.333333333333332,2354
25.416666666666668,2352
25.5,2358
25.583333333333332,2364
25.666666666666668,2368
25.75,2367
25.833333333333332,2370
25.916666666666668,2374
26,2371
26.083333333333332,2373
26.166666666666668,2380
26.25,2377
26.333333333333332,2376
26.416666666666668,2383
26.5,2385
26.583333333333332,2383
26.666666666666668,2383
26.75,2386
26.833333333333332,2387
26.916666666666668,2387
27,2390
27.083333333333332,2393
27.166666666666668,2390
27.25,2394
27.333333333333332,2396
27.416666666666668,2398
27.5,2400
27.583333333333332,2405
27.666666666666668,2406
27.75,2403
27.833333333333332,2405
27.916666666666668,2408
28,2406
28.083333333333332,2402
28.166666666666668,2408
28.25,2405
28.333333333333332,2404
28.416666666666668,2406
28.5,2408
28.583333333333332,2408
28.666666666666668,2414
28.75,2410
28.833333333333332,2417
28.916666666666668,2420
29,2418
29.083333333333332,2418
29.166666666666668,2417
29.25,2424
29.333333333333332,2422
29.416666666666668,2429
29.5,2432
29.583333333333332,2428
29.666666666666668,2431
29.75,2430
29.833333333333332,2435
29.916666666666668,2431
30,2437
30.083333333333332,2440
30.166666666666668,2443
30.25,2435
30.333333333333332,2443
30.416666666666668,2439
30.5,2444
30.583333333333332,2441
30.666666666666668,2447
30.75,2441
30.833333333333332,2442
30.916666666666668,2453
31,2449
31.083333333333332,2452
31.166666666666668,2448
31.25,2456
31.333333333333332,2456
31.416666666666668,2459
31.5,2462
31.583333333333332,2457
31.666666666666668,2462
31.75,2461
31.833333333333332,2461
31.916666666666668,2463
32,2466
32.083333333333336,2460
32.166666666666664,2470
32.25,2468
32.333333333333336,2460
32.416666666666664,2465
32.5,2465
32.583333333333336,2462
32.666666666666664,2469
32.75,2467
32.833333333333336,2465
32.916666666666664,2469
33,2472
33.083333333333336,2473
33.166666666666664,2475
33.25,2466
33.333333333333336,2474
33.416666666666664,2470
33.5,2468
33.583333333333336,2475
33.666666666666664,2470
33.75,2473
33.833333333333336,2477
33.916666666666664,2480
34,2473
34.083333333333336,2478
34.166666666666664,2478
34.25,2481
34.333333333333336,2482
34.416666666666664,2480
34.5,2486
34.583333333333336,2490
34.666666666666664,2485
34.75,2488
34.833333333333336,2491
34.916666666666664,2487
35,2488
35.083333333333336,2496
35.166666666666664,2490
35.25,2493
35.333333333333336,2494
35.416666666666664,2494
35.5,2491
35.583333333333336,2495
35.666666666666664,2497
35.75,2496
35.833333333333336,2495
35.916666666666664,2500
36,2493
36.083333333333336,2499
36.166666666666664,2494
36.25,2499
36.333333333333336,2500
36.416666666666664,2504
36.5,2508
36.583333333333336,2505
36.666666666666664,2506
36.75,2505
36.833333333333336,2513
36.916666666666664,2509
37,2510
37.083333333333336,2508
37.166666666666664,2516
37.25,2510
37.333333333333336,2512
37.416666666666664,2514
37.5,2518
37.583333333333336,2513
37.666666666666664,2517
37.75,2521
37.833333333333336,2518
37.916666666666664,2517
38,2524
38.083333333333336,2524
38.166666666666664,2524
38.25,2528
38.333333333333336,2530
38.416666666666664,2521
38.5,2529
38.583333333333336,2525
38.666666666666664,2524
38.75,2529
38.833333333333336,2529
38.916666666666664,2535
39,2527
39.083333333333336,2529
39.166666666666664,2532
39.25,2532
39.333333333333336,2535
39.416666666666664,2527
39.5,2528
39.583333333333336,2528
39.666666666666664,2539
39.75,2533
39.833333333333336,2535
39.916666666666664,2537
40,2538
40.083333333333336,2538
40.166666666666664,2536
40.25,2536
40.333333333333336,2536
40.416666666666664,2537
40.5,2536
40.583333333333336,2540
40.666666666666664,2544
40.75,2542
40.833333333333336,2539
40.916666666666664,2545
41,2543
41.083333333333336,2543
41.166666666666664,2542
41.25,2539
41.333333333333336,2545
41.416666666666664,2544
41.5,2541
41.583333333333336,2540
41.666666666666664,2546
41.75,2547
41.833333333333336,2553
41.916666666666664,2550
42,2546
42.083333333333336,2548
42.166666666666664,2556
42.25,2550
42.333333333333336,2553
42.416666666666664,2553
42.5,2557
42.583333333333336,2549
42.666666666666664,2548
42.75,2551
42.833333333333336,2555
42.916666666666664,2555
43,2558
43.083333333333336,2557
43.166666666666664,2559
43.25,2560
43.333333333333336,2559
43.416666666666664,2561
43.5,2558
43.583333333333336,2562
43.666666666666664,2561
