"Hours since thread went live","Henjin no Salad Bowl • A Salad Bowl of Eccentrics - Episode 5 discussion"
45.75,370
45.833333333333336,367
45.916666666666664,366
46,371
46.083333333333336,367
46.166666666666664,370
46.25,371
46.333333333333336,368
46.416666666666664,373
46.5,370
46.583333333333336,366
46.666666666666664,367
46.75,371
46.833333333333336,368
46.916666666666664,373
47,368
47.083333333333336,367
47.166666666666664,366
47.25,367
47.333333333333336,369
47.416666666666664,374
47.5,370
47.583333333333336,376
47.666666666666664,374
47.75,366
47.833333333333336,367
47.916666666666664,368
