"Hours since thread went live","Shinigami Bocchan to Kuro Maid Season 3 • The Duke of Death and His Maid Season 3 - Episode 3 discussion"
35.916666666666664,189
36,187
36.083333333333336,187
36.166666666666664,191
36.25,191
36.333333333333336,190
36.416666666666664,188
36.5,190
36.583333333333336,190
36.666666666666664,188
36.75,189
36.833333333333336,190
36.916666666666664,188
37,190
37.083333333333336,190
37.166666666666664,192
37.25,192
37.333333333333336,192
37.416666666666664,192
37.5,188
37.583333333333336,190
37.666666666666664,190
37.75,189
37.833333333333336,188
37.916666666666664,191
38,193
38.083333333333336,192
38.166666666666664,189
38.25,192
38.333333333333336,187
38.416666666666664,192
38.5,193
38.583333333333336,193
38.666666666666664,193
38.75,190
38.833333333333336,192
38.916666666666664,187
39,192
39.083333333333336,192
39.166666666666664,192
39.25,195
39.333333333333336,192
39.416666666666664,194
39.5,192
39.583333333333336,189
39.666666666666664,193
39.75,193
39.833333333333336,190
39.916666666666664,192
40,192
40.083333333333336,187
40.166666666666664,191
40.25,190
40.333333333333336,192
40.416666666666664,191
40.5,191
40.583333333333336,192
40.666666666666664,189
40.75,189
40.833333333333336,193
40.916666666666664,188
41,189
41.083333333333336,192
41.166666666666664,190
41.25,193
41.333333333333336,190
41.416666666666664,191
41.5,191
41.583333333333336,192
41.666666666666664,187
41.75,189
41.833333333333336,194
41.916666666666664,192
42,193
42.083333333333336,192
42.166666666666664,192
42.25,195
42.333333333333336,191
42.416666666666664,193
42.5,191
42.583333333333336,194
42.666666666666664,193
42.75,193
42.833333333333336,190
42.916666666666664,190
43,192
43.083333333333336,189
43.166666666666664,194
43.25,190
43.333333333333336,187
43.416666666666664,190
43.5,191
43.583333333333336,190
43.666666666666664,194
43.75,194
43.833333333333336,190
43.916666666666664,193
44,189
44.083333333333336,191
44.166666666666664,191
44.25,192
44.333333333333336,190
44.416666666666664,194
44.5,193
44.583333333333336,189
44.666666666666664,193
44.75,192
44.833333333333336,191
44.916666666666664,190
45,192
45.083333333333336,193
45.166666666666664,190
45.25,192
45.333333333333336,191
45.416666666666664,187
45.5,191
45.583333333333336,191
45.666666666666664,189
45.75,192
45.833333333333336,190
45.916666666666664,193
46,189
46.083333333333336,192
46.166666666666664,189
46.25,191
46.333333333333336,191
46.416666666666664,189
46.5,190
46.583333333333336,192
46.666666666666664,194
46.75,193
46.833333333333336,194
46.916666666666664,194
47,193
47.083333333333336,191
47.166666666666664,192
47.25,192
47.333333333333336,193
47.416666666666664,191
47.5,190
47.583333333333336,193
47.666666666666664,194
47.75,194
47.833333333333336,190
47.916666666666664,193
