"Hours since thread went live","Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e Season 3 • Classroom of the Elite Season 3 - Episode 9 discussion"
12.166666666666666,669
12.25,676
12.333333333333334,678
12.416666666666666,680
12.5,686
12.583333333333334,698
12.666666666666666,696
12.75,699
12.833333333333334,695
12.916666666666666,701
13,712
13.083333333333334,712
13.166666666666666,709
13.25,716
13.333333333333334,720
13.416666666666666,719
13.5,722
13.583333333333334,722
13.666666666666666,725
13.75,724
13.833333333333334,728
13.916666666666666,727
14,729
14.083333333333334,732
14.166666666666666,739
14.25,744
14.333333333333334,740
14.416666666666666,747
14.5,754
14.583333333333334,748
14.666666666666666,754
14.75,760
14.833333333333334,761
14.916666666666666,767
15,769
15.083333333333334,766
15.166666666666666,770
15.25,769
15.333333333333334,774
15.416666666666666,768
15.5,769
15.583333333333334,775
15.666666666666666,778
15.75,780
15.833333333333334,788
15.916666666666666,781
16,783
16.083333333333332,781
16.166666666666668,791
16.25,788
16.333333333333332,788
16.416666666666668,791
16.5,796
16.583333333333332,795
16.666666666666668,789
16.75,798
16.833333333333332,796
16.916666666666668,800
17,798
17.083333333333332,798
17.166666666666668,801
17.25,792
17.333333333333332,803
17.416666666666668,799
17.5,798
17.583333333333332,803
17.666666666666668,804
17.75,805
17.833333333333332,808
17.916666666666668,811
18,809
18.083333333333332,809
18.166666666666668,808
18.25,820
18.333333333333332,814
18.416666666666668,821
18.5,818
18.583333333333332,823
18.666666666666668,819
18.75,818
18.833333333333332,817
18.916666666666668,822
19,822
19.083333333333332,827
19.166666666666668,827
19.25,832
19.333333333333332,831
19.416666666666668,836
19.5,831
19.583333333333332,834
19.666666666666668,830
19.75,829
19.833333333333332,835
19.916666666666668,837
20,842
20.083333333333332,836
20.166666666666668,836
20.25,839
20.333333333333332,838
20.416666666666668,842
20.5,849
20.583333333333332,842
20.666666666666668,848
20.75,853
20.833333333333332,850
20.916666666666668,847
21,846
21.083333333333332,846
21.166666666666668,852
21.25,850
21.333333333333332,851
21.416666666666668,858
21.5,851
21.583333333333332,856
21.666666666666668,851
21.75,856
21.833333333333332,858
21.916666666666668,864
22,861
22.083333333333332,863
22.166666666666668,860
22.25,859
22.333333333333332,868
22.416666666666668,866
22.5,867
22.583333333333332,864
22.666666666666668,865
22.75,868
22.833333333333332,869
22.916666666666668,870
23,865
23.083333333333332,868
23.166666666666668,871
23.25,869
23.333333333333332,875
23.416666666666668,867
23.5,876
23.583333333333332,870
23.666666666666668,870
23.75,880
23.833333333333332,871
23.916666666666668,877
24,881
24.083333333333332,882
24.166666666666668,882
24.25,883
24.333333333333332,882
24.416666666666668,879
24.5,886
24.583333333333332,887
24.666666666666668,882
24.75,884
24.833333333333332,888
24.916666666666668,888
25,891
25.083333333333332,885
25.166666666666668,890
25.25,887
25.333333333333332,887
25.416666666666668,889
25.5,895
25.583333333333332,896
25.666666666666668,898
25.75,897
25.833333333333332,901
25.916666666666668,898
26,902
26.083333333333332,903
26.166666666666668,898
26.25,899
26.333333333333332,901
26.416666666666668,898
26.5,905
26.583333333333332,904
26.666666666666668,898
26.75,908
26.833333333333332,902
26.916666666666668,906
27,909
27.083333333333332,905
27.166666666666668,908
27.25,909
27.333333333333332,911
27.416666666666668,908
27.5,906
27.583333333333332,916
27.666666666666668,912
27.75,908
27.833333333333332,908
27.916666666666668,912
28,914
28.083333333333332,912
28.166666666666668,918
28.25,919
28.333333333333332,914
28.416666666666668,917
28.5,921
28.583333333333332,918
28.666666666666668,920
28.75,921
28.833333333333332,921
28.916666666666668,918
29,922
29.083333333333332,923
29.166666666666668,920
29.25,916
29.333333333333332,921
29.416666666666668,925
29.5,926
29.583333333333332,925
29.666666666666668,925
29.75,921
29.833333333333332,927
29.916666666666668,930
30,929
30.083333333333332,930
30.166666666666668,926
30.25,931
30.333333333333332,925
30.416666666666668,924
30.5,930
30.583333333333332,931
30.666666666666668,932
30.75,931
30.833333333333332,934
30.916666666666668,935
31,933
31.083333333333332,933
31.166666666666668,935
31.25,935
31.333333333333332,936
31.416666666666668,940
31.5,936
31.583333333333332,934
31.666666666666668,933
31.75,933
31.833333333333332,930
31.916666666666668,936
32,931
32.083333333333336,936
32.166666666666664,940
32.25,938
32.333333333333336,937
32.416666666666664,937
32.5,943
32.583333333333336,939
32.666666666666664,932
32.75,936
32.833333333333336,943
32.916666666666664,938
33,937
33.083333333333336,943
33.166666666666664,935
33.25,933
33.333333333333336,936
33.416666666666664,943
33.5,942
33.583333333333336,946
33.666666666666664,944
33.75,940
33.833333333333336,944
33.916666666666664,943
34,945
34.083333333333336,944
34.166666666666664,940
34.25,943
34.333333333333336,945
34.416666666666664,945
34.5,947
34.583333333333336,948
34.666666666666664,948
34.75,948
34.833333333333336,942
34.916666666666664,946
35,952
35.083333333333336,952
35.166666666666664,948
35.25,949
35.333333333333336,948
35.416666666666664,948
35.5,952
35.583333333333336,950
35.666666666666664,953
35.75,951
35.833333333333336,953
35.916666666666664,950
36,951
36.083333333333336,944
36.166666666666664,946
36.25,955
36.333333333333336,947
36.416666666666664,948
36.5,952
36.583333333333336,947
36.666666666666664,951
36.75,949
36.833333333333336,953
36.916666666666664,954
37,952
37.083333333333336,948
37.166666666666664,946
37.25,951
37.333333333333336,948
37.416666666666664,952
37.5,950
37.583333333333336,956
37.666666666666664,950
37.75,956
37.833333333333336,955
37.916666666666664,959
38,955
38.083333333333336,955
38.166666666666664,954
38.25,956
38.333333333333336,955
38.416666666666664,953
38.5,962
38.583333333333336,953
38.666666666666664,959
38.75,957
38.833333333333336,957
38.916666666666664,952
39,958
39.083333333333336,956
39.166666666666664,956
39.25,958
39.333333333333336,953
39.416666666666664,955
39.5,961
39.583333333333336,962
39.666666666666664,958
39.75,953
39.833333333333336,960
39.916666666666664,953
40,959
40.083333333333336,955
40.166666666666664,956
40.25,962
40.333333333333336,958
40.416666666666664,964
40.5,959
40.583333333333336,964
40.666666666666664,956
40.75,957
40.833333333333336,958
40.916666666666664,961
41,960
41.083333333333336,958
41.166666666666664,965
41.25,967
41.333333333333336,960
41.416666666666664,963
41.5,967
41.583333333333336,966
41.666666666666664,963
41.75,963
41.833333333333336,964
41.916666666666664,964
42,963
42.083333333333336,963
42.166666666666664,962
42.25,965
42.333333333333336,962
42.416666666666664,965
42.5,961
42.583333333333336,963
42.666666666666664,965
42.75,962
42.833333333333336,963
42.916666666666664,964
43,970
43.083333333333336,962
43.166666666666664,964
43.25,969
43.333333333333336,961
43.416666666666664,962
43.5,963
43.583333333333336,966
43.666666666666664,964
43.75,969
43.833333333333336,969
43.916666666666664,966
44,969
44.083333333333336,966
44.166666666666664,966
44.25,967
44.333333333333336,967
44.416666666666664,965
44.5,969
44.583333333333336,967
44.666666666666664,973
44.75,970
44.833333333333336,969
44.916666666666664,964
45,966
45.083333333333336,972
45.166666666666664,964
45.25,972
45.333333333333336,970
45.416666666666664,967
45.5,963
45.583333333333336,968
45.666666666666664,973
45.75,962
45.833333333333336,967
45.916666666666664,962
46,966
46.083333333333336,969
46.166666666666664,971
46.25,970
46.333333333333336,968
46.416666666666664,967
46.5,970
46.583333333333336,967
46.666666666666664,968
46.75,968
46.833333333333336,972
46.916666666666664,969
47,972
47.083333333333336,965
47.166666666666664,968
47.25,968
47.333333333333336,973
47.416666666666664,969
47.5,971
47.583333333333336,972
47.666666666666664,969
47.75,972
47.833333333333336,964
47.916666666666664,968
