"Hours since thread went live","Mashle: Magic and Muscles Season 2 - Episode 7 discussion"
23.5,993
23.583333333333332,986
23.666666666666668,994
23.75,996
23.833333333333332,998
23.916666666666668,993
24,992
24.083333333333332,996
24.166666666666668,995
24.25,995
24.333333333333332,997
24.416666666666668,996
24.5,1006
24.583333333333332,1008
24.666666666666668,1001
24.75,1006
24.833333333333332,1013
24.916666666666668,1009
25,1011
25.083333333333332,1014
25.166666666666668,1012
25.25,1009
25.333333333333332,1011
25.416666666666668,1015
25.5,1017
25.583333333333332,1015
25.666666666666668,1016
25.75,1012
25.833333333333332,1017
25.916666666666668,1019
26,1017
26.083333333333332,1022
26.166666666666668,1020
26.25,1019
26.333333333333332,1024
26.416666666666668,1022
26.5,1022
26.583333333333332,1020
26.666666666666668,1020
26.75,1023
26.833333333333332,1023
26.916666666666668,1028
27,1026
27.083333333333332,1026
27.166666666666668,1029
27.25,1027
27.333333333333332,1024
27.416666666666668,1029
27.5,1032
27.583333333333332,1035
27.666666666666668,1039
27.75,1034
27.833333333333332,1037
27.916666666666668,1041
28,1036
28.083333333333332,1037
28.166666666666668,1037
28.25,1041
28.333333333333332,1040
28.416666666666668,1044
28.5,1038
28.583333333333332,1040
28.666666666666668,1040
28.75,1047
28.833333333333332,1045
28.916666666666668,1044
29,1041
29.083333333333332,1047
29.166666666666668,1050
29.25,1042
29.333333333333332,1052
29.416666666666668,1053
29.5,1049
29.583333333333332,1050
29.666666666666668,1045
29.75,1054
29.833333333333332,1052
29.916666666666668,1054
30,1056
30.083333333333332,1045
30.166666666666668,1046
30.25,1054
30.333333333333332,1055
30.416666666666668,1048
30.5,1055
30.583333333333332,1052
30.666666666666668,1056
30.75,1053
30.833333333333332,1057
30.916666666666668,1049
31,1051
31.083333333333332,1059
31.166666666666668,1051
31.25,1055
31.333333333333332,1060
31.416666666666668,1056
31.5,1061
31.583333333333332,1056
31.666666666666668,1059
31.75,1061
31.833333333333332,1062
31.916666666666668,1057
32,1062
32.083333333333336,1066
32.166666666666664,1067
32.25,1061
32.333333333333336,1066
32.416666666666664,1059
32.5,1065
32.583333333333336,1064
32.666666666666664,1064
32.75,1067
32.833333333333336,1064
32.916666666666664,1067
33,1066
33.083333333333336,1066
33.166666666666664,1061
33.25,1065
33.333333333333336,1066
33.416666666666664,1063
33.5,1065
33.583333333333336,1068
33.666666666666664,1074
33.75,1064
33.833333333333336,1066
33.916666666666664,1072
34,1074
34.083333333333336,1071
34.166666666666664,1070
34.25,1074
34.333333333333336,1078
34.416666666666664,1075
34.5,1074
34.583333333333336,1074
34.666666666666664,1071
34.75,1075
34.833333333333336,1080
34.916666666666664,1075
35,1074
35.083333333333336,1077
35.166666666666664,1072
35.25,1078
35.333333333333336,1073
35.416666666666664,1078
35.5,1075
35.583333333333336,1078
35.666666666666664,1082
35.75,1076
35.833333333333336,1076
35.916666666666664,1079
36,1076
36.083333333333336,1077
36.166666666666664,1077
36.25,1081
36.333333333333336,1079
36.416666666666664,1083
36.5,1080
36.583333333333336,1083
36.666666666666664,1080
36.75,1079
36.833333333333336,1080
36.916666666666664,1087
37,1082
37.083333333333336,1078
37.166666666666664,1088
37.25,1084
37.333333333333336,1089
37.416666666666664,1082
37.5,1079
37.583333333333336,1079
37.666666666666664,1079
37.75,1084
37.833333333333336,1082
37.916666666666664,1083
38,1089
38.083333333333336,1082
38.166666666666664,1078
38.25,1088
38.333333333333336,1084
38.416666666666664,1082
38.5,1083
38.583333333333336,1086
38.666666666666664,1084
38.75,1080
38.833333333333336,1081
38.916666666666664,1088
39,1081
39.083333333333336,1087
39.166666666666664,1085
39.25,1081
39.333333333333336,1091
39.416666666666664,1090
39.5,1087
39.583333333333336,1085
39.666666666666664,1087
39.75,1087
39.833333333333336,1085
39.916666666666664,1087
40,1089
40.083333333333336,1084
40.166666666666664,1089
40.25,1088
40.333333333333336,1089
40.416666666666664,1089
40.5,1087
40.583333333333336,1094
40.666666666666664,1089
40.75,1088
40.833333333333336,1088
40.916666666666664,1092
41,1091
41.083333333333336,1094
41.166666666666664,1092
41.25,1093
41.333333333333336,1087
41.416666666666664,1091
41.5,1090
41.583333333333336,1094
41.666666666666664,1084
41.75,1093
41.833333333333336,1090
41.916666666666664,1089
42,1088
42.083333333333336,1093
42.166666666666664,1091
42.25,1086
42.333333333333336,1087
42.416666666666664,1096
42.5,1094
42.583333333333336,1092
42.666666666666664,1089
42.75,1088
42.833333333333336,1094
42.916666666666664,1092
43,1091
43.083333333333336,1092
43.166666666666664,1092
43.25,1094
43.333333333333336,1093
43.416666666666664,1097
43.5,1095
43.583333333333336,1095
43.666666666666664,1094
43.75,1099
43.833333333333336,1092
43.916666666666664,1094
44,1100
44.083333333333336,1094
44.166666666666664,1095
44.25,1092
44.333333333333336,1096
44.416666666666664,1093
44.5,1097
44.583333333333336,1094
44.666666666666664,1094
44.75,1099
44.833333333333336,1096
44.916666666666664,1094
45,1090
45.083333333333336,1101
45.166666666666664,1094
45.25,1099
45.333333333333336,1099
45.416666666666664,1097
45.5,1099
45.583333333333336,1098
45.666666666666664,1097
45.75,1094
45.833333333333336,1095
45.916666666666664,1097
46,1094
46.083333333333336,1093
46.166666666666664,1097
46.25,1099
46.333333333333336,1091
46.416666666666664,1096
46.5,1094
46.583333333333336,1096
46.666666666666664,1095
46.75,1095
46.833333333333336,1095
46.916666666666664,1092
47,1096
47.083333333333336,1092
47.166666666666664,1101
47.25,1098
47.333333333333336,1097
47.416666666666664,1096
47.5,1098
47.583333333333336,1099
47.666666666666664,1096
47.75,1101
47.833333333333336,1096
47.916666666666664,1098
