"Hours since thread went live","Yuru Camp△ Season 3 • Laid-Back Camp Season 3 - Episode 2 discussion"
39,845
39.083333333333336,845
39.166666666666664,846
39.25,842
39.333333333333336,846
39.416666666666664,842
39.5,844
39.583333333333336,839
39.666666666666664,846
39.75,846
39.833333333333336,844
39.916666666666664,846
40,843
40.083333333333336,843
40.166666666666664,846
40.25,844
40.333333333333336,844
40.416666666666664,847
40.5,849
40.583333333333336,848
40.666666666666664,845
40.75,840
40.833333333333336,842
40.916666666666664,844
41,841
41.083333333333336,845
41.166666666666664,843
41.25,847
41.333333333333336,845
41.416666666666664,844
41.5,847
41.583333333333336,845
41.666666666666664,842
41.75,839
41.833333333333336,848
41.916666666666664,844
42,846
42.083333333333336,846
42.166666666666664,846
42.25,844
42.333333333333336,847
42.416666666666664,848
42.5,851
42.583333333333336,841
42.666666666666664,847
42.75,847
42.833333333333336,847
42.916666666666664,847
43,850
43.083333333333336,848
43.166666666666664,843
43.25,845
43.333333333333336,851
43.416666666666664,850
43.5,850
43.583333333333336,846
43.666666666666664,844
43.75,854
43.833333333333336,847
43.916666666666664,847
44,848
44.083333333333336,850
44.166666666666664,845
44.25,843
44.333333333333336,849
44.416666666666664,849
44.5,848
44.583333333333336,845
44.666666666666664,847
44.75,848
44.833333333333336,853
44.916666666666664,844
45,851
45.083333333333336,847
45.166666666666664,850
45.25,850
45.333333333333336,847
45.416666666666664,848
45.5,849
45.583333333333336,848
45.666666666666664,852
45.75,853
45.833333333333336,851
45.916666666666664,850
46,844
46.083333333333336,849
46.166666666666664,846
46.25,850
46.333333333333336,850
46.416666666666664,852
46.5,852
46.583333333333336,846
46.666666666666664,850
46.75,848
46.833333333333336,856
46.916666666666664,850
47,848
47.083333333333336,851
47.166666666666664,845
47.25,850
47.333333333333336,852
47.416666666666664,850
47.5,851
47.583333333333336,852
47.666666666666664,854
47.75,850
47.833333333333336,849
47.916666666666664,849
