"Hours since thread went live","Mato Seihei no Slave • Chained Soldier - Episode 10 discussion"
23.5,390
23.583333333333332,391
23.666666666666668,391
23.75,393
23.833333333333332,393
23.916666666666668,391
24,393
24.083333333333332,391
24.166666666666668,396
24.25,389
24.333333333333332,387
24.416666666666668,398
24.5,399
24.583333333333332,395
24.666666666666668,395
24.75,395
24.833333333333332,396
24.916666666666668,398
25,397
25.083333333333332,398
25.166666666666668,394
25.25,397
25.333333333333332,397
25.416666666666668,397
25.5,402
25.583333333333332,403
25.666666666666668,397
25.75,399
25.833333333333332,398
25.916666666666668,404
26,400
26.083333333333332,401
26.166666666666668,401
26.25,396
26.333333333333332,396
26.416666666666668,402
26.5,400
26.583333333333332,399
26.666666666666668,398
26.75,408
26.833333333333332,402
26.916666666666668,402
27,401
27.083333333333332,408
27.166666666666668,401
27.25,400
27.333333333333332,404
27.416666666666668,403
27.5,407
27.583333333333332,404
27.666666666666668,405
27.75,404
27.833333333333332,402
27.916666666666668,402
28,408
28.083333333333332,405
28.166666666666668,405
28.25,402
28.333333333333332,404
28.416666666666668,401
28.5,405
28.583333333333332,412
28.666666666666668,404
28.75,410
28.833333333333332,405
28.916666666666668,409
29,403
29.083333333333332,408
29.166666666666668,405
29.25,409
29.333333333333332,402
29.416666666666668,409
29.5,409
29.583333333333332,404
29.666666666666668,406
29.75,403
29.833333333333332,412
29.916666666666668,409
30,401
30.083333333333332,403
30.166666666666668,408
30.25,407
30.333333333333332,407
30.416666666666668,409
30.5,405
30.583333333333332,412
30.666666666666668,407
30.75,408
30.833333333333332,410
30.916666666666668,407
31,414
31.083333333333332,409
31.166666666666668,408
31.25,404
31.333333333333332,411
31.416666666666668,407
31.5,409
31.583333333333332,408
31.666666666666668,409
31.75,415
31.833333333333332,410
31.916666666666668,410
32,413
32.083333333333336,411
32.166666666666664,414
32.25,411
32.333333333333336,414
32.416666666666664,413
32.5,407
32.583333333333336,411
32.666666666666664,410
32.75,410
32.833333333333336,408
32.916666666666664,412
33,413
33.083333333333336,410
33.166666666666664,408
33.25,419
33.333333333333336,410
33.416666666666664,414
33.5,419
33.583333333333336,418
33.666666666666664,417
33.75,415
33.833333333333336,417
33.916666666666664,412
34,411
34.083333333333336,420
34.166666666666664,415
34.25,420
34.333333333333336,413
34.416666666666664,420
34.5,415
34.583333333333336,415
34.666666666666664,417
34.75,420
34.833333333333336,420
34.916666666666664,418
35,418
35.083333333333336,415
35.166666666666664,414
35.25,423
35.333333333333336,414
35.416666666666664,411
35.5,421
35.583333333333336,416
35.666666666666664,423
35.75,415
35.833333333333336,413
35.916666666666664,416
36,419
36.083333333333336,419
36.166666666666664,423
36.25,422
36.333333333333336,421
36.416666666666664,421
36.5,416
36.583333333333336,421
36.666666666666664,418
36.75,419
36.833333333333336,419
36.916666666666664,424
37,424
37.083333333333336,420
37.166666666666664,420
37.25,421
37.333333333333336,421
37.416666666666664,422
37.5,422
37.583333333333336,422
37.666666666666664,421
37.75,427
37.833333333333336,422
37.916666666666664,425
38,423
38.083333333333336,421
38.166666666666664,424
38.25,423
38.333333333333336,426
38.416666666666664,426
38.5,422
38.583333333333336,423
38.666666666666664,428
38.75,422
38.833333333333336,420
38.916666666666664,424
39,425
39.083333333333336,427
39.166666666666664,422
39.25,428
39.333333333333336,427
39.416666666666664,428
39.5,431
39.583333333333336,426
39.666666666666664,426
39.75,424
39.833333333333336,424
39.916666666666664,432
40,432
40.083333333333336,429
40.166666666666664,426
40.25,428
40.333333333333336,424
40.416666666666664,430
40.5,424
40.583333333333336,425
40.666666666666664,427
40.75,425
40.833333333333336,425
40.916666666666664,430
41,430
41.083333333333336,433
41.166666666666664,427
41.25,426
41.333333333333336,433
41.416666666666664,426
41.5,428
41.583333333333336,429
41.666666666666664,428
41.75,426
41.833333333333336,431
41.916666666666664,430
42,428
42.083333333333336,432
42.166666666666664,431
42.25,424
42.333333333333336,429
42.416666666666664,430
42.5,431
42.583333333333336,429
42.666666666666664,435
42.75,430
42.833333333333336,429
42.916666666666664,429
43,428
43.083333333333336,433
43.166666666666664,429
43.25,435
43.333333333333336,428
43.416666666666664,431
43.5,427
43.583333333333336,425
43.666666666666664,425
43.75,430
43.833333333333336,433
43.916666666666664,430
44,431
44.083333333333336,431
44.166666666666664,436
44.25,433
44.333333333333336,434
44.416666666666664,427
44.5,427
44.583333333333336,432
44.666666666666664,432
44.75,430
44.833333333333336,434
44.916666666666664,429
45,432
45.083333333333336,435
45.166666666666664,433
45.25,435
45.333333333333336,433
45.416666666666664,426
45.5,435
45.583333333333336,434
45.666666666666664,429
45.75,430
45.833333333333336,434
45.916666666666664,432
46,437
46.083333333333336,435
46.166666666666664,433
46.25,432
46.333333333333336,439
46.416666666666664,440
46.5,436
46.583333333333336,439
46.666666666666664,436
46.75,437
46.833333333333336,433
46.916666666666664,434
47,437
47.083333333333336,433
47.166666666666664,439
47.25,433
47.333333333333336,431
47.416666666666664,438
47.5,432
47.583333333333336,433
47.666666666666664,436
47.75,436
47.833333333333336,435
47.916666666666664,440
