"Hours since thread went live","Blue Archive The Animation - Episode 6 discussion"
37.5,186
37.583333333333336,185
37.666666666666664,186
37.75,184
37.833333333333336,187
37.916666666666664,186
38,182
38.083333333333336,185
38.166666666666664,187
38.25,190
38.333333333333336,186
38.416666666666664,188
38.5,187
38.583333333333336,186
38.666666666666664,182
38.75,185
38.833333333333336,184
38.916666666666664,187
39,188
39.083333333333336,186
39.166666666666664,186
39.25,186
39.333333333333336,186
39.416666666666664,184
39.5,183
39.583333333333336,184
39.666666666666664,184
39.75,181
39.833333333333336,184
39.916666666666664,189
40,183
40.083333333333336,185
40.166666666666664,186
40.25,182
40.333333333333336,183
40.416666666666664,182
40.5,186
40.583333333333336,187
40.666666666666664,185
40.75,189
40.833333333333336,188
40.916666666666664,184
41,183
41.083333333333336,182
41.166666666666664,182
41.25,188
41.333333333333336,186
41.416666666666664,187
41.5,187
41.583333333333336,186
41.666666666666664,186
41.75,190
41.833333333333336,187
41.916666666666664,186
42,186
42.083333333333336,187
42.166666666666664,190
42.25,189
42.333333333333336,187
42.416666666666664,187
42.5,188
42.583333333333336,185
42.666666666666664,187
42.75,184
42.833333333333336,188
42.916666666666664,186
43,186
43.083333333333336,185
43.166666666666664,183
43.25,187
43.333333333333336,187
43.416666666666664,187
43.5,190
43.583333333333336,188
43.666666666666664,185
43.75,188
43.833333333333336,191
43.916666666666664,187
44,186
44.083333333333336,187
44.166666666666664,186
44.25,185
44.333333333333336,189
44.416666666666664,190
44.5,192
44.583333333333336,190
44.666666666666664,192
44.75,187
44.833333333333336,189
44.916666666666664,186
45,188
45.083333333333336,191
45.166666666666664,188
45.25,188
45.333333333333336,190
45.416666666666664,190
45.5,193
45.583333333333336,189
45.666666666666664,196
45.75,196
45.833333333333336,193
45.916666666666664,191
46,190
46.083333333333336,192
46.166666666666664,194
46.25,191
46.333333333333336,192
46.416666666666664,191
46.5,191
46.583333333333336,190
46.666666666666664,188
46.75,193
46.833333333333336,192
46.916666666666664,192
47,195
47.083333333333336,190
47.166666666666664,194
47.25,190
47.333333333333336,195
47.416666666666664,193
47.5,189
47.583333333333336,194
47.666666666666664,195
47.75,190
47.833333333333336,190
47.916666666666664,194
