"Hours since thread went live","Oroka na Tenshi wa Akuma to Odoru • The Foolish Angel Dances with the Devil - Episode 8 discussion"
35.416666666666664,244
35.5,246
35.583333333333336,247
35.666666666666664,241
35.75,244
35.833333333333336,242
35.916666666666664,243
36,245
36.083333333333336,245
36.166666666666664,243
36.25,249
36.333333333333336,245
36.416666666666664,242
36.5,243
36.583333333333336,248
36.666666666666664,243
36.75,245
36.833333333333336,248
36.916666666666664,244
37,248
37.083333333333336,243
37.166666666666664,245
37.25,249
37.333333333333336,247
37.416666666666664,247
37.5,243
37.583333333333336,247
37.666666666666664,247
37.75,247
37.833333333333336,243
37.916666666666664,247
38,245
38.083333333333336,250
38.166666666666664,248
38.25,247
38.333333333333336,250
38.416666666666664,245
38.5,244
38.583333333333336,248
38.666666666666664,245
38.75,250
38.833333333333336,248
38.916666666666664,247
39,251
39.083333333333336,244
39.166666666666664,251
39.25,247
39.333333333333336,250
39.416666666666664,251
39.5,244
39.583333333333336,248
39.666666666666664,247
39.75,245
39.833333333333336,243
39.916666666666664,243
40,247
40.083333333333336,246
40.166666666666664,245
40.25,246
40.333333333333336,245
40.416666666666664,247
40.5,246
40.583333333333336,244
40.666666666666664,248
40.75,251
40.833333333333336,245
40.916666666666664,244
41,244
41.083333333333336,245
41.166666666666664,248
41.25,248
41.333333333333336,248
41.416666666666664,248
41.5,247
41.583333333333336,248
41.666666666666664,246
41.75,246
41.833333333333336,249
41.916666666666664,246
42,246
42.083333333333336,250
42.166666666666664,250
42.25,251
42.333333333333336,248
42.416666666666664,251
42.5,251
42.583333333333336,251
42.666666666666664,250
42.75,250
42.833333333333336,247
42.916666666666664,251
43,254
43.083333333333336,248
43.166666666666664,251
43.25,248
43.333333333333336,249
43.416666666666664,254
43.5,254
43.583333333333336,250
43.666666666666664,248
43.75,250
43.833333333333336,252
43.916666666666664,254
44,253
44.083333333333336,253
44.166666666666664,253
44.25,252
44.333333333333336,253
44.416666666666664,254
44.5,248
44.583333333333336,251
44.666666666666664,248
44.75,256
44.833333333333336,254
44.916666666666664,254
45,252
45.083333333333336,251
45.166666666666664,254
45.25,253
45.333333333333336,254
45.416666666666664,248
45.5,254
45.583333333333336,252
45.666666666666664,253
45.75,253
45.833333333333336,251
45.916666666666664,252
46,255
46.083333333333336,253
46.166666666666664,253
46.25,255
46.333333333333336,252
46.5,253
46.583333333333336,256
46.666666666666664,253
46.75,255
46.833333333333336,256
46.916666666666664,257
47,252
47.083333333333336,257
47.166666666666664,253
47.25,257
47.333333333333336,257
47.416666666666664,253
47.5,253
47.583333333333336,255
47.666666666666664,255
47.75,258
47.833333333333336,258
47.916666666666664,256
