"Hours since thread went live","Blue Archive The Animation - Episode 5 discussion"
42.5,180
42.583333333333336,178
42.666666666666664,179
42.75,179
42.833333333333336,177
42.916666666666664,176
43,178
43.083333333333336,178
43.166666666666664,178
43.25,183
43.333333333333336,179
43.416666666666664,177
43.5,178
43.583333333333336,180
43.666666666666664,182
43.75,184
43.833333333333336,180
43.916666666666664,181
44,184
44.083333333333336,181
44.166666666666664,185
44.25,178
44.333333333333336,183
44.416666666666664,182
44.5,185
44.583333333333336,179
44.666666666666664,179
44.75,178
44.833333333333336,178
44.916666666666664,179
45,182
45.083333333333336,183
45.166666666666664,184
45.25,182
45.333333333333336,184
45.416666666666664,184
45.5,183
45.583333333333336,178
45.666666666666664,183
45.75,182
45.833333333333336,179
45.916666666666664,182
46,179
46.083333333333336,182
46.166666666666664,183
46.25,181
46.333333333333336,186
46.416666666666664,184
46.5,183
46.583333333333336,181
46.666666666666664,182
46.75,185
46.833333333333336,183
46.916666666666664,187
47,181
47.083333333333336,186
47.166666666666664,183
47.25,182
47.333333333333336,184
47.416666666666664,183
47.5,185
47.583333333333336,181
47.666666666666664,187
47.75,184
47.833333333333336,183
47.916666666666664,185
