"Hours since thread went live","Henjin no Salad Bowl • A Salad Bowl of Eccentrics - Episode 3 discussion"
38.666666666666664,396
38.75,401
38.833333333333336,398
38.916666666666664,399
39,404
39.083333333333336,401
39.166666666666664,402
39.25,402
39.333333333333336,406
39.416666666666664,400
39.5,403
39.583333333333336,405
39.666666666666664,404
39.75,399
39.833333333333336,397
39.916666666666664,401
40,401
40.083333333333336,407
40.166666666666664,404
40.25,408
40.333333333333336,401
40.416666666666664,404
40.5,404
40.583333333333336,403
40.666666666666664,399
40.75,405
40.833333333333336,402
40.916666666666664,408
41,409
41.083333333333336,402
41.166666666666664,407
41.25,410
41.333333333333336,406
41.416666666666664,404
41.5,405
41.583333333333336,405
41.666666666666664,404
41.75,406
41.833333333333336,402
41.916666666666664,403
42,400
42.083333333333336,407
42.166666666666664,406
42.25,407
42.333333333333336,407
42.416666666666664,406
42.5,404
42.583333333333336,402
42.666666666666664,401
42.75,406
42.833333333333336,406
42.916666666666664,405
43,411
43.083333333333336,400
43.166666666666664,408
43.25,405
43.333333333333336,408
43.416666666666664,405
43.5,405
43.583333333333336,409
43.666666666666664,408
43.75,407
43.833333333333336,410
43.916666666666664,409
44,406
44.083333333333336,410
44.166666666666664,407
44.25,405
44.333333333333336,409
44.416666666666664,408
44.5,405
44.583333333333336,410
44.666666666666664,406
44.75,407
44.833333333333336,410
44.916666666666664,405
45,411
45.083333333333336,409
45.166666666666664,413
45.25,413
45.333333333333336,407
45.416666666666664,411
45.5,405
45.583333333333336,406
45.666666666666664,410
45.75,408
45.833333333333336,408
45.916666666666664,417
46,409
46.083333333333336,414
46.166666666666664,416
46.25,416
46.333333333333336,413
46.416666666666664,410
46.5,413
46.583333333333336,410
46.666666666666664,414
46.75,418
46.833333333333336,412
46.916666666666664,414
47,419
47.083333333333336,413
47.166666666666664,415
47.25,415
47.333333333333336,413
47.416666666666664,415
47.5,417
47.583333333333336,411
47.666666666666664,409
47.75,415
47.833333333333336,412
47.916666666666664,416
