"Hours since thread went live","Jigokuraku • Hell's Paradise - Episode 13 discussion - FINAL"
42.833333333333336,2608
42.916666666666664,2609
43,2606
43.083333333333336,2606
43.166666666666664,2607
43.25,2611
43.333333333333336,2610
43.416666666666664,2609
43.5,2617
43.583333333333336,2612
43.666666666666664,2614
43.75,2613
43.833333333333336,2618
43.916666666666664,2612
44,2612
44.083333333333336,2619
44.166666666666664,2613
44.25,2614
44.333333333333336,2618
44.416666666666664,2619
44.5,2619
44.583333333333336,2615
44.666666666666664,2617
44.75,2623
44.833333333333336,2616
44.916666666666664,2624
45,2620
45.083333333333336,2625
45.166666666666664,2620
45.25,2624
45.333333333333336,2622
45.416666666666664,2627
45.5,2626
45.583333333333336,2626
45.666666666666664,2629
45.75,2629
45.833333333333336,2623
45.916666666666664,2626
46,2625
46.083333333333336,2630
46.166666666666664,2626
46.25,2628
46.333333333333336,2632
46.416666666666664,2628
46.5,2629
46.583333333333336,2634
46.666666666666664,2630
46.75,2632
46.833333333333336,2638
46.916666666666664,2633
47,2638
47.083333333333336,2632
47.166666666666664,2633
47.25,2631
47.333333333333336,2635
47.416666666666664,2634
47.5,2638
47.583333333333336,2634
47.666666666666664,2633
47.75,2634
47.833333333333336,2630
47.916666666666664,2638
