"Hours since thread went live","Kimi no Koto ga Daidaidaidaidaisuki na 100-nin no Kanojo • The 100 Girlfriends Who Really, Really, Really, Really, Really Love You - Episode 11 discussion"
39.666666666666664,2195
39.75,2197
39.833333333333336,2195
39.916666666666664,2197
40,2197
40.083333333333336,2194
40.166666666666664,2204
40.25,2202
40.333333333333336,2203
40.416666666666664,2201
40.5,2198
40.583333333333336,2202
40.666666666666664,2200
40.75,2199
40.833333333333336,2196
40.916666666666664,2203
41,2196
41.083333333333336,2203
41.166666666666664,2207
41.25,2205
41.333333333333336,2202
41.416666666666664,2207
41.5,2203
41.583333333333336,2204
41.666666666666664,2206
41.75,2206
41.833333333333336,2209
41.916666666666664,2203
42,2203
42.083333333333336,2203
42.166666666666664,2203
42.25,2209
42.333333333333336,2207
42.416666666666664,2208
42.5,2210
42.583333333333336,2210
42.666666666666664,2212
42.75,2211
42.833333333333336,2214
42.916666666666664,2209
43,2213
43.083333333333336,2212
43.166666666666664,2214
43.25,2219
43.333333333333336,2219
43.416666666666664,2215
43.5,2211
43.583333333333336,2213
43.666666666666664,2216
43.75,2218
43.833333333333336,2212
43.916666666666664,2214
44,2214
44.083333333333336,2215
44.166666666666664,2211
44.25,2219
44.333333333333336,2217
44.416666666666664,2220
44.5,2218
44.583333333333336,2220
44.666666666666664,2216
44.75,2215
44.833333333333336,2215
44.916666666666664,2218
45,2218
45.083333333333336,2215
45.166666666666664,2214
45.25,2216
45.333333333333336,2216
45.416666666666664,2219
45.5,2216
45.583333333333336,2217
45.666666666666664,2215
45.75,2222
45.833333333333336,2221
45.916666666666664,2216
46,2223
46.083333333333336,2218
46.166666666666664,2218
46.25,2224
46.333333333333336,2223
46.416666666666664,2222
46.5,2223
46.583333333333336,2227
46.666666666666664,2227
46.75,2228
46.833333333333336,2224
46.916666666666664,2224
47,2221
47.083333333333336,2226
47.166666666666664,2222
47.25,2227
47.333333333333336,2228
47.416666666666664,2222
47.5,2224
47.583333333333336,2226
47.666666666666664,2226
47.75,2228
47.833333333333336,2232
47.916666666666664,2226
