"Hours since thread went live","Girls Band Cry - Episode 3 discussion"
13.333333333333334,446
13.416666666666666,449
13.5,448
13.583333333333334,452
13.666666666666666,447
13.75,448
13.833333333333334,450
13.916666666666666,456
14,453
14.083333333333334,453
14.166666666666666,452
14.25,455
14.333333333333334,452
14.416666666666666,449
14.5,456
14.583333333333334,454
14.666666666666666,460
14.75,456
14.833333333333334,451
14.916666666666666,457
15,456
15.083333333333334,454
15.166666666666666,459
15.25,460
15.333333333333334,462
15.416666666666666,462
15.5,461
15.583333333333334,459
15.666666666666666,460
15.75,459
15.833333333333334,466
15.916666666666666,461
16,462
16.083333333333332,466
16.166666666666668,464
16.25,467
16.333333333333332,462
16.416666666666668,468
16.5,467
16.583333333333332,469
16.666666666666668,461
16.75,462
16.833333333333332,466
16.916666666666668,471
17,465
17.083333333333332,469
17.166666666666668,472
17.25,474
17.333333333333332,472
17.416666666666668,473
17.5,474
17.583333333333332,475
17.666666666666668,473
17.75,477
17.833333333333332,472
17.916666666666668,472
18,477
18.083333333333332,477
18.166666666666668,477
18.25,483
18.333333333333332,475
18.416666666666668,477
18.5,479
18.583333333333332,477
18.666666666666668,482
18.75,486
18.833333333333332,485
18.916666666666668,492
19,487
19.083333333333332,485
19.166666666666668,489
19.25,488
19.333333333333332,489
19.416666666666668,491
19.5,488
19.583333333333332,488
19.666666666666668,492
19.75,492
19.833333333333332,495
19.916666666666668,497
20,492
20.083333333333332,494
20.166666666666668,491
20.25,493
20.333333333333332,494
20.416666666666668,498
20.5,493
20.583333333333332,499
20.666666666666668,497
20.75,496
20.833333333333332,495
20.916666666666668,501
21,502
21.083333333333332,497
21.166666666666668,495
21.25,497
21.333333333333332,496
21.416666666666668,502
21.5,500
21.583333333333332,505
21.666666666666668,508
21.75,502
21.833333333333332,504
21.916666666666668,507
22,502
22.083333333333332,508
22.166666666666668,510
22.25,501
22.333333333333332,506
22.416666666666668,508
22.5,511
22.583333333333332,514
22.666666666666668,503
22.75,507
22.833333333333332,506
22.916666666666668,507
23,507
23.083333333333332,509
23.166666666666668,514
23.25,515
23.333333333333332,507
23.416666666666668,513
23.5,509
23.583333333333332,512
23.666666666666668,509
23.75,510
23.833333333333332,515
23.916666666666668,507
24,516
24.083333333333332,517
24.166666666666668,521
24.25,513
24.333333333333332,512
24.416666666666668,516
24.5,512
24.583333333333332,512
24.666666666666668,516
24.75,521
24.833333333333332,520
24.916666666666668,521
25,519
25.083333333333332,521
25.166666666666668,523
25.25,522
25.333333333333332,525
25.416666666666668,522
25.5,527
25.583333333333332,525
25.666666666666668,523
25.75,528
25.833333333333332,524
25.916666666666668,522
26,524
26.083333333333332,528
26.166666666666668,527
26.25,524
26.333333333333332,525
26.416666666666668,530
26.5,524
26.583333333333332,535
26.666666666666668,531
26.75,535
26.833333333333332,528
26.916666666666668,535
27,534
27.083333333333332,529
27.166666666666668,531
27.25,529
27.333333333333332,536
27.416666666666668,530
27.5,537
27.583333333333332,534
27.666666666666668,528
27.75,533
27.833333333333332,536
27.916666666666668,530
28,533
28.083333333333332,537
28.166666666666668,530
28.25,535
28.333333333333332,538
28.416666666666668,538
28.5,540
28.583333333333332,539
28.666666666666668,534
28.75,535
28.833333333333332,540
28.916666666666668,537
29,543
29.083333333333332,542
29.166666666666668,537
29.25,539
29.333333333333332,543
29.416666666666668,534
29.583333333333332,537
29.666666666666668,537
29.75,535
29.833333333333332,537
29.916666666666668,539
30,537
30.083333333333332,542
30.166666666666668,536
30.25,544
30.333333333333332,543
30.416666666666668,544
30.5,541
30.583333333333332,545
30.666666666666668,543
30.75,543
30.833333333333332,546
30.916666666666668,544
31,542
31.083333333333332,545
31.166666666666668,542
31.25,544
31.333333333333332,546
31.416666666666668,546
31.5,543
31.583333333333332,539
31.666666666666668,540
31.75,539
31.833333333333332,546
31.916666666666668,544
32,543
32.083333333333336,548
32.166666666666664,545
32.25,545
32.333333333333336,541
32.416666666666664,543
32.5,546
32.583333333333336,547
32.666666666666664,547
32.75,545
32.833333333333336,547
32.916666666666664,541
33,542
33.083333333333336,541
33.166666666666664,546
33.25,546
33.333333333333336,548
33.416666666666664,551
33.5,546
33.583333333333336,550
33.666666666666664,546
33.75,543
33.833333333333336,554
33.916666666666664,548
34,548
34.083333333333336,547
34.166666666666664,550
34.25,552
34.333333333333336,552
34.416666666666664,548
34.5,550
34.583333333333336,552
34.666666666666664,549
34.75,551
34.833333333333336,558
34.916666666666664,552
35,553
35.083333333333336,554
35.166666666666664,554
35.25,557
35.333333333333336,555
35.416666666666664,556
35.5,552
35.583333333333336,555
35.666666666666664,560
35.75,555
35.833333333333336,561
35.916666666666664,556
36,554
36.083333333333336,552
36.166666666666664,556
36.25,551
36.333333333333336,556
36.416666666666664,555
36.5,556
36.583333333333336,558
36.666666666666664,561
36.75,554
36.833333333333336,559
36.916666666666664,563
37,563
37.083333333333336,559
37.166666666666664,561
37.25,560
