"Hours since thread went live","Mahou Shoujo ni Akogarete • Gushing over Magical Girls - Episode 10 discussion"
12.833333333333334,1360
12.916666666666666,1356
13,1369
13.083333333333334,1368
13.166666666666666,1373
13.25,1375
13.333333333333334,1382
13.416666666666666,1385
13.5,1387
13.583333333333334,1394
13.666666666666666,1403
13.75,1405
13.833333333333334,1413
13.916666666666666,1411
14,1415
14.083333333333334,1418
14.166666666666666,1419
14.25,1426
14.333333333333334,1421
14.416666666666666,1426
14.5,1433
14.583333333333334,1435
14.666666666666666,1437
14.75,1444
14.833333333333334,1446
14.916666666666666,1450
15,1446
15.083333333333334,1454
15.166666666666666,1450
15.25,1454
15.333333333333334,1463
15.416666666666666,1464
15.5,1469
15.583333333333334,1468
15.666666666666666,1474
15.75,1476
15.833333333333334,1471
15.916666666666666,1480
16,1481
16.083333333333332,1486
16.166666666666668,1479
16.25,1484
16.333333333333332,1485
16.416666666666668,1483
16.5,1490
16.583333333333332,1486
16.666666666666668,1492
16.75,1495
16.833333333333332,1495
16.916666666666668,1501
17,1503
17.083333333333332,1505
17.166666666666668,1503
17.25,1509
17.333333333333332,1514
17.416666666666668,1511
17.5,1511
17.583333333333332,1513
17.666666666666668,1514
17.75,1514
17.833333333333332,1520
17.916666666666668,1526
18,1527
18.083333333333332,1533
18.166666666666668,1530
18.25,1533
18.333333333333332,1534
18.416666666666668,1532
18.5,1536
18.583333333333332,1539
18.666666666666668,1537
18.75,1543
18.833333333333332,1547
18.916666666666668,1546
19,1547
19.083333333333332,1549
19.166666666666668,1549
19.25,1552
19.333333333333332,1552
19.416666666666668,1550
19.5,1553
19.583333333333332,1550
19.666666666666668,1554
19.75,1558
19.833333333333332,1561
19.916666666666668,1558
20,1556
20.083333333333332,1561
20.166666666666668,1564
20.25,1569
20.333333333333332,1566
20.416666666666668,1563
20.5,1571
20.583333333333332,1574
20.666666666666668,1579
20.75,1572
20.833333333333332,1575
20.916666666666668,1579
21,1579
21.083333333333332,1577
21.166666666666668,1584
21.25,1582
21.333333333333332,1582
21.416666666666668,1589
21.5,1586
21.583333333333332,1587
21.666666666666668,1596
21.75,1597
21.833333333333332,1592
21.916666666666668,1600
22,1602
22.083333333333332,1610
22.166666666666668,1606
22.25,1606
22.333333333333332,1609
22.416666666666668,1614
22.5,1621
22.583333333333332,1617
22.666666666666668,1622
22.75,1616
22.833333333333332,1617
22.916666666666668,1622
23,1624
23.083333333333332,1623
23.166666666666668,1622
23.25,1625
23.333333333333332,1625
23.416666666666668,1633
23.5,1630
23.583333333333332,1633
23.666666666666668,1632
23.75,1635
23.833333333333332,1633
23.916666666666668,1640
24,1640
24.083333333333332,1646
24.166666666666668,1649
24.25,1649
24.333333333333332,1645
24.416666666666668,1650
24.5,1651
24.583333333333332,1648
24.666666666666668,1654
24.75,1655
24.833333333333332,1658
24.916666666666668,1653
