"Hours since thread went live","Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e Season 3 • Classroom of the Elite Season 3 - Episode 12 discussion"
21.5,739
21.583333333333332,737
21.666666666666668,746
21.75,737
21.833333333333332,746
21.916666666666668,748
22,746
22.083333333333332,743
22.166666666666668,744
22.25,741
22.333333333333332,746
22.416666666666668,744
22.5,748
22.583333333333332,747
22.666666666666668,752
22.75,745
22.833333333333332,749
22.916666666666668,751
23,745
23.083333333333332,755
23.166666666666668,750
23.25,755
23.333333333333332,752
23.416666666666668,758
23.5,758
23.583333333333332,753
23.666666666666668,749
23.75,749
23.833333333333332,756
23.916666666666668,758
24,757
24.083333333333332,755
24.166666666666668,757
24.25,753
24.333333333333332,753
24.416666666666668,759
24.5,765
24.583333333333332,756
24.666666666666668,762
24.75,761
24.833333333333332,763
24.916666666666668,760
25,765
25.083333333333332,765
25.166666666666668,761
25.25,761
25.333333333333332,766
25.416666666666668,763
25.5,762
25.583333333333332,769
25.666666666666668,769
25.75,769
25.833333333333332,773
25.916666666666668,777
26,776
26.083333333333332,775
26.166666666666668,774
26.25,769
26.333333333333332,771
26.416666666666668,773
26.5,778
26.583333333333332,774
26.666666666666668,779
26.75,778
26.833333333333332,773
26.916666666666668,772
27,774
27.083333333333332,778
27.166666666666668,777
27.25,780
27.333333333333332,783
27.416666666666668,779
27.5,780
27.583333333333332,780
27.666666666666668,779
27.75,784
27.833333333333332,789
27.916666666666668,784
28,783
28.083333333333332,784
28.166666666666668,780
28.25,786
28.333333333333332,786
28.416666666666668,781
28.5,791
28.583333333333332,788
28.666666666666668,790
28.75,788
28.833333333333332,791
28.916666666666668,784
29,791
29.083333333333332,789
29.166666666666668,792
29.25,792
29.333333333333332,792
29.416666666666668,794
29.5,796
29.583333333333332,788
29.666666666666668,792
29.75,796
29.833333333333332,799
29.916666666666668,797
30,801
30.083333333333332,800
30.166666666666668,793
30.25,801
30.333333333333332,798
30.416666666666668,798
30.5,798
30.583333333333332,801
30.666666666666668,794
30.75,799
30.833333333333332,797
30.916666666666668,803
31,804
31.083333333333332,797
31.166666666666668,801
31.25,800
31.333333333333332,807
31.416666666666668,804
31.5,804
31.583333333333332,800
31.666666666666668,802
31.75,801
31.833333333333332,802
31.916666666666668,805
32,806
32.083333333333336,809
32.166666666666664,809
32.25,801
32.333333333333336,804
32.416666666666664,803
32.5,799
32.583333333333336,801
32.666666666666664,804
32.75,807
32.833333333333336,811
32.916666666666664,806
33,803
33.083333333333336,803
33.166666666666664,812
33.25,808
33.333333333333336,811
33.416666666666664,802
33.5,812
33.583333333333336,809
33.666666666666664,804
33.75,804
33.833333333333336,808
33.916666666666664,810
34,815
34.083333333333336,808
34.166666666666664,809
34.25,817
34.333333333333336,811
34.416666666666664,813
34.5,813
34.583333333333336,812
34.666666666666664,812
34.75,817
34.833333333333336,812
34.916666666666664,811
35,815
35.083333333333336,818
35.166666666666664,813
35.25,811
35.333333333333336,817
35.416666666666664,814
35.5,814
35.583333333333336,815
35.666666666666664,818
35.75,811
35.833333333333336,813
35.916666666666664,817
36,815
36.083333333333336,812
36.166666666666664,815
36.25,817
36.333333333333336,817
36.416666666666664,819
36.5,813
36.583333333333336,814
36.666666666666664,819
36.75,814
36.833333333333336,818
36.916666666666664,823
37,817
37.083333333333336,817
37.166666666666664,816
37.25,815
37.333333333333336,815
37.416666666666664,821
37.5,825
37.583333333333336,819
37.666666666666664,823
37.75,826
37.833333333333336,823
37.916666666666664,816
38,820
38.083333333333336,825
38.166666666666664,825
38.25,824
38.333333333333336,828
38.416666666666664,818
38.5,823
38.583333333333336,822
38.666666666666664,828
38.75,825
38.833333333333336,828
38.916666666666664,822
39,833
39.083333333333336,831
39.166666666666664,830
39.25,827
39.333333333333336,826
39.416666666666664,823
39.5,827
39.583333333333336,832
39.666666666666664,830
39.75,832
39.833333333333336,826
39.916666666666664,827
40,827
40.083333333333336,822
40.166666666666664,826
40.25,829
40.333333333333336,829
40.416666666666664,827
40.5,826
40.583333333333336,831
40.666666666666664,833
40.75,832
40.833333333333336,828
40.916666666666664,828
41,826
41.083333333333336,827
41.166666666666664,832
41.25,835
41.333333333333336,835
41.416666666666664,833
41.5,828
41.583333333333336,832
41.666666666666664,827
41.75,831
41.916666666666664,829
42,831
42.083333333333336,828
42.166666666666664,832
42.25,830
42.333333333333336,833
42.416666666666664,832
42.5,832
42.583333333333336,831
42.666666666666664,836
42.75,831
42.833333333333336,838
42.916666666666664,839
43,831
43.083333333333336,834
43.166666666666664,830
43.25,834
43.333333333333336,832
43.416666666666664,831
43.5,838
43.583333333333336,829
43.666666666666664,834
43.75,835
43.833333333333336,830
43.916666666666664,836
44,837
44.083333333333336,833
44.166666666666664,830
44.25,831
44.333333333333336,833
44.416666666666664,833
44.5,832
44.583333333333336,829
44.666666666666664,835
44.75,832
44.833333333333336,835
44.916666666666664,828
45,837
45.083333333333336,835
45.166666666666664,833
45.25,837
45.333333333333336,837
45.416666666666664,832
45.5,835
45.583333333333336,834
45.666666666666664,833
45.75,837
45.833333333333336,839
45.916666666666664,837
46,835
46.083333333333336,836
46.166666666666664,839
46.25,840
46.333333333333336,838
46.416666666666664,837
46.5,834
46.583333333333336,831
46.666666666666664,836
46.75,834
46.833333333333336,836
46.916666666666664,836
47,832
47.083333333333336,838
47.166666666666664,835
47.25,834
47.333333333333336,835
47.416666666666664,838
47.5,837
47.583333333333336,836
47.666666666666664,836
47.75,841
47.833333333333336,842
47.916666666666664,831
