"Hours since thread went live","Shingeki no Kyojin: The Final Season • Attack on Titan Final Season THE FINAL CHAPTERS - Special Episode 2"
45.583333333333336,10995
45.666666666666664,11002
45.75,10996
45.833333333333336,11005
45.916666666666664,10990
46,10998
46.083333333333336,11004
46.166666666666664,11000
46.25,11009
46.333333333333336,11009
46.416666666666664,11006
46.5,11010
46.583333333333336,11017
46.666666666666664,11014
46.75,11027
46.833333333333336,11031
46.916666666666664,11026
47,11033
47.083333333333336,11034
47.166666666666664,11034
47.25,11033
47.333333333333336,11043
47.416666666666664,11037
47.5,11039
47.583333333333336,11046
47.666666666666664,11050
47.75,11049
47.833333333333336,11052
47.916666666666664,11057
