"Hours since thread went live","Boku no Hero Academia Season 7 • My Hero Academia Season 7 - Episode 4 discussion"
33.416666666666664,1162
33.5,1164
33.583333333333336,1165
33.666666666666664,1168
33.75,1163
33.833333333333336,1164
33.916666666666664,1164
34,1166
34.083333333333336,1166
34.166666666666664,1163
34.25,1165
34.333333333333336,1166
34.416666666666664,1165
34.5,1165
34.583333333333336,1170
34.666666666666664,1166
34.75,1165
34.833333333333336,1167
34.916666666666664,1163
35,1164
35.083333333333336,1170
35.166666666666664,1167
35.25,1167
35.333333333333336,1169
35.416666666666664,1167
35.5,1165
35.583333333333336,1169
35.666666666666664,1165
35.75,1166
35.833333333333336,1173
35.916666666666664,1176
36,1174
36.083333333333336,1170
36.166666666666664,1176
36.25,1169
36.333333333333336,1174
36.416666666666664,1171
36.5,1173
36.583333333333336,1176
36.666666666666664,1181
36.75,1179
36.833333333333336,1176
36.916666666666664,1173
37,1176
37.083333333333336,1173
37.166666666666664,1180
37.25,1177
37.333333333333336,1175
37.416666666666664,1179
37.5,1178
37.583333333333336,1176
37.666666666666664,1172
37.75,1177
37.833333333333336,1175
37.916666666666664,1179
38,1183
38.083333333333336,1182
38.166666666666664,1176
38.25,1179
38.333333333333336,1182
38.416666666666664,1179
38.5,1175
38.583333333333336,1177
38.666666666666664,1175
38.75,1181
38.833333333333336,1186
38.916666666666664,1182
39,1183
39.083333333333336,1183
39.166666666666664,1182
39.25,1185
39.333333333333336,1185
39.416666666666664,1184
39.5,1181
39.583333333333336,1180
39.666666666666664,1182
39.75,1184
39.833333333333336,1181
39.916666666666664,1180
40,1183
40.083333333333336,1182
40.166666666666664,1179
40.25,1181
40.333333333333336,1183
40.416666666666664,1184
40.5,1186
40.583333333333336,1180
40.666666666666664,1183
40.75,1186
40.833333333333336,1183
40.916666666666664,1186
41,1183
41.083333333333336,1186
41.166666666666664,1183
41.25,1187
41.333333333333336,1182
41.416666666666664,1183
41.5,1186
41.583333333333336,1182
41.666666666666664,1183
41.75,1179
41.833333333333336,1185
41.916666666666664,1182
42,1181
42.083333333333336,1179
42.166666666666664,1186
42.25,1182
42.333333333333336,1190
42.416666666666664,1186
42.5,1185
42.583333333333336,1185
42.666666666666664,1190
42.75,1186
42.833333333333336,1188
42.916666666666664,1182
43,1188
43.083333333333336,1185
43.166666666666664,1187
43.25,1186
43.333333333333336,1194
43.416666666666664,1188
43.5,1186
43.583333333333336,1189
43.666666666666664,1186
43.75,1192
43.833333333333336,1185
43.916666666666664,1185
44,1190
44.083333333333336,1190
44.166666666666664,1192
44.25,1191
44.333333333333336,1193
44.416666666666664,1194
44.5,1190
44.583333333333336,1192
44.666666666666664,1190
44.75,1191
44.833333333333336,1192
44.916666666666664,1192
45,1190
45.083333333333336,1188
45.166666666666664,1193
45.25,1192
45.333333333333336,1186
45.416666666666664,1187
45.5,1197
45.583333333333336,1195
45.666666666666664,1193
45.75,1195
45.833333333333336,1190
45.916666666666664,1193
46,1192
46.083333333333336,1192
46.166666666666664,1193
46.25,1190
46.333333333333336,1192
46.416666666666664,1191
46.5,1196
46.583333333333336,1194
46.666666666666664,1191
46.75,1192
46.833333333333336,1192
46.916666666666664,1197
47,1196
47.083333333333336,1197
47.166666666666664,1192
47.25,1190
47.333333333333336,1197
47.416666666666664,1192
47.5,1192
47.583333333333336,1195
47.666666666666664,1192
47.75,1197
47.833333333333336,1196
47.916666666666664,1197
