"Hours since thread went live","The iDOLM@STER Shiny Colors - Episode 2 discussion"
39.083333333333336,29
39.166666666666664,29
39.25,26
39.333333333333336,26
39.416666666666664,28
39.5,25
39.583333333333336,28
39.666666666666664,29
39.75,29
39.833333333333336,25
39.916666666666664,30
40,30
40.083333333333336,26
40.166666666666664,30
40.25,28
40.333333333333336,31
40.416666666666664,31
40.5,27
40.583333333333336,30
40.666666666666664,27
40.75,26
40.833333333333336,28
40.916666666666664,30
41,29
41.083333333333336,28
41.166666666666664,25
41.25,30
41.333333333333336,25
41.416666666666664,31
41.5,30
41.583333333333336,31
41.666666666666664,31
41.75,30
41.833333333333336,29
41.916666666666664,26
42,29
42.083333333333336,30
42.166666666666664,29
42.25,27
42.333333333333336,30
42.416666666666664,32
42.5,29
42.583333333333336,30
42.666666666666664,30
42.75,32
42.833333333333336,29
42.916666666666664,25
43,27
43.083333333333336,30
43.166666666666664,28
43.25,30
43.333333333333336,30
43.416666666666664,30
43.5,31
43.583333333333336,30
43.666666666666664,28
43.75,29
43.833333333333336,32
43.916666666666664,31
44,29
44.083333333333336,25
44.166666666666664,27
44.25,29
44.333333333333336,30
44.416666666666664,28
44.5,28
44.583333333333336,28
44.666666666666664,32
44.75,28
44.833333333333336,28
44.916666666666664,28
45,28
45.083333333333336,29
45.166666666666664,28
45.25,27
45.333333333333336,29
45.416666666666664,28
45.5,27
45.583333333333336,31
45.666666666666664,30
45.75,26
45.833333333333336,26
45.916666666666664,32
46,27
46.083333333333336,28
46.166666666666664,27
46.25,31
46.333333333333336,29
46.416666666666664,27
46.5,29
46.583333333333336,25
46.666666666666664,29
46.75,30
46.833333333333336,30
46.916666666666664,30
47,26
47.083333333333336,31
47.166666666666664,28
47.25,27
47.333333333333336,32
47.416666666666664,31
47.5,31
47.583333333333336,32
47.666666666666664,30
47.75,28
47.833333333333336,33
47.916666666666664,29
