"Hours since thread went live","Yoru no Kurage wa Oyogenai • Jellyfish Can't Swim in the Night - Episode 6 discussion"
30.833333333333332,1623
30.916666666666668,1628
31,1628
31.083333333333332,1627
31.166666666666668,1630
31.25,1628
31.333333333333332,1631
31.416666666666668,1629
31.5,1626
31.583333333333332,1630
31.666666666666668,1631
31.75,1633
31.833333333333332,1637
31.916666666666668,1633
32,1634
32.083333333333336,1638
32.166666666666664,1633
32.25,1637
32.333333333333336,1634
32.416666666666664,1641
32.5,1638
32.583333333333336,1634
32.666666666666664,1639
32.75,1637
32.833333333333336,1641
32.916666666666664,1638
33,1640
33.083333333333336,1644
33.166666666666664,1647
33.25,1644
33.333333333333336,1641
33.416666666666664,1640
33.5,1645
33.583333333333336,1644
33.666666666666664,1646
33.75,1651
33.833333333333336,1645
33.916666666666664,1647
34,1643
34.083333333333336,1648
34.166666666666664,1654
34.25,1647
34.333333333333336,1652
34.416666666666664,1648
34.5,1651
34.583333333333336,1654
34.666666666666664,1648
34.75,1650
34.833333333333336,1650
34.916666666666664,1653
35,1657
35.083333333333336,1654
35.166666666666664,1657
35.25,1652
35.333333333333336,1658
35.416666666666664,1656
35.5,1659
35.583333333333336,1660
35.666666666666664,1663
35.75,1658
35.833333333333336,1659
35.916666666666664,1658
36,1658
36.083333333333336,1664
36.166666666666664,1662
36.25,1662
36.333333333333336,1660
36.416666666666664,1663
36.5,1664
36.583333333333336,1664
36.666666666666664,1667
36.75,1659
36.833333333333336,1664
36.916666666666664,1662
37,1664
37.083333333333336,1666
37.166666666666664,1663
37.25,1668
37.333333333333336,1667
37.416666666666664,1670
37.5,1664
37.583333333333336,1666
37.666666666666664,1661
37.75,1663
37.833333333333336,1663
37.916666666666664,1663
38,1665
38.083333333333336,1673
38.166666666666664,1673
38.25,1674
38.333333333333336,1675
38.416666666666664,1676
38.5,1672
38.583333333333336,1669
38.666666666666664,1673
38.75,1679
38.833333333333336,1675
38.916666666666664,1674
39,1672
39.083333333333336,1678
39.166666666666664,1677
39.25,1670
39.333333333333336,1681
39.416666666666664,1674
39.5,1676
39.583333333333336,1676
39.666666666666664,1676
39.75,1678
39.833333333333336,1678
39.916666666666664,1681
40,1678
40.083333333333336,1679
40.166666666666664,1680
40.25,1683
40.333333333333336,1677
40.416666666666664,1686
40.5,1681
40.583333333333336,1682
40.666666666666664,1685
40.75,1680
40.833333333333336,1684
40.916666666666664,1680
41,1682
41.083333333333336,1684
41.166666666666664,1684
41.25,1682
41.333333333333336,1684
41.416666666666664,1686
41.5,1683
41.583333333333336,1680
41.666666666666664,1685
41.75,1684
41.833333333333336,1681
41.916666666666664,1689
42,1689
42.083333333333336,1690
42.166666666666664,1686
42.25,1689
42.333333333333336,1685
42.416666666666664,1685
42.5,1692
42.583333333333336,1689
42.666666666666664,1691
42.75,1690
42.833333333333336,1688
42.916666666666664,1687
43,1690
43.083333333333336,1689
43.166666666666664,1687
43.25,1688
43.333333333333336,1689
43.416666666666664,1692
43.5,1689
43.583333333333336,1691
43.666666666666664,1690
43.75,1687
43.833333333333336,1691
43.916666666666664,1689
44,1687
44.083333333333336,1693
44.166666666666664,1692
44.25,1692
44.333333333333336,1695
44.416666666666664,1694
44.5,1697
44.583333333333336,1695
44.666666666666664,1692
44.75,1689
44.833333333333336,1690
44.916666666666664,1695
45,1693
45.083333333333336,1690
45.166666666666664,1696
45.25,1695
45.333333333333336,1695
45.416666666666664,1695
45.5,1696
45.583333333333336,1694
45.666666666666664,1694
45.75,1697
45.833333333333336,1697
45.916666666666664,1695
46,1702
46.083333333333336,1700
46.166666666666664,1699
46.25,1697
46.333333333333336,1695
46.416666666666664,1693
46.5,1698
46.583333333333336,1701
46.666666666666664,1694
46.75,1700
46.833333333333336,1697
46.916666666666664,1701
47,1697
47.083333333333336,1700
47.166666666666664,1697
47.25,1702
47.333333333333336,1702
47.416666666666664,1703
47.5,1700
47.583333333333336,1697
47.666666666666664,1699
47.75,1703
47.833333333333336,1695
47.916666666666664,1697
