"Hours since thread went live","Jantama Kan!! • Mahjong Soul Kan!! - Episode 1 discussion"
43,31
43.083333333333336,31
43.166666666666664,31
43.25,33
43.333333333333336,28
43.416666666666664,33
43.5,31
43.583333333333336,29
43.666666666666664,34
43.833333333333336,34
43.833333333333336,32
43.916666666666664,31
44,31
44.083333333333336,29
44.166666666666664,30
44.25,30
44.333333333333336,33
44.416666666666664,28
44.5,31
44.583333333333336,31
44.666666666666664,31
44.75,33
44.833333333333336,33
44.916666666666664,31
45,32
45.083333333333336,30
45.166666666666664,30
45.25,33
45.333333333333336,32
45.416666666666664,35
45.5,31
45.583333333333336,34
45.666666666666664,35
45.75,32
45.833333333333336,32
45.916666666666664,31
46,29
46.083333333333336,33
46.166666666666664,31
46.25,34
46.333333333333336,35
46.416666666666664,33
46.5,34
46.583333333333336,34
46.666666666666664,32
46.75,31
46.833333333333336,32
46.916666666666664,33
47,32
47.083333333333336,32
47.166666666666664,31
47.25,33
47.333333333333336,33
47.416666666666664,29
47.5,33
47.583333333333336,33
47.666666666666664,32
47.75,32
47.833333333333336,30
47.916666666666664,32
