"Hours since thread went live","Nanatsu no Taizai: Mokushiroku no Yonkishi • The Seven Deadly Sins: Four Knights of the Apocalypse - Episode 22 discussion"
38.75,12
38.833333333333336,12
38.916666666666664,13
39,12
39.083333333333336,13
39.166666666666664,14
39.25,12
39.333333333333336,12
39.416666666666664,10
39.5,13
39.583333333333336,12
39.666666666666664,12
39.75,11
39.833333333333336,12
39.916666666666664,13
40,11
40.083333333333336,13
40.166666666666664,11
40.25,13
40.333333333333336,14
40.416666666666664,10
40.5,11
40.583333333333336,12
40.666666666666664,11
40.75,11
40.833333333333336,14
40.916666666666664,13
41,12
41.083333333333336,13
41.166666666666664,12
41.25,11
41.333333333333336,11
41.416666666666664,11
41.5,11
41.583333333333336,13
41.666666666666664,10
41.75,13
41.833333333333336,12
41.916666666666664,12
42,11
42.083333333333336,12
42.166666666666664,14
42.25,12
42.333333333333336,13
42.416666666666664,11
42.5,14
42.583333333333336,12
42.666666666666664,13
42.75,13
42.833333333333336,12
42.916666666666664,14
43,13
43.083333333333336,13
43.166666666666664,13
43.25,14
43.333333333333336,13
43.416666666666664,13
43.5,11
43.583333333333336,12
43.666666666666664,11
43.75,11
43.833333333333336,15
43.916666666666664,14
44,11
44.083333333333336,13
44.166666666666664,13
44.25,15
44.333333333333336,15
44.416666666666664,13
44.5,13
44.583333333333336,11
44.666666666666664,13
44.75,11
44.833333333333336,12
44.916666666666664,13
45,13
45.083333333333336,13
45.166666666666664,11
45.25,15
45.333333333333336,13
45.416666666666664,15
45.5,12
45.583333333333336,15
45.666666666666664,14
45.75,11
45.833333333333336,12
45.916666666666664,14
46,14
46.083333333333336,12
46.166666666666664,13
46.25,14
46.333333333333336,14
46.416666666666664,14
46.5,12
46.583333333333336,11
46.666666666666664,13
46.75,12
46.833333333333336,14
46.916666666666664,13
47,13
47.083333333333336,14
47.166666666666664,13
47.25,13
47.333333333333336,14
47.416666666666664,13
47.5,13
47.583333333333336,11
47.666666666666664,13
47.75,11
47.833333333333336,14
47.916666666666664,13
