"Hours since thread went live","Jaku-Chara Tomozaki-kun 2nd Stage • Bottom-tier Character Tomozaki 2nd Stage - Episode 9 discussion"
12.25,349
12.333333333333334,352
12.416666666666666,353
12.5,350
12.583333333333334,355
12.666666666666666,350
12.75,355
12.833333333333334,358
12.916666666666666,359
13,355
13.083333333333334,361
13.166666666666666,358
13.25,362
13.333333333333334,361
13.416666666666666,362
13.5,366
13.583333333333334,362
13.666666666666666,365
13.75,363
13.833333333333334,369
13.916666666666666,368
14,372
14.083333333333334,371
14.166666666666666,366
14.25,376
14.333333333333334,366
14.416666666666666,373
14.5,375
14.583333333333334,375
14.666666666666666,379
14.75,374
14.833333333333334,379
14.916666666666666,379
15,379
15.083333333333334,382
15.166666666666666,379
15.25,382
15.333333333333334,385
15.416666666666666,383
15.5,382
15.583333333333334,379
15.666666666666666,386
15.75,388
15.833333333333334,385
15.916666666666666,383
16,390
16.083333333333332,383
16.166666666666668,390
16.25,389
16.333333333333332,392
16.416666666666668,396
16.5,396
16.583333333333332,400
16.666666666666668,395
16.75,393
16.833333333333332,394
16.916666666666668,398
17,402
17.083333333333332,396
17.166666666666668,406
17.25,402
17.333333333333332,401
17.416666666666668,405
17.5,405
17.583333333333332,410
17.666666666666668,411
17.75,409
17.833333333333332,410
17.916666666666668,411
18,410
18.083333333333332,407
18.166666666666668,409
18.25,413
18.333333333333332,413
18.416666666666668,413
18.5,413
18.583333333333332,415
18.666666666666668,418
18.75,421
18.833333333333332,418
18.916666666666668,422
19,422
19.083333333333332,420
19.166666666666668,421
19.25,417
19.333333333333332,414
19.416666666666668,420
19.5,424
19.583333333333332,422
19.666666666666668,421
19.75,425
19.833333333333332,421
19.916666666666668,419
20,429
20.083333333333332,422
20.166666666666668,421
20.25,427
20.333333333333332,425
20.416666666666668,420
20.5,422
20.583333333333332,428
20.666666666666668,427
20.75,423
20.833333333333332,426
20.916666666666668,428
21,434
21.083333333333332,424
21.166666666666668,435
21.25,434
21.333333333333332,431
21.416666666666668,433
21.5,434
21.583333333333332,431
21.666666666666668,436
21.75,436
21.833333333333332,438
21.916666666666668,436
22,433
22.083333333333332,437
22.166666666666668,442
22.25,435
22.333333333333332,441
22.416666666666668,438
22.5,440
22.583333333333332,437
22.666666666666668,439
22.75,435
22.833333333333332,438
22.916666666666668,439
23,437
23.083333333333332,437
23.166666666666668,437
23.25,440
23.333333333333332,437
23.416666666666668,442
23.5,441
23.583333333333332,445
23.666666666666668,440
23.75,438
23.833333333333332,444
23.916666666666668,447
24,452
24.083333333333332,443
24.166666666666668,447
24.25,443
24.333333333333332,448
24.416666666666668,448
24.5,447
24.583333333333332,449
24.666666666666668,448
24.75,450
24.833333333333332,445
24.916666666666668,442
25,446
25.083333333333332,450
25.166666666666668,448
25.25,445
25.333333333333332,451
25.416666666666668,450
25.5,454
25.583333333333332,450
25.666666666666668,448
25.75,451
25.833333333333332,447
25.916666666666668,454
26,451
26.083333333333332,451
26.166666666666668,455
26.25,451
26.333333333333332,454
26.416666666666668,456
26.5,450
26.583333333333332,454
26.666666666666668,450
26.75,449
26.833333333333332,452
26.916666666666668,457
27,457
27.083333333333332,453
27.166666666666668,458
27.25,455
27.333333333333332,458
27.416666666666668,454
27.5,459
27.583333333333332,455
27.666666666666668,451
27.75,458
27.833333333333332,456
27.916666666666668,460
28,461
