"Hours since thread went live","Yubisaki to Renren • A Sign of Affection - Episode 11 discussion"
26.416666666666668,481
26.5,483
26.583333333333332,486
26.666666666666668,483
26.75,487
26.833333333333332,483
26.916666666666668,488
27,487
27.083333333333332,490
27.166666666666668,489
27.25,486
27.333333333333332,493
27.416666666666668,485
27.5,493
27.583333333333332,485
27.666666666666668,486
27.75,493
27.833333333333332,488
27.916666666666668,492
28,490
28.083333333333332,491
28.166666666666668,491
28.25,493
28.333333333333332,489
28.416666666666668,488
28.5,498
28.583333333333332,491
28.666666666666668,494
28.75,493
28.833333333333332,493
28.916666666666668,492
29,496
29.083333333333332,494
29.166666666666668,489
29.25,493
29.333333333333332,489
29.416666666666668,494
29.5,494
29.583333333333332,494
29.666666666666668,494
29.75,494
29.833333333333332,488
29.916666666666668,493
30,491
30.083333333333332,492
30.166666666666668,494
30.25,493
30.333333333333332,494
30.416666666666668,492
30.5,493
30.583333333333332,494
30.666666666666668,497
30.75,498
30.833333333333332,495
30.916666666666668,491
31,490
31.083333333333332,494
31.166666666666668,489
31.25,490
31.333333333333332,497
31.416666666666668,496
31.5,495
31.583333333333332,500
31.666666666666668,500
31.75,499
31.833333333333332,495
31.916666666666668,497
32,500
32.083333333333336,495
32.166666666666664,500
32.25,499
32.333333333333336,498
32.416666666666664,495
32.5,502
32.583333333333336,495
32.666666666666664,497
32.75,502
32.833333333333336,498
32.916666666666664,497
33,504
33.083333333333336,496
33.166666666666664,499
33.25,504
33.333333333333336,506
33.416666666666664,505
33.5,499
33.583333333333336,501
33.666666666666664,503
33.75,497
33.833333333333336,501
33.916666666666664,498
34,497
34.083333333333336,501
34.166666666666664,499
34.25,507
34.333333333333336,497
34.416666666666664,496
34.5,506
34.583333333333336,499
34.666666666666664,505
34.75,503
34.833333333333336,508
34.916666666666664,501
35,505
35.083333333333336,501
35.166666666666664,498
35.25,502
35.333333333333336,507
35.416666666666664,508
35.5,504
35.583333333333336,502
35.666666666666664,503
35.75,503
35.833333333333336,501
35.916666666666664,500
36,505
36.083333333333336,504
36.166666666666664,506
36.25,508
36.333333333333336,502
36.416666666666664,500
36.5,508
36.583333333333336,502
36.666666666666664,506
36.75,506
36.833333333333336,504
36.916666666666664,502
37,507
37.083333333333336,507
37.166666666666664,506
37.25,508
37.333333333333336,512
37.416666666666664,504
37.5,507
37.583333333333336,504
37.666666666666664,508
37.75,512
37.833333333333336,511
37.916666666666664,506
38,509
38.083333333333336,506
38.166666666666664,507
38.25,513
38.333333333333336,507
38.416666666666664,506
38.5,508
38.583333333333336,512
38.666666666666664,512
38.75,513
38.833333333333336,511
38.916666666666664,513
39,508
39.083333333333336,513
39.166666666666664,505
39.25,511
39.333333333333336,511
39.416666666666664,509
39.5,512
39.583333333333336,514
39.666666666666664,511
39.75,507
39.833333333333336,510
39.916666666666664,515
40,512
40.083333333333336,515
40.166666666666664,513
40.25,515
40.333333333333336,513
40.416666666666664,515
40.5,514
40.583333333333336,517
40.666666666666664,517
40.75,516
40.833333333333336,514
40.916666666666664,510
41,511
41.083333333333336,513
41.166666666666664,516
41.25,517
41.333333333333336,513
41.416666666666664,513
41.5,521
41.583333333333336,514
41.666666666666664,510
41.75,520
41.833333333333336,515
41.916666666666664,513
42,516
42.083333333333336,516
42.166666666666664,518
42.25,516
42.333333333333336,517
42.416666666666664,517
42.5,514
42.583333333333336,521
42.666666666666664,516
42.75,519
42.833333333333336,521
42.916666666666664,513
43,511
43.083333333333336,518
43.166666666666664,516
43.25,516
43.333333333333336,517
43.416666666666664,515
43.5,520
43.583333333333336,515
43.666666666666664,515
43.75,520
43.833333333333336,514
43.916666666666664,516
44,519
44.083333333333336,519
44.166666666666664,512
44.25,515
44.333333333333336,518
44.416666666666664,517
44.5,515
44.583333333333336,519
44.666666666666664,515
44.75,515
44.833333333333336,518
44.916666666666664,513
45,518
45.083333333333336,522
45.166666666666664,518
45.25,516
45.333333333333336,515
45.416666666666664,518
45.5,516
45.583333333333336,518
45.666666666666664,513
45.75,519
45.833333333333336,513
45.916666666666664,519
46,519
46.083333333333336,515
46.166666666666664,520
46.25,519
46.333333333333336,516
46.416666666666664,520
46.5,516
46.583333333333336,523
46.666666666666664,515
46.75,515
46.833333333333336,521
46.916666666666664,521
47,523
47.083333333333336,517
47.166666666666664,517
47.25,524
47.333333333333336,517
47.416666666666664,519
47.5,513
47.583333333333336,522
47.666666666666664,516
47.75,522
47.833333333333336,519
47.916666666666664,515
