"Hours since thread went live","Hananoi-kun to Koi no Yamai • A Condition Called Love - Episode 9 discussion"
26.75,127
26.833333333333332,124
26.916666666666668,122
27,126
27.083333333333332,125
27.166666666666668,121
27.25,123
27.333333333333332,128
27.416666666666668,122
27.5,123
27.583333333333332,124
27.666666666666668,125
27.75,126
27.833333333333332,124
27.916666666666668,126
28,126
28.083333333333332,126
28.166666666666668,125
28.25,125
28.333333333333332,127
28.416666666666668,127
28.5,127
28.583333333333332,127
28.666666666666668,126
28.75,126
28.833333333333332,127
28.916666666666668,127
29,123
29.083333333333332,122
29.166666666666668,127
29.25,127
29.333333333333332,126
29.416666666666668,129
29.5,126
29.583333333333332,129
29.666666666666668,125
29.75,127
29.833333333333332,126
29.916666666666668,129
30,123
30.083333333333332,124
30.166666666666668,131
30.25,126
30.333333333333332,127
30.416666666666668,130
30.5,126
30.583333333333332,124
30.666666666666668,124
30.75,127
30.833333333333332,124
30.916666666666668,130
31,128
31.083333333333332,126
31.166666666666668,127
31.25,129
31.333333333333332,131
31.416666666666668,128
31.5,128
31.583333333333332,128
31.666666666666668,128
31.75,126
31.833333333333332,128
31.916666666666668,129
32,126
32.083333333333336,131
32.166666666666664,129
32.25,128
32.333333333333336,129
32.416666666666664,129
32.5,132
32.583333333333336,126
32.666666666666664,131
32.75,130
32.833333333333336,128
32.916666666666664,128
33,127
33.083333333333336,126
33.166666666666664,127
33.25,125
33.333333333333336,129
33.416666666666664,127
33.5,127
33.583333333333336,124
33.666666666666664,131
33.75,127
33.833333333333336,129
33.916666666666664,130
34,126
34.083333333333336,128
34.166666666666664,129
34.25,129
34.333333333333336,131
34.416666666666664,129
34.5,131
34.583333333333336,129
34.666666666666664,130
34.75,127
34.833333333333336,129
34.916666666666664,131
35,130
35.083333333333336,131
35.166666666666664,131
35.25,127
35.333333333333336,130
35.416666666666664,127
35.5,130
35.583333333333336,131
35.666666666666664,130
35.75,132
35.833333333333336,132
35.916666666666664,133
36,126
36.083333333333336,130
36.166666666666664,131
36.25,130
36.333333333333336,128
36.416666666666664,132
36.5,127
36.583333333333336,127
36.666666666666664,130
36.75,129
36.833333333333336,127
36.916666666666664,132
37,128
37.083333333333336,130
37.166666666666664,131
37.25,127
37.333333333333336,133
