"Hours since thread went live","The New Gate - Episode 1 discussion"
25.666666666666668,346
25.75,345
25.833333333333332,349
25.916666666666668,348
26,339
26.083333333333332,340
26.166666666666668,343
26.25,346
26.333333333333332,347
26.416666666666668,350
26.5,347
26.583333333333332,345
26.666666666666668,347
26.75,349
26.833333333333332,350
26.916666666666668,343
27,350
27.083333333333332,346
27.166666666666668,344
27.25,349
27.333333333333332,353
27.416666666666668,350
27.5,353
27.583333333333332,351
27.666666666666668,348
27.75,355
27.833333333333332,351
27.916666666666668,348
28,347
28.083333333333332,354
28.166666666666668,353
28.25,350
28.333333333333332,350
28.416666666666668,351
28.5,352
28.583333333333332,356
28.666666666666668,349
28.75,353
28.833333333333332,351
28.916666666666668,356
29,351
29.083333333333332,347
29.166666666666668,347
29.25,351
29.333333333333332,350
29.416666666666668,356
29.5,351
29.583333333333332,347
29.666666666666668,346
29.75,352
29.833333333333332,349
29.916666666666668,349
30,356
30.083333333333332,348
30.166666666666668,352
30.25,348
30.333333333333332,354
30.416666666666668,350
30.5,348
30.583333333333332,351
30.666666666666668,349
30.75,356
30.833333333333332,352
30.916666666666668,347
31,348
31.083333333333332,350
31.166666666666668,351
31.25,353
31.333333333333332,348
31.416666666666668,351
31.5,351
31.583333333333332,352
31.666666666666668,357
31.75,346
31.833333333333332,354
31.916666666666668,353
32,350
32.083333333333336,352
32.166666666666664,357
32.25,356
32.333333333333336,355
32.416666666666664,350
32.5,357
32.583333333333336,355
32.666666666666664,358
32.75,356
32.833333333333336,354
32.916666666666664,356
33,349
33.083333333333336,354
33.166666666666664,351
33.25,352
33.333333333333336,355
33.416666666666664,358
33.5,355
33.583333333333336,356
33.666666666666664,361
33.75,357
33.833333333333336,356
33.916666666666664,353
34,359
34.083333333333336,356
34.166666666666664,360
34.25,357
34.333333333333336,355
34.416666666666664,358
34.5,353
34.583333333333336,358
34.666666666666664,359
34.75,357
34.833333333333336,356
34.916666666666664,357
35,359
35.083333333333336,356
35.166666666666664,355
35.25,361
35.333333333333336,363
35.416666666666664,355
35.5,362
35.583333333333336,358
35.666666666666664,356
35.75,361
35.833333333333336,360
35.916666666666664,360
36,356
36.083333333333336,357
36.166666666666664,363
36.25,353
36.333333333333336,361
36.416666666666664,356
36.5,357
36.583333333333336,357
36.666666666666664,351
36.75,359
36.833333333333336,361
36.916666666666664,354
37,354
37.083333333333336,356
37.166666666666664,360
37.25,352
37.333333333333336,359
37.416666666666664,354
37.5,363
37.583333333333336,359
37.666666666666664,357
37.75,361
37.833333333333336,358
37.916666666666664,360
38,355
38.083333333333336,361
38.166666666666664,357
38.25,361
38.333333333333336,354
38.416666666666664,358
38.5,358
38.583333333333336,358
38.666666666666664,358
38.75,358
38.833333333333336,355
38.916666666666664,353
39,360
39.083333333333336,353
39.166666666666664,359
39.25,354
39.333333333333336,357
39.416666666666664,354
39.5,360
39.583333333333336,357
39.666666666666664,362
39.75,360
39.833333333333336,356
39.916666666666664,358
40,361
40.083333333333336,362
40.166666666666664,358
40.25,354
40.333333333333336,363
40.416666666666664,360
40.5,359
40.583333333333336,356
40.666666666666664,360
40.75,360
40.833333333333336,361
40.916666666666664,362
41,356
41.083333333333336,359
41.166666666666664,359
41.25,355
41.333333333333336,364
41.416666666666664,355
41.5,354
41.583333333333336,363
41.666666666666664,352
41.75,361
41.833333333333336,361
41.916666666666664,361
42,361
42.083333333333336,360
42.166666666666664,352
42.25,356
42.333333333333336,354
42.416666666666664,354
42.5,359
42.583333333333336,357
42.666666666666664,360
42.75,359
42.833333333333336,360
42.916666666666664,362
43,357
43.083333333333336,359
43.166666666666664,356
43.25,357
43.333333333333336,359
43.416666666666664,357
43.5,363
43.583333333333336,361
43.666666666666664,363
43.75,357
43.833333333333336,359
43.916666666666664,358
44,359
44.083333333333336,365
44.166666666666664,358
44.25,357
44.333333333333336,359
44.416666666666664,353
44.5,359
44.583333333333336,359
44.666666666666664,364
44.75,361
44.833333333333336,362
44.916666666666664,359
45,358
45.083333333333336,359
45.166666666666664,355
45.25,355
45.333333333333336,359
45.416666666666664,357
45.5,360
45.583333333333336,357
45.666666666666664,356
45.75,360
45.833333333333336,359
45.916666666666664,365
46,358
46.083333333333336,354
46.166666666666664,358
46.25,354
46.333333333333336,364
46.416666666666664,363
46.5,359
46.583333333333336,356
46.666666666666664,358
46.75,364
46.833333333333336,353
46.916666666666664,360
47,357
47.083333333333336,358
47.166666666666664,359
47.25,363
47.333333333333336,359
47.416666666666664,355
47.5,363
47.583333333333336,353
