"Hours since thread went live","Dekisokonai to Yobareta Moto Eiyuu wa, Jikka kara Tsuihou Sareta no de Suki Katte ni Ikiru Koto ni Shita • The Banished Former Hero Lives as He Pleases - Episode 2 discussion"
38.416666666666664,92
38.5,91
38.583333333333336,95
38.666666666666664,93
38.75,95
38.833333333333336,98
38.916666666666664,95
39,93
39.083333333333336,97
39.166666666666664,93
39.25,95
39.333333333333336,95
39.416666666666664,94
39.5,98
39.583333333333336,98
39.666666666666664,96
39.75,94
39.833333333333336,96
39.916666666666664,97
40,98
40.083333333333336,97
40.166666666666664,96
40.25,95
40.333333333333336,98
40.416666666666664,99
40.5,96
40.583333333333336,99
40.666666666666664,97
40.75,96
40.833333333333336,94
40.916666666666664,99
41,96
41.083333333333336,97
41.166666666666664,98
41.25,96
41.333333333333336,95
41.416666666666664,98
41.5,97
41.583333333333336,95
41.666666666666664,94
41.75,97
41.833333333333336,99
41.916666666666664,94
42,99
42.083333333333336,96
42.166666666666664,93
42.25,97
42.333333333333336,97
42.416666666666664,95
42.5,94
42.583333333333336,97
42.666666666666664,95
42.75,94
42.833333333333336,95
42.916666666666664,99
43,96
43.083333333333336,99
43.166666666666664,97
43.25,97
43.333333333333336,100
43.416666666666664,96
43.5,97
43.583333333333336,102
43.666666666666664,95
43.75,99
43.833333333333336,100
43.916666666666664,98
44,98
44.083333333333336,99
44.166666666666664,98
44.25,95
44.333333333333336,97
44.416666666666664,97
44.5,96
44.583333333333336,98
44.666666666666664,98
44.75,99
44.833333333333336,96
44.916666666666664,98
45,96
45.083333333333336,98
45.166666666666664,96
45.25,95
45.333333333333336,101
45.416666666666664,96
45.5,97
45.583333333333336,98
45.666666666666664,95
45.75,94
45.833333333333336,94
45.916666666666664,98
46,96
46.083333333333336,95
46.166666666666664,99
46.25,95
46.333333333333336,99
46.416666666666664,98
46.5,98
46.583333333333336,95
46.666666666666664,95
46.75,98
46.833333333333336,99
46.916666666666664,101
47,99
47.083333333333336,101
47.166666666666664,96
47.25,98
47.333333333333336,99
47.416666666666664,103
47.5,99
47.583333333333336,100
47.666666666666664,96
47.75,102
47.833333333333336,99
47.916666666666664,98
