"Hours since thread went live","Jujutsu Kaisen Season 2 - Episode 13 discussion"
27.916666666666668,5117
28,5121
28.083333333333332,5123
28.166666666666668,5129
28.25,5133
28.333333333333332,5127
28.416666666666668,5133
28.5,5135
28.583333333333332,5140
28.666666666666668,5147
28.75,5140
28.833333333333332,5155
28.916666666666668,5147
29,5154
29.083333333333332,5146
29.166666666666668,5158
29.25,5153
29.333333333333332,5159
29.416666666666668,5160
29.5,5168
29.583333333333332,5174
29.666666666666668,5168
29.75,5170
29.833333333333332,5178
29.916666666666668,5178
30,5181
30.083333333333332,5176
30.166666666666668,5178
30.25,5180
30.333333333333332,5183
30.416666666666668,5185
30.5,5190
30.583333333333332,5192
30.666666666666668,5193
30.75,5198
30.833333333333332,5192
30.916666666666668,5201
31,5204
31.083333333333332,5202
31.166666666666668,5197
31.25,5205
31.333333333333332,5204
31.416666666666668,5203
31.5,5209
31.583333333333332,5207
31.666666666666668,5206
31.75,5214
31.833333333333332,5214
31.916666666666668,5217
32,5211
32.083333333333336,5217
32.166666666666664,5214
32.25,5223
32.333333333333336,5216
32.416666666666664,5224
32.5,5227
32.583333333333336,5221
32.666666666666664,5222
32.75,5230
32.833333333333336,5239
32.916666666666664,5241
33,5231
33.083333333333336,5238
33.166666666666664,5239
33.25,5242
33.333333333333336,5244
33.416666666666664,5249
33.5,5253
33.583333333333336,5252
33.666666666666664,5256
33.75,5257
33.833333333333336,5258
33.916666666666664,5261
34,5254
34.083333333333336,5263
34.166666666666664,5264
34.25,5266
34.333333333333336,5263
34.416666666666664,5269
34.5,5271
34.583333333333336,5271
34.666666666666664,5277
34.75,5271
34.833333333333336,5268
34.916666666666664,5275
35,5279
35.083333333333336,5278
35.166666666666664,5274
35.25,5282
35.333333333333336,5273
35.416666666666664,5279
35.5,5279
35.583333333333336,5288
35.666666666666664,5291
35.75,5286
35.833333333333336,5287
35.916666666666664,5283
36,5284
36.083333333333336,5295
36.166666666666664,5285
36.25,5284
36.333333333333336,5291
36.416666666666664,5287
36.5,5295
36.583333333333336,5286
36.666666666666664,5292
36.75,5299
36.833333333333336,5302
36.916666666666664,5298
37,5305
37.083333333333336,5309
37.166666666666664,5296
37.25,5299
37.333333333333336,5310
37.416666666666664,5314
37.5,5310
37.583333333333336,5309
37.666666666666664,5311
37.75,5313
37.833333333333336,5313
37.916666666666664,5318
38,5325
38.083333333333336,5314
38.166666666666664,5317
38.25,5322
38.333333333333336,5320
38.416666666666664,5318
38.5,5326
38.583333333333336,5331
38.666666666666664,5325
38.75,5329
38.833333333333336,5328
38.916666666666664,5323
39,5330
39.083333333333336,5337
39.166666666666664,5333
39.25,5329
39.333333333333336,5339
39.416666666666664,5335
39.5,5339
39.583333333333336,5330
39.666666666666664,5340
39.75,5334
39.833333333333336,5338
39.916666666666664,5342
40,5331
40.083333333333336,5340
40.166666666666664,5347
40.25,5344
40.333333333333336,5338
40.416666666666664,5337
40.5,5337
40.583333333333336,5346
40.666666666666664,5342
40.75,5346
40.833333333333336,5341
40.916666666666664,5345
41,5346
