"Hours since thread went live","Kami wa Game ni Ueteiru • Gods' Game We Play - Episode 1 discussion"
33.666666666666664,63
33.75,68
33.833333333333336,68
33.916666666666664,68
34,64
34.083333333333336,65
34.166666666666664,64
34.25,67
34.333333333333336,69
34.416666666666664,67
34.5,63
34.583333333333336,64
34.666666666666664,67
34.75,68
34.833333333333336,64
34.916666666666664,63
35,69
35.083333333333336,65
35.166666666666664,70
35.25,65
35.333333333333336,65
35.416666666666664,63
35.5,66
35.583333333333336,66
35.666666666666664,65
35.75,65
35.833333333333336,65
35.916666666666664,62
36,68
36.083333333333336,68
36.166666666666664,66
36.25,64
36.333333333333336,68
36.416666666666664,63
36.5,70
36.583333333333336,65
36.666666666666664,66
36.75,67
36.833333333333336,67
36.916666666666664,64
37,70
37.083333333333336,69
37.166666666666664,65
37.25,64
37.333333333333336,67
37.416666666666664,70
37.5,68
37.583333333333336,66
37.666666666666664,65
37.75,71
37.833333333333336,66
37.916666666666664,68
38,68
38.083333333333336,69
38.166666666666664,66
38.25,68
38.333333333333336,67
38.416666666666664,67
38.5,70
38.583333333333336,68
38.666666666666664,64
38.75,67
38.833333333333336,65
38.916666666666664,64
39,70
39.083333333333336,67
39.166666666666664,66
39.25,68
39.333333333333336,69
39.416666666666664,68
39.5,69
39.583333333333336,66
39.666666666666664,66
39.75,70
39.833333333333336,67
39.916666666666664,64
40,71
40.083333333333336,67
40.166666666666664,67
40.25,68
40.333333333333336,69
40.416666666666664,68
40.5,71
40.583333333333336,68
40.666666666666664,68
40.75,68
40.833333333333336,68
40.916666666666664,66
41,72
41.083333333333336,71
41.166666666666664,69
41.25,71
41.333333333333336,71
41.416666666666664,69
41.5,67
41.583333333333336,65
41.666666666666664,69
41.75,72
41.833333333333336,72
41.916666666666664,71
42,68
42.083333333333336,71
42.166666666666664,69
42.25,69
42.333333333333336,68
42.416666666666664,67
42.5,66
42.583333333333336,68
42.666666666666664,68
42.75,71
42.833333333333336,70
42.916666666666664,67
43,66
43.083333333333336,66
43.166666666666664,69
43.25,71
43.333333333333336,70
43.416666666666664,70
43.5,73
43.583333333333336,69
43.666666666666664,74
43.75,69
43.833333333333336,72
43.916666666666664,74
44,69
44.083333333333336,67
44.166666666666664,69
44.25,70
44.333333333333336,68
44.416666666666664,69
44.5,72
44.583333333333336,67
44.666666666666664,69
44.75,70
44.833333333333336,68
44.916666666666664,65
45,69
45.083333333333336,68
45.166666666666664,68
45.25,68
45.333333333333336,68
45.416666666666664,69
45.5,70
45.583333333333336,71
45.666666666666664,68
45.75,71
45.833333333333336,68
45.916666666666664,68
46,66
46.083333333333336,69
46.166666666666664,69
46.25,65
46.333333333333336,69
46.416666666666664,68
46.5,70
46.583333333333336,70
46.666666666666664,74
46.75,71
46.833333333333336,66
46.916666666666664,68
47,70
47.083333333333336,69
47.166666666666664,70
47.25,69
47.333333333333336,73
47.416666666666664,67
47.5,69
47.583333333333336,68
47.666666666666664,73
47.75,67
47.833333333333336,69
47.916666666666664,68
