"Hours since thread went live","Sengoku Youko - Episode 11 discussion"
39.166666666666664,312
39.25,311
39.333333333333336,312
39.416666666666664,313
39.5,313
39.583333333333336,310
39.666666666666664,316
39.75,307
39.833333333333336,306
39.916666666666664,305
40.083333333333336,312
40.166666666666664,312
40.25,312
40.333333333333336,313
40.416666666666664,312
40.5,312
40.583333333333336,310
40.666666666666664,312
40.75,312
40.833333333333336,311
40.916666666666664,310
41,306
41.083333333333336,312
41.166666666666664,318
41.25,308
41.333333333333336,314
41.416666666666664,309
41.5,308
41.583333333333336,314
41.666666666666664,316
41.75,309
41.833333333333336,317
41.916666666666664,308
42,310
42.083333333333336,314
42.166666666666664,317
42.25,314
42.333333333333336,309
42.416666666666664,310
42.5,312
42.583333333333336,319
42.666666666666664,313
42.75,316
42.833333333333336,314
42.916666666666664,313
43,311
43.083333333333336,309
43.166666666666664,316
43.25,314
43.333333333333336,315
43.416666666666664,316
43.5,312
43.583333333333336,311
43.666666666666664,313
43.75,316
43.833333333333336,314
43.916666666666664,317
44,318
44.083333333333336,311
44.166666666666664,316
44.25,309
44.333333333333336,314
44.416666666666664,317
44.5,312
44.583333333333336,311
44.666666666666664,311
44.75,319
44.833333333333336,313
44.916666666666664,315
45,319
45.083333333333336,319
45.166666666666664,311
45.25,316
45.333333333333336,317
45.416666666666664,311
45.5,316
45.583333333333336,310
45.666666666666664,318
45.75,313
45.833333333333336,314
45.916666666666664,314
46,311
46.083333333333336,313
46.166666666666664,314
46.25,315
46.333333333333336,314
46.416666666666664,313
46.5,317
46.583333333333336,309
46.666666666666664,312
46.75,311
46.833333333333336,315
46.916666666666664,313
47,309
47.083333333333336,309
47.166666666666664,314
47.25,312
47.333333333333336,311
47.416666666666664,316
47.5,313
47.583333333333336,315
47.666666666666664,315
47.75,310
47.833333333333336,311
47.916666666666664,317
