"Hours since thread went live","Snack Basue - Episode 8 discussion"
33.75,34
33.833333333333336,32
33.916666666666664,34
34,32
34.083333333333336,30
34.166666666666664,33
34.25,31
34.333333333333336,31
34.416666666666664,33
34.5,33
34.583333333333336,31
34.666666666666664,31
34.75,34
34.833333333333336,31
34.916666666666664,28
35,30
35.083333333333336,36
35.166666666666664,28
35.25,32
35.333333333333336,33
35.416666666666664,30
35.5,31
35.583333333333336,33
35.666666666666664,31
35.75,30
35.833333333333336,32
35.916666666666664,31
36,36
36.083333333333336,30
36.166666666666664,35
36.25,33
36.333333333333336,34
36.416666666666664,32
36.5,33
36.583333333333336,29
36.666666666666664,34
36.75,33
36.833333333333336,33
36.916666666666664,33
37,34
37.083333333333336,30
37.166666666666664,35
37.25,33
37.333333333333336,34
37.416666666666664,35
37.5,32
37.583333333333336,38
37.666666666666664,33
37.75,36
37.833333333333336,36
37.916666666666664,35
38,35
38.083333333333336,35
38.166666666666664,32
38.25,32
38.333333333333336,34
38.416666666666664,35
38.5,33
38.583333333333336,34
38.666666666666664,35
38.75,32
38.833333333333336,34
38.916666666666664,31
39,38
39.083333333333336,31
39.166666666666664,31
39.25,36
39.333333333333336,36
39.416666666666664,35
39.5,33
39.583333333333336,32
39.666666666666664,34
39.75,32
39.833333333333336,33
39.916666666666664,32
40,38
40.083333333333336,36
40.166666666666664,33
40.25,33
40.333333333333336,33
40.416666666666664,36
40.5,35
40.583333333333336,33
40.666666666666664,35
40.75,34
40.833333333333336,32
40.916666666666664,36
41,35
41.083333333333336,35
41.166666666666664,35
41.25,38
41.333333333333336,38
41.416666666666664,34
41.5,36
41.583333333333336,35
41.666666666666664,35
41.75,35
41.833333333333336,32
41.916666666666664,34
42,31
42.083333333333336,39
42.166666666666664,35
42.25,34
42.333333333333336,37
42.416666666666664,33
42.5,32
42.583333333333336,36
42.666666666666664,36
42.75,33
42.833333333333336,34
42.916666666666664,35
43,35
43.083333333333336,33
43.166666666666664,39
43.25,39
43.333333333333336,34
43.416666666666664,38
43.5,39
43.583333333333336,36
43.666666666666664,32
43.75,37
43.833333333333336,35
43.916666666666664,37
44,39
44.083333333333336,35
44.166666666666664,37
44.25,36
44.333333333333336,38
44.416666666666664,39
44.5,36
44.583333333333336,37
44.666666666666664,40
44.75,36
44.833333333333336,35
44.916666666666664,40
45,36
45.083333333333336,35
45.166666666666664,36
45.25,39
45.333333333333336,35
45.416666666666664,36
45.5,32
45.583333333333336,33
45.666666666666664,35
45.75,34
45.833333333333336,36
45.916666666666664,37
46,34
46.083333333333336,36
46.166666666666664,33
46.25,34
46.333333333333336,40
46.416666666666664,35
46.5,35
46.583333333333336,37
46.666666666666664,39
46.75,36
46.833333333333336,36
46.916666666666664,35
47,36
47.083333333333336,38
47.166666666666664,34
47.25,34
47.333333333333336,35
47.416666666666664,38
47.5,36
47.583333333333336,37
47.666666666666664,39
47.75,36
47.833333333333336,39
47.916666666666664,38
