"Hours since thread went live","BLEACH: Sennen Kessen-hen - Ketsubetsu-tan - - Episode 14 discussion"
41.5,2688
41.583333333333336,2689
41.666666666666664,2684
41.75,2694
41.833333333333336,2688
41.916666666666664,2686
42,2691
42.083333333333336,2687
42.166666666666664,2690
42.25,2687
42.333333333333336,2693
42.416666666666664,2694
42.5,2693
42.583333333333336,2691
42.666666666666664,2687
42.75,2691
42.833333333333336,2694
42.916666666666664,2696
43,2691
43.083333333333336,2691
43.166666666666664,2694
43.25,2700
43.333333333333336,2690
43.416666666666664,2695
43.5,2693
43.583333333333336,2698
43.666666666666664,2702
43.75,2699
43.833333333333336,2701
43.916666666666664,2695
44,2698
44.083333333333336,2697
44.166666666666664,2698
44.25,2704
44.333333333333336,2698
44.416666666666664,2705
44.5,2701
44.583333333333336,2704
44.666666666666664,2700
44.75,2708
44.833333333333336,2699
44.916666666666664,2705
45,2707
45.083333333333336,2703
45.166666666666664,2701
45.25,2702
45.333333333333336,2700
45.416666666666664,2701
45.5,2701
45.583333333333336,2705
45.666666666666664,2699
45.75,2705
45.833333333333336,2705
45.916666666666664,2709
46,2707
46.083333333333336,2700
46.166666666666664,2702
46.25,2711
46.333333333333336,2703
46.416666666666664,2708
46.5,2713
46.583333333333336,2707
46.666666666666664,2705
46.75,2704
46.833333333333336,2707
46.916666666666664,2714
47,2710
47.083333333333336,2707
47.166666666666664,2711
47.25,2712
47.333333333333336,2705
47.416666666666664,2708
47.5,2711
47.583333333333336,2708
47.666666666666664,2715
47.75,2710
47.833333333333336,2710
47.916666666666664,2711
