"Hours since thread went live","Dungeon Meshi • Delicious in Dungeon - Episode 19 discussion"
22.75,2764
22.833333333333332,2768
22.916666666666668,2767
23,2772
23.083333333333332,2766
23.166666666666668,2772
23.25,2780
23.333333333333332,2773
23.416666666666668,2774
23.5,2782
23.583333333333332,2780
23.666666666666668,2782
23.75,2781
23.833333333333332,2781
23.916666666666668,2786
24,2785
24.083333333333332,2790
24.166666666666668,2790
24.25,2797
24.333333333333332,2794
24.416666666666668,2795
24.5,2803
24.583333333333332,2807
24.666666666666668,2801
24.75,2811
24.833333333333332,2809
24.916666666666668,2807
25,2817
25.083333333333332,2816
25.166666666666668,2817
25.25,2821
25.333333333333332,2820
25.416666666666668,2821
25.5,2825
25.583333333333332,2821
25.666666666666668,2829
25.75,2829
25.833333333333332,2836
25.916666666666668,2842
26,2842
26.083333333333332,2841
26.166666666666668,2846
26.25,2843
26.333333333333332,2847
26.416666666666668,2846
26.5,2850
26.583333333333332,2849
26.666666666666668,2848
26.75,2856
26.833333333333332,2852
26.916666666666668,2851
27,2855
27.083333333333332,2855
27.166666666666668,2858
27.25,2866
27.333333333333332,2863
27.416666666666668,2868
27.5,2867
27.583333333333332,2870
27.666666666666668,2872
27.75,2872
27.833333333333332,2875
27.916666666666668,2874
28,2873
28.083333333333332,2874
28.166666666666668,2882
28.25,2879
28.333333333333332,2881
28.416666666666668,2881
28.5,2883
28.583333333333332,2884
28.666666666666668,2883
28.75,2888
28.833333333333332,2888
28.916666666666668,2890
29,2889
29.083333333333332,2891
29.166666666666668,2892
29.25,2889
29.333333333333332,2892
29.416666666666668,2899
29.5,2892
29.583333333333332,2895
29.666666666666668,2897
29.75,2896
29.833333333333332,2904
29.916666666666668,2902
30,2902
30.083333333333332,2908
30.166666666666668,2901
30.25,2908
30.333333333333332,2910
30.416666666666668,2908
30.5,2911
30.583333333333332,2905
30.666666666666668,2906
30.75,2905
30.833333333333332,2906
30.916666666666668,2904
31,2916
31.083333333333332,2910
31.166666666666668,2918
31.25,2921
31.333333333333332,2912
31.416666666666668,2923
31.5,2917
31.583333333333332,2927
31.666666666666668,2920
31.75,2922
31.833333333333332,2923
31.916666666666668,2919
32,2928
32.083333333333336,2922
32.166666666666664,2929
32.25,2922
32.333333333333336,2928
32.416666666666664,2923
32.5,2926
32.583333333333336,2928
32.666666666666664,2932
32.75,2931
32.833333333333336,2931
32.916666666666664,2930
33,2930
33.083333333333336,2930
33.166666666666664,2931
33.25,2934
33.333333333333336,2932
33.416666666666664,2933
33.5,2934
33.583333333333336,2938
33.666666666666664,2938
33.75,2937
33.833333333333336,2943
33.916666666666664,2940
34,2944
34.083333333333336,2944
34.166666666666664,2953
34.25,2946
34.333333333333336,2949
34.416666666666664,2946
34.5,2954
34.583333333333336,2954
34.666666666666664,2953
34.75,2954
34.833333333333336,2957
34.916666666666664,2954
35,2961
35.083333333333336,2955
35.166666666666664,2961
35.25,2968
35.333333333333336,2960
35.416666666666664,2962
35.5,2966
35.583333333333336,2964
35.666666666666664,2968
35.75,2968
35.833333333333336,2965
35.916666666666664,2970
36,2974
36.083333333333336,2972
36.166666666666664,2972
36.25,2977
36.333333333333336,2979
36.416666666666664,2976
36.5,2977
36.583333333333336,2979
36.666666666666664,2980
36.75,2984
36.833333333333336,2983
36.916666666666664,2982
37,2984
37.083333333333336,2984
37.166666666666664,2988
37.25,2986
37.333333333333336,2985
37.416666666666664,2985
37.5,2985
37.583333333333336,2985
37.666666666666664,2985
37.75,2994
37.833333333333336,2993
37.916666666666664,2994
38,2997
38.083333333333336,2995
38.166666666666664,3004
38.25,3000
38.333333333333336,2995
38.416666666666664,2997
38.5,3002
38.583333333333336,3006
38.666666666666664,3004
38.75,2999
38.833333333333336,2997
38.916666666666664,3002
39,3007
39.083333333333336,3003
39.166666666666664,2996
39.25,3000
39.333333333333336,2997
39.416666666666664,2997
39.5,2999
39.583333333333336,2998
39.666666666666664,3004
39.75,3005
39.833333333333336,3007
39.916666666666664,2999
40,3005
40.083333333333336,3010
40.166666666666664,3009
40.25,3006
40.333333333333336,3009
40.416666666666664,3016
40.5,3005
40.583333333333336,3017
40.666666666666664,3015
40.75,3019
40.833333333333336,3017
40.916666666666664,3017
41,3022
41.083333333333336,3019
41.166666666666664,3022
41.25,3026
41.333333333333336,3022
41.416666666666664,3021
41.5,3017
41.583333333333336,3026
41.666666666666664,3025
41.75,3023
41.833333333333336,3025
41.916666666666664,3028
42,3021
42.083333333333336,3021
42.166666666666664,3023
42.25,3025
42.333333333333336,3031
42.416666666666664,3025
42.5,3026
42.583333333333336,3024
42.666666666666664,3031
42.75,3028
42.833333333333336,3023
42.916666666666664,3032
43,3028
43.083333333333336,3029
43.166666666666664,3025
43.25,3028
43.333333333333336,3030
43.416666666666664,3028
43.5,3027
43.583333333333336,3033
43.666666666666664,3027
43.75,3025
43.833333333333336,3025
43.916666666666664,3032
44,3031
44.083333333333336,3032
44.166666666666664,3027
44.25,3026
44.333333333333336,3032
44.416666666666664,3026
44.5,3033
44.583333333333336,3036
44.666666666666664,3034
44.75,3035
44.833333333333336,3030
44.916666666666664,3032
45,3033
45.083333333333336,3031
45.166666666666664,3031
45.25,3035
45.333333333333336,3035
45.416666666666664,3031
45.5,3033
45.583333333333336,3040
45.666666666666664,3035
45.75,3033
45.833333333333336,3036
45.916666666666664,3037
46,3034
46.083333333333336,3031
46.166666666666664,3041
46.25,3032
46.333333333333336,3039
46.416666666666664,3033
46.5,3032
46.583333333333336,3035
46.666666666666664,3030
46.75,3038
46.833333333333336,3040
46.916666666666664,3043
47,3043
47.083333333333336,3038
47.166666666666664,3040
47.25,3039
47.333333333333336,3036
47.416666666666664,3035
47.5,3042
47.583333333333336,3040
47.666666666666664,3039
47.75,3039
47.833333333333336,3037
47.916666666666664,3046
