"Hours since thread went live","Tonari no Youkai-san - Episode 2 discussion"
35.916666666666664,178
36,179
36.083333333333336,178
36.166666666666664,176
36.25,179
36.333333333333336,179
36.416666666666664,179
36.5,176
36.583333333333336,178
36.666666666666664,178
36.75,180
36.833333333333336,179
36.916666666666664,175
37,181
37.083333333333336,179
37.166666666666664,178
37.25,177
37.333333333333336,181
37.416666666666664,179
37.5,179
37.583333333333336,176
37.666666666666664,183
37.75,183
37.833333333333336,181
37.916666666666664,176
38,180
38.083333333333336,180
38.166666666666664,179
38.25,176
38.333333333333336,178
38.416666666666664,175
38.5,175
38.583333333333336,179
38.666666666666664,177
38.75,179
38.833333333333336,176
38.916666666666664,179
39,178
39.083333333333336,181
39.166666666666664,180
39.25,178
39.333333333333336,178
39.416666666666664,181
39.5,180
39.583333333333336,179
39.666666666666664,180
39.75,175
39.833333333333336,181
39.916666666666664,183
40,181
40.083333333333336,178
40.166666666666664,180
40.25,179
40.333333333333336,182
40.416666666666664,179
40.5,180
40.583333333333336,181
40.666666666666664,177
40.75,177
40.833333333333336,179
40.916666666666664,177
41,180
41.083333333333336,181
41.166666666666664,180
41.25,180
41.333333333333336,179
41.416666666666664,177
41.5,181
41.583333333333336,180
41.666666666666664,181
41.75,178
41.833333333333336,177
41.916666666666664,180
42,179
42.083333333333336,176
42.166666666666664,178
42.25,180
42.333333333333336,183
42.416666666666664,179
42.5,178
42.583333333333336,178
42.666666666666664,180
42.75,180
42.833333333333336,180
42.916666666666664,183
43,182
43.083333333333336,180
43.166666666666664,181
43.25,180
43.333333333333336,181
43.416666666666664,177
43.5,178
43.583333333333336,177
43.666666666666664,180
43.75,181
43.833333333333336,181
43.916666666666664,178
44,178
44.083333333333336,179
44.166666666666664,178
44.25,182
44.333333333333336,182
44.416666666666664,181
44.5,180
44.583333333333336,178
44.666666666666664,181
44.75,180
44.833333333333336,181
44.916666666666664,180
45,184
45.083333333333336,178
45.166666666666664,180
45.25,181
45.333333333333336,179
45.416666666666664,182
45.5,181
45.583333333333336,179
45.666666666666664,182
45.75,184
45.833333333333336,181
45.916666666666664,185
46,182
46.083333333333336,182
46.166666666666664,179
46.25,181
46.333333333333336,178
46.416666666666664,186
46.5,181
46.583333333333336,181
46.666666666666664,180
46.75,183
46.833333333333336,181
46.916666666666664,186
47,183
47.083333333333336,183
47.166666666666664,183
47.25,185
47.333333333333336,179
47.416666666666664,184
47.5,185
47.583333333333336,180
47.666666666666664,183
47.75,183
47.833333333333336,185
47.916666666666664,183
