"Hours since thread went live","Garouden: The Way of the Lone Wolf - Episode 1 discussion"
24.25,13
24.333333333333332,11
24.416666666666668,12
24.5,12
24.583333333333332,11
24.666666666666668,12
24.75,13
24.833333333333332,11
24.916666666666668,15
25,13
25.083333333333332,14
25.166666666666668,13
25.25,13
25.333333333333332,12
25.416666666666668,11
25.5,14
25.583333333333332,14
25.666666666666668,13
25.75,12
25.833333333333332,15
25.916666666666668,14
26,14
26.083333333333332,14
26.166666666666668,12
26.25,13
26.333333333333332,13
26.416666666666668,13
26.5,14
26.583333333333332,14
26.666666666666668,14
26.75,16
26.833333333333332,14
26.916666666666668,16
27,15
27.083333333333332,15
27.166666666666668,13
27.25,15
27.333333333333332,14
27.416666666666668,12
27.5,14
27.583333333333332,15
27.666666666666668,14
27.75,14
27.833333333333332,14
27.916666666666668,14
28,14
28.083333333333332,14
28.166666666666668,14
28.25,15
28.333333333333332,12
28.416666666666668,15
28.5,15
28.583333333333332,15
28.666666666666668,15
28.75,13
28.833333333333332,15
28.916666666666668,15
29,14
29.083333333333332,14
29.166666666666668,16
29.25,14
29.333333333333332,13
29.416666666666668,14
29.5,14
29.583333333333332,15
29.666666666666668,14
29.75,14
29.833333333333332,14
29.916666666666668,13
30,14
30.083333333333332,15
30.166666666666668,14
30.25,14
30.333333333333332,15
30.416666666666668,13
30.5,16
30.583333333333332,15
30.666666666666668,16
30.75,17
30.833333333333332,16
30.916666666666668,16
31,16
31.083333333333332,17
31.166666666666668,14
31.25,16
31.333333333333332,17
31.416666666666668,14
31.5,13
31.583333333333332,15
31.666666666666668,15
31.75,16
31.833333333333332,15
31.916666666666668,16
32,14
32.083333333333336,16
32.166666666666664,17
32.25,14
32.333333333333336,15
32.416666666666664,15
32.5,13
32.583333333333336,15
32.666666666666664,15
32.75,15
32.833333333333336,15
32.916666666666664,17
33,14
33.083333333333336,16
33.166666666666664,16
33.25,14
33.333333333333336,16
33.416666666666664,14
33.5,13
33.583333333333336,17
33.666666666666664,14
33.75,15
33.833333333333336,14
33.916666666666664,14
34,15
34.083333333333336,14
34.166666666666664,13
34.25,15
34.333333333333336,13
34.416666666666664,16
34.5,15
34.583333333333336,14
34.666666666666664,16
34.75,14
34.833333333333336,13
34.916666666666664,16
35,17
35.083333333333336,13
35.166666666666664,17
35.25,15
35.333333333333336,15
35.416666666666664,15
35.5,14
35.583333333333336,15
35.666666666666664,14
35.75,13
35.833333333333336,15
35.916666666666664,13
36,14
36.083333333333336,14
36.166666666666664,13
36.25,15
36.333333333333336,15
36.416666666666664,15
36.5,15
36.583333333333336,15
36.666666666666664,14
36.75,14
36.833333333333336,17
36.916666666666664,16
37,13
37.083333333333336,16
37.166666666666664,17
37.25,15
37.333333333333336,15
37.416666666666664,16
37.5,16
37.583333333333336,15
37.666666666666664,14
37.75,15
37.833333333333336,15
37.916666666666664,16
38,13
38.083333333333336,14
38.166666666666664,14
38.25,16
38.333333333333336,15
38.416666666666664,16
38.5,17
38.583333333333336,17
38.666666666666664,15
38.75,13
38.833333333333336,15
38.916666666666664,15
39,17
39.083333333333336,14
39.166666666666664,14
39.25,14
39.333333333333336,16
39.416666666666664,14
39.5,14
39.583333333333336,15
39.666666666666664,14
39.75,14
39.833333333333336,16
39.916666666666664,14
40,13
40.083333333333336,15
40.166666666666664,14
40.25,16
40.333333333333336,15
40.416666666666664,16
40.5,13
40.583333333333336,15
40.666666666666664,15
40.75,17
40.833333333333336,17
40.916666666666664,14
41,17
41.083333333333336,13
41.166666666666664,14
41.25,15
41.333333333333336,15
41.416666666666664,14
41.5,15
41.583333333333336,16
41.666666666666664,16
41.75,17
41.833333333333336,15
41.916666666666664,14
42,16
42.083333333333336,16
42.166666666666664,13
42.25,17
42.333333333333336,15
42.416666666666664,13
42.5,14
42.583333333333336,15
42.666666666666664,13
42.75,17
42.833333333333336,15
42.916666666666664,16
43,16
43.083333333333336,15
43.166666666666664,16
43.25,14
43.333333333333336,16
43.416666666666664,13
43.5,14
43.583333333333336,14
43.666666666666664,13
43.75,14
43.833333333333336,17
43.916666666666664,13
44,14
44.083333333333336,14
44.166666666666664,14
44.25,15
44.333333333333336,17
44.416666666666664,15
44.5,14
44.583333333333336,13
44.666666666666664,14
44.75,15
44.833333333333336,17
44.916666666666664,16
45,14
45.083333333333336,14
45.166666666666664,16
45.25,15
45.333333333333336,15
45.416666666666664,15
45.5,16
45.583333333333336,13
45.666666666666664,14
45.75,17
45.833333333333336,15
45.916666666666664,14
46,15
46.083333333333336,15
46.166666666666664,13
46.25,14
46.333333333333336,16
46.416666666666664,15
46.5,17
46.583333333333336,14
46.666666666666664,17
46.75,15
46.833333333333336,17
46.916666666666664,15
47,16
47.083333333333336,17
47.166666666666664,15
47.25,15
47.333333333333336,17
47.416666666666664,16
47.5,15
47.583333333333336,14
47.666666666666664,16
47.75,14
47.833333333333336,14
47.916666666666664,16
