"Hours since thread went live","Girls Band Cry - Episode 8 discussion"
31.5,913
31.583333333333332,918
31.666666666666668,916
31.75,911
31.833333333333332,912
31.916666666666668,911
32,917
32.083333333333336,915
32.166666666666664,913
32.25,916
32.333333333333336,916
32.416666666666664,915
32.5,919
32.583333333333336,916
32.666666666666664,920
32.75,917
32.833333333333336,918
32.916666666666664,918
33,911
33.083333333333336,915
33.166666666666664,918
33.25,916
33.333333333333336,915
33.416666666666664,916
33.5,920
33.583333333333336,919
33.666666666666664,925
33.75,922
33.833333333333336,918
33.916666666666664,918
34,920
34.083333333333336,921
34.166666666666664,923
34.25,924
34.333333333333336,921
34.416666666666664,926
34.5,923
34.583333333333336,927
34.666666666666664,929
34.75,926
34.833333333333336,930
34.916666666666664,921
35,930
35.083333333333336,926
35.166666666666664,927
35.25,930
35.333333333333336,931
35.416666666666664,933
35.5,933
35.583333333333336,926
35.666666666666664,933
35.75,923
35.833333333333336,934
35.916666666666664,930
36,932
36.083333333333336,935
36.166666666666664,932
36.25,929
36.333333333333336,935
36.416666666666664,930
36.5,936
36.583333333333336,932
36.666666666666664,931
36.75,932
36.833333333333336,931
36.916666666666664,930
37,938
37.083333333333336,930
37.166666666666664,934
37.25,932
37.333333333333336,930
37.416666666666664,930
37.5,934
37.583333333333336,930
37.666666666666664,937
37.75,932
37.833333333333336,933
37.916666666666664,933
38,933
38.083333333333336,929
38.166666666666664,928
38.25,928
38.333333333333336,931
38.416666666666664,933
38.5,935
38.583333333333336,935
38.666666666666664,934
38.75,934
38.833333333333336,937
38.916666666666664,934
39,935
39.083333333333336,937
39.166666666666664,930
39.25,933
39.333333333333336,936
39.416666666666664,935
39.5,931
39.583333333333336,937
39.666666666666664,935
39.75,937
39.833333333333336,935
39.916666666666664,932
40,936
40.083333333333336,932
40.166666666666664,937
40.25,940
40.333333333333336,937
40.416666666666664,935
40.5,934
40.583333333333336,937
40.666666666666664,939
40.75,937
40.833333333333336,936
40.916666666666664,933
41,941
41.083333333333336,940
41.166666666666664,938
41.25,934
41.333333333333336,939
41.416666666666664,938
41.5,941
41.583333333333336,942
41.666666666666664,941
41.75,942
41.833333333333336,941
41.916666666666664,942
42,937
42.083333333333336,941
42.166666666666664,939
42.25,942
42.333333333333336,940
42.416666666666664,943
42.5,942
42.583333333333336,948
42.666666666666664,944
42.75,941
42.833333333333336,941
42.916666666666664,948
43,947
43.083333333333336,949
43.166666666666664,945
43.25,944
43.333333333333336,951
43.416666666666664,950
43.5,945
43.583333333333336,953
43.666666666666664,948
43.75,948
43.833333333333336,953
43.916666666666664,953
44,952
44.083333333333336,953
44.166666666666664,952
44.25,956
44.333333333333336,955
44.416666666666664,957
44.5,958
44.583333333333336,960
44.666666666666664,954
44.75,949
44.833333333333336,955
44.916666666666664,958
45,958
45.083333333333336,956
45.166666666666664,956
45.25,953
45.333333333333336,961
45.416666666666664,957
45.5,963
45.583333333333336,958
45.666666666666664,956
45.75,957
45.833333333333336,964
45.916666666666664,956
46,963
46.083333333333336,964
46.166666666666664,962
46.25,962
46.333333333333336,957
46.416666666666664,963
46.5,960
46.583333333333336,962
46.666666666666664,964
46.75,960
46.833333333333336,961
46.916666666666664,961
47,967
47.083333333333336,967
47.166666666666664,966
47.25,963
47.333333333333336,967
47.416666666666664,970
47.5,966
47.583333333333336,972
47.666666666666664,964
47.75,968
47.833333333333336,967
47.916666666666664,962
