"Hours since thread went live","Yoru no Kurage wa Oyogenai • Jellyfish Can't Swim in the Night - Episode 8 discussion"
23.166666666666668,1247
23.25,1250
23.333333333333332,1244
23.416666666666668,1249
23.5,1247
23.583333333333332,1252
23.666666666666668,1250
23.75,1254
23.833333333333332,1255
23.916666666666668,1249
24,1255
24.083333333333332,1255
24.166666666666668,1257
24.25,1257
24.333333333333332,1262
24.416666666666668,1262
24.5,1263
24.583333333333332,1259
24.666666666666668,1271
24.75,1270
24.833333333333332,1267
24.916666666666668,1271
25,1269
25.083333333333332,1263
25.166666666666668,1273
25.25,1273
25.333333333333332,1273
25.416666666666668,1274
25.5,1276
25.583333333333332,1277
25.666666666666668,1276
25.75,1278
25.833333333333332,1278
25.916666666666668,1275
26,1281
26.083333333333332,1276
26.166666666666668,1280
26.25,1280
26.333333333333332,1281
26.416666666666668,1281
26.5,1278
26.583333333333332,1278
26.666666666666668,1279
26.75,1276
26.833333333333332,1281
26.916666666666668,1287
27,1283
27.083333333333332,1286
27.166666666666668,1285
27.25,1285
27.333333333333332,1292
27.416666666666668,1287
27.5,1286
27.583333333333332,1291
27.666666666666668,1293
27.75,1290
27.833333333333332,1291
27.916666666666668,1292
28,1290
28.083333333333332,1294
28.166666666666668,1295
28.25,1295
28.333333333333332,1293
28.416666666666668,1300
28.5,1296
28.583333333333332,1293
28.666666666666668,1293
28.75,1297
28.833333333333332,1297
28.916666666666668,1300
29,1300
29.083333333333332,1303
29.166666666666668,1299
29.25,1301
29.333333333333332,1299
29.416666666666668,1302
29.5,1303
29.583333333333332,1305
29.666666666666668,1304
29.75,1306
29.833333333333332,1302
29.916666666666668,1307
30,1310
30.083333333333332,1307
30.166666666666668,1306
30.25,1300
30.333333333333332,1302
30.416666666666668,1309
30.5,1309
30.583333333333332,1309
30.666666666666668,1311
30.75,1308
30.833333333333332,1310
30.916666666666668,1309
31,1308
31.083333333333332,1312
31.166666666666668,1312
31.25,1314
31.333333333333332,1314
31.416666666666668,1312
31.5,1314
31.583333333333332,1318
31.666666666666668,1310
31.75,1311
31.833333333333332,1316
31.916666666666668,1313
32,1315
32.083333333333336,1318
32.166666666666664,1316
32.25,1319
32.333333333333336,1324
32.416666666666664,1321
32.5,1317
32.583333333333336,1322
32.666666666666664,1321
32.75,1321
32.833333333333336,1323
32.916666666666664,1319
33,1328
33.083333333333336,1327
33.166666666666664,1322
33.25,1323
33.333333333333336,1328
33.416666666666664,1330
33.5,1328
33.583333333333336,1331
33.666666666666664,1327
33.75,1330
33.833333333333336,1331
33.916666666666664,1331
34,1334
34.083333333333336,1329
34.166666666666664,1334
34.25,1334
34.333333333333336,1331
34.416666666666664,1333
34.5,1337
