"Hours since thread went live","Jigokuraku • Hell's Paradise - Episode 12 discussion"
21.583333333333332,2399
21.666666666666668,2392
21.75,2398
21.833333333333332,2395
21.916666666666668,2406
22,2407
22.083333333333332,2404
22.166666666666668,2413
22.25,2411
22.333333333333332,2415
22.416666666666668,2419
22.5,2421
22.583333333333332,2424
22.666666666666668,2425
22.75,2425
22.833333333333332,2433
22.916666666666668,2428
23,2429
23.083333333333332,2434
23.166666666666668,2432
23.25,2438
23.333333333333332,2432
23.416666666666668,2441
23.5,2440
23.583333333333332,2442
23.666666666666668,2438
23.75,2448
23.833333333333332,2447
23.916666666666668,2457
24,2452
24.083333333333332,2460
24.166666666666668,2462
24.25,2460
24.333333333333332,2463
24.416666666666668,2468
24.5,2466
24.583333333333332,2468
24.666666666666668,2476
24.75,2477
24.833333333333332,2471
24.916666666666668,2480
25,2482
25.083333333333332,2485
25.166666666666668,2489
25.25,2492
25.333333333333332,2494
25.416666666666668,2497
25.5,2503
25.583333333333332,2500
25.666666666666668,2510
25.75,2513
25.833333333333332,2515
25.916666666666668,2516
26,2516
26.083333333333332,2511
26.166666666666668,2521
26.25,2520
26.333333333333332,2522
26.416666666666668,2525
26.5,2525
26.583333333333332,2529
26.666666666666668,2526
26.75,2527
26.833333333333332,2529
26.916666666666668,2533
27,2539
27.083333333333332,2536
27.166666666666668,2537
27.25,2544
27.333333333333332,2539
27.416666666666668,2539
27.5,2544
27.583333333333332,2548
27.666666666666668,2548
27.75,2550
27.833333333333332,2552
27.916666666666668,2553
28,2557
28.083333333333332,2556
28.166666666666668,2559
28.25,2557
28.333333333333332,2561
28.416666666666668,2561
28.5,2570
28.583333333333332,2568
28.666666666666668,2566
28.75,2562
28.833333333333332,2571
28.916666666666668,2567
29,2569
29.083333333333332,2571
29.166666666666668,2570
29.25,2577
29.333333333333332,2580
29.416666666666668,2584
29.5,2585
29.583333333333332,2587
29.666666666666668,2588
29.75,2583
29.833333333333332,2583
29.916666666666668,2592
30,2588
30.083333333333332,2589
30.166666666666668,2595
30.25,2592
30.333333333333332,2593
30.416666666666668,2593
30.5,2596
30.583333333333332,2595
30.666666666666668,2599
30.75,2599
30.833333333333332,2601
30.916666666666668,2605
31,2610
31.083333333333332,2609
31.166666666666668,2608
31.25,2607
31.333333333333332,2608
31.416666666666668,2609
31.5,2618
31.583333333333332,2612
31.666666666666668,2622
31.75,2621
31.833333333333332,2615
31.916666666666668,2620
32,2615
32.083333333333336,2616
32.166666666666664,2619
32.25,2620
32.333333333333336,2616
32.416666666666664,2617
32.5,2624
32.583333333333336,2622
32.666666666666664,2628
32.75,2632
32.833333333333336,2628
32.916666666666664,2627
33,2635
33.083333333333336,2631
33.166666666666664,2629
33.25,2632
33.333333333333336,2630
33.416666666666664,2634
33.5,2639
33.583333333333336,2636
33.666666666666664,2636
33.75,2638
33.833333333333336,2634
33.916666666666664,2641
34,2639
34.083333333333336,2644
34.166666666666664,2639
34.25,2641
34.333333333333336,2647
34.416666666666664,2638
34.5,2647
34.583333333333336,2644
34.666666666666664,2645
34.75,2649
34.833333333333336,2647
34.916666666666664,2651
35,2649
35.083333333333336,2650
35.166666666666664,2651
35.25,2654
35.333333333333336,2657
35.416666666666664,2653
35.5,2655
35.583333333333336,2658
35.666666666666664,2664
35.75,2665
35.833333333333336,2670
35.916666666666664,2663
36,2664
36.083333333333336,2672
36.166666666666664,2668
36.25,2671
36.333333333333336,2678
36.416666666666664,2672
36.5,2670
36.583333333333336,2672
36.666666666666664,2677
36.75,2673
36.833333333333336,2677
36.916666666666664,2681
37,2684
37.083333333333336,2680
37.166666666666664,2678
37.25,2687
37.333333333333336,2683
37.416666666666664,2685
37.5,2685
37.583333333333336,2683
37.666666666666664,2688
37.75,2684
37.833333333333336,2686
37.916666666666664,2684
38,2684
38.083333333333336,2686
38.166666666666664,2682
38.25,2689
38.333333333333336,2690
38.416666666666664,2691
38.5,2689
38.583333333333336,2687
38.666666666666664,2692
38.75,2690
38.833333333333336,2695
38.916666666666664,2695
39,2693
39.083333333333336,2693
39.166666666666664,2692
39.25,2690
39.333333333333336,2697
39.416666666666664,2691
39.5,2696
39.583333333333336,2699
39.666666666666664,2699
39.75,2697
39.833333333333336,2697
39.916666666666664,2704
40,2700
40.083333333333336,2700
40.166666666666664,2705
40.25,2700
40.333333333333336,2704
40.416666666666664,2705
40.5,2703
40.583333333333336,2701
40.666666666666664,2700
40.75,2698
40.833333333333336,2706
40.916666666666664,2704
41,2706
41.083333333333336,2711
41.166666666666664,2707
41.25,2709
41.333333333333336,2707
41.416666666666664,2706
41.5,2709
41.583333333333336,2704
41.666666666666664,2709
41.75,2703
41.833333333333336,2708
41.916666666666664,2708
42,2709
42.083333333333336,2713
42.166666666666664,2715
42.25,2710
42.333333333333336,2715
42.416666666666664,2713
42.5,2713
42.583333333333336,2712
42.666666666666664,2719
42.75,2714
42.833333333333336,2713
42.916666666666664,2713
43,2720
43.083333333333336,2717
43.166666666666664,2715
43.25,2715
43.333333333333336,2721
43.416666666666664,2716
43.5,2718
43.583333333333336,2714
43.666666666666664,2713
43.75,2718
43.833333333333336,2715
43.916666666666664,2724
44,2717
44.083333333333336,2720
44.166666666666664,2721
44.25,2722
44.333333333333336,2727
44.416666666666664,2722
44.5,2723
44.583333333333336,2722
44.666666666666664,2726
44.75,2721
44.833333333333336,2720
44.916666666666664,2727
45,2727
45.083333333333336,2727
45.166666666666664,2723
45.25,2722
45.333333333333336,2727
45.416666666666664,2733
45.5,2732
45.583333333333336,2728
45.666666666666664,2731
45.75,2728
45.833333333333336,2731
45.916666666666664,2728
46,2734
46.083333333333336,2726
46.166666666666664,2731
46.25,2726
46.333333333333336,2724
46.416666666666664,2726
46.5,2730
46.583333333333336,2728
46.666666666666664,2726
46.75,2736
46.833333333333336,2726
46.916666666666664,2733
47,2728
47.083333333333336,2734
47.166666666666664,2735
47.25,2738
47.333333333333336,2738
47.416666666666664,2737
47.5,2739
47.583333333333336,2737
47.666666666666664,2738
47.75,2747
47.833333333333336,2741
47.916666666666664,2742
