"Hours since thread went live","Boku no Kokoro no Yabai Yatsu Season 2 • The Dangers in My Heart Season 2 - Episode 11 discussion"
39.75,1564
39.833333333333336,1563
39.916666666666664,1563
40,1562
40.083333333333336,1564
40.166666666666664,1564
40.25,1566
40.333333333333336,1568
40.416666666666664,1566
40.5,1566
40.583333333333336,1566
40.666666666666664,1560
40.75,1569
40.833333333333336,1571
40.916666666666664,1567
41,1565
41.083333333333336,1563
41.166666666666664,1566
41.25,1567
41.333333333333336,1567
41.416666666666664,1570
41.5,1563
41.583333333333336,1569
41.666666666666664,1571
41.75,1563
41.833333333333336,1570
41.916666666666664,1570
42,1569
42.083333333333336,1573
42.166666666666664,1569
42.25,1570
42.333333333333336,1565
42.416666666666664,1569
42.5,1564
42.583333333333336,1569
42.666666666666664,1571
42.75,1571
42.833333333333336,1566
42.916666666666664,1572
43,1569
43.083333333333336,1569
43.166666666666664,1575
43.25,1570
43.333333333333336,1569
43.416666666666664,1571
43.5,1575
43.583333333333336,1574
43.666666666666664,1573
43.75,1573
43.833333333333336,1575
43.916666666666664,1577
44,1572
44.083333333333336,1569
44.166666666666664,1575
44.25,1578
44.333333333333336,1575
44.416666666666664,1574
44.5,1574
44.583333333333336,1578
44.666666666666664,1576
44.75,1575
44.833333333333336,1572
44.916666666666664,1578
45,1578
45.083333333333336,1575
45.166666666666664,1580
45.25,1577
45.333333333333336,1579
45.416666666666664,1580
45.5,1582
45.583333333333336,1582
45.666666666666664,1582
45.75,1576
45.833333333333336,1577
45.916666666666664,1584
46,1580
46.083333333333336,1579
46.166666666666664,1576
46.25,1580
46.333333333333336,1576
46.416666666666664,1584
46.5,1580
46.583333333333336,1579
46.666666666666664,1581
46.75,1585
46.833333333333336,1579
46.916666666666664,1579
47,1584
47.083333333333336,1578
47.166666666666664,1582
47.25,1585
47.333333333333336,1575
47.416666666666664,1580
47.5,1582
47.583333333333336,1584
47.666666666666664,1579
47.75,1581
47.833333333333336,1583
47.916666666666664,1576
