"Hours since thread went live","One Piece - Episode 1100 discussion"
46.833333333333336,742
46.916666666666664,738
47,744
47.083333333333336,740
47.166666666666664,737
47.25,742
47.333333333333336,740
47.416666666666664,745
47.5,738
47.583333333333336,745
47.666666666666664,744
47.75,741
47.833333333333336,740
47.916666666666664,739
