"Hours since thread went live","Kenka Dokugaku • Viral Hit - Episode 1 discussion"
33.75,216
33.833333333333336,215
33.916666666666664,215
34,218
34.083333333333336,216
34.166666666666664,219
34.25,219
34.333333333333336,218
34.416666666666664,215
34.5,219
34.583333333333336,216
34.666666666666664,223
34.75,221
34.833333333333336,220
34.916666666666664,221
35,220
35.083333333333336,221
35.166666666666664,224
35.25,223
35.333333333333336,220
35.416666666666664,221
35.5,221
35.583333333333336,220
35.666666666666664,223
35.75,221
35.833333333333336,222
35.916666666666664,219
36,221
36.083333333333336,225
36.166666666666664,224
36.25,223
36.333333333333336,225
36.416666666666664,221
36.5,225
36.583333333333336,222
36.666666666666664,226
36.75,225
36.833333333333336,222
36.916666666666664,227
37,224
37.083333333333336,221
37.166666666666664,222
37.25,221
37.333333333333336,220
37.416666666666664,224
37.5,219
37.583333333333336,221
37.666666666666664,222
37.75,224
37.833333333333336,224
37.916666666666664,222
38,223
38.083333333333336,223
38.166666666666664,224
38.25,225
38.333333333333336,220
38.416666666666664,226
38.5,227
38.583333333333336,221
38.666666666666664,222
38.75,223
38.833333333333336,225
38.916666666666664,224
39,222
39.083333333333336,226
39.166666666666664,223
39.25,226
39.333333333333336,225
39.416666666666664,223
39.5,224
39.583333333333336,224
39.666666666666664,224
39.75,220
39.833333333333336,226
39.916666666666664,226
40,227
40.083333333333336,225
40.166666666666664,226
40.25,223
40.333333333333336,223
40.416666666666664,224
40.5,223
40.583333333333336,223
40.666666666666664,221
40.75,224
40.833333333333336,222
40.916666666666664,225
41,225
41.083333333333336,226
41.166666666666664,228
41.25,226
41.333333333333336,228
41.416666666666664,225
41.5,225
41.583333333333336,222
41.666666666666664,225
41.75,229
41.833333333333336,228
41.916666666666664,225
42,227
42.083333333333336,226
42.166666666666664,227
42.25,228
42.333333333333336,226
42.416666666666664,227
42.5,223
42.583333333333336,225
42.666666666666664,226
42.75,224
42.833333333333336,231
42.916666666666664,227
43,229
43.083333333333336,230
43.166666666666664,226
43.25,231
43.333333333333336,228
43.416666666666664,231
43.5,228
43.583333333333336,225
43.666666666666664,225
43.75,228
43.833333333333336,227
43.916666666666664,230
44,229
44.083333333333336,229
44.166666666666664,231
44.25,230
44.333333333333336,229
44.416666666666664,228
44.5,231
44.583333333333336,227
44.666666666666664,232
44.75,227
44.833333333333336,229
44.916666666666664,233
45,229
45.083333333333336,228
45.166666666666664,233
45.25,231
45.333333333333336,229
45.416666666666664,229
45.5,228
45.583333333333336,231
45.666666666666664,230
45.75,229
45.833333333333336,233
45.916666666666664,229
46,231
46.083333333333336,228
46.166666666666664,229
46.25,228
46.333333333333336,229
46.416666666666664,230
46.5,228
46.583333333333336,226
46.666666666666664,230
46.75,232
46.833333333333336,228
46.916666666666664,229
47,231
47.083333333333336,229
47.166666666666664,231
47.25,231
47.333333333333336,230
47.416666666666664,233
47.5,231
47.583333333333336,231
47.666666666666664,231
47.75,233
47.833333333333336,229
47.916666666666664,228
