"Hours since thread went live","Kage no Jitsuryokusha ni Naritakute! Season 2 • The Eminence in Shadow Season 2 - Episode 7 discussion"
23.166666666666668,2227
23.25,2231
23.333333333333332,2234
23.416666666666668,2239
23.5,2240
23.583333333333332,2246
23.666666666666668,2241
23.75,2245
23.833333333333332,2247
23.916666666666668,2256
24,2254
24.083333333333332,2258
24.166666666666668,2256
24.25,2260
24.333333333333332,2265
24.416666666666668,2264
24.5,2267
24.583333333333332,2261
24.666666666666668,2261
24.75,2269
24.833333333333332,2266
24.916666666666668,2270
25,2265
25.083333333333332,2271
25.166666666666668,2272
25.25,2273
25.333333333333332,2270
25.416666666666668,2276
25.5,2288
25.583333333333332,2289
25.666666666666668,2284
25.75,2287
25.833333333333332,2295
25.916666666666668,2299
26,2294
26.083333333333332,2300
26.166666666666668,2297
26.25,2300
26.333333333333332,2298
26.416666666666668,2299
26.5,2306
26.583333333333332,2310
26.666666666666668,2306
26.75,2310
26.833333333333332,2310
26.916666666666668,2313
27,2308
27.083333333333332,2311
27.166666666666668,2314
27.25,2320
27.333333333333332,2322
27.416666666666668,2316
27.5,2322
27.583333333333332,2318
27.666666666666668,2320
27.75,2320
27.833333333333332,2327
27.916666666666668,2327
28,2328
28.083333333333332,2329
28.166666666666668,2324
28.25,2324
28.333333333333332,2331
28.416666666666668,2334
28.5,2334
28.583333333333332,2332
28.666666666666668,2340
28.75,2338
28.833333333333332,2337
28.916666666666668,2344
29,2336
29.083333333333332,2341
29.166666666666668,2340
29.25,2341
29.333333333333332,2343
29.416666666666668,2343
29.5,2347
29.583333333333332,2348
29.666666666666668,2344
29.75,2343
29.833333333333332,2345
29.916666666666668,2349
30,2346
30.083333333333332,2347
30.166666666666668,2352
30.25,2355
30.333333333333332,2352
30.416666666666668,2360
30.5,2354
30.583333333333332,2360
30.666666666666668,2363
30.75,2358
30.833333333333332,2355
30.916666666666668,2360
31,2354
31.083333333333332,2368
31.166666666666668,2364
31.25,2364
31.333333333333332,2365
31.416666666666668,2362
31.5,2361
31.583333333333332,2371
31.666666666666668,2368
31.75,2368
31.833333333333332,2369
31.916666666666668,2366
32,2365
32.083333333333336,2372
32.166666666666664,2365
32.25,2376
32.333333333333336,2374
32.416666666666664,2370
32.5,2373
32.583333333333336,2372
32.666666666666664,2373
32.75,2377
32.833333333333336,2374
32.916666666666664,2377
33,2381
33.083333333333336,2379
33.166666666666664,2386
33.25,2383
33.333333333333336,2380
33.416666666666664,2379
33.5,2389
33.583333333333336,2393
33.666666666666664,2389
33.75,2389
33.833333333333336,2386
33.916666666666664,2394
34,2391
34.083333333333336,2399
34.166666666666664,2398
34.25,2399
34.333333333333336,2401
34.416666666666664,2401
34.5,2396
34.583333333333336,2395
34.666666666666664,2401
34.75,2404
34.833333333333336,2399
34.916666666666664,2398
35,2402
35.083333333333336,2405
35.166666666666664,2405
35.25,2405
35.333333333333336,2407
35.416666666666664,2410
35.5,2407
35.583333333333336,2402
35.666666666666664,2410
35.75,2411
35.833333333333336,2406
35.916666666666664,2405
36,2410
36.083333333333336,2408
36.166666666666664,2415
36.25,2412
36.333333333333336,2408
36.416666666666664,2411
36.5,2409
36.583333333333336,2415
36.666666666666664,2414
36.75,2409
36.833333333333336,2411
36.916666666666664,2411
37,2419
37.083333333333336,2413
37.166666666666664,2420
37.25,2419
37.333333333333336,2418
37.416666666666664,2416
37.5,2420
37.583333333333336,2419
37.666666666666664,2424
37.75,2418
37.833333333333336,2416
37.916666666666664,2422
38,2417
38.083333333333336,2418
38.166666666666664,2426
38.25,2427
38.333333333333336,2422
38.416666666666664,2424
38.5,2425
38.583333333333336,2423
38.666666666666664,2429
38.75,2427
38.833333333333336,2431
38.916666666666664,2427
39,2430
39.083333333333336,2433
39.166666666666664,2433
39.25,2426
39.333333333333336,2431
39.416666666666664,2429
39.5,2429
39.583333333333336,2434
39.666666666666664,2435
39.75,2430
39.833333333333336,2433
39.916666666666664,2432
40,2435
40.083333333333336,2437
40.166666666666664,2430
40.25,2433
40.333333333333336,2432
40.416666666666664,2431
40.5,2436
40.583333333333336,2437
40.666666666666664,2434
40.75,2432
40.833333333333336,2443
40.916666666666664,2441
41,2441
41.083333333333336,2442
41.166666666666664,2445
41.25,2440
41.333333333333336,2446
41.416666666666664,2439
41.5,2446
41.583333333333336,2444
41.666666666666664,2445
41.75,2448
41.833333333333336,2449
41.916666666666664,2448
42,2451
42.083333333333336,2447
42.166666666666664,2448
42.25,2447
42.333333333333336,2443
42.416666666666664,2448
42.5,2443
