"Hours since thread went live","Re:Monster - Episode 8 discussion"
24.333333333333332,118
24.416666666666668,112
24.5,114
24.583333333333332,112
24.666666666666668,110
24.75,111
24.833333333333332,113
24.916666666666668,115
25,111
25.083333333333332,117
25.166666666666668,113
25.25,110
25.333333333333332,113
25.416666666666668,110
25.5,111
25.583333333333332,113
25.666666666666668,114
25.75,112
25.833333333333332,110
25.916666666666668,110
26,115
26.083333333333332,116
26.166666666666668,111
26.25,114
26.333333333333332,116
26.416666666666668,110
26.5,111
26.583333333333332,116
26.666666666666668,114
26.75,113
26.833333333333332,112
26.916666666666668,111
27,113
27.083333333333332,113
27.166666666666668,111
27.25,117
27.333333333333332,110
27.416666666666668,118
27.5,117
27.583333333333332,117
27.666666666666668,116
27.75,111
27.833333333333332,114
27.916666666666668,113
28,112
28.083333333333332,114
28.166666666666668,113
28.25,117
28.333333333333332,114
28.416666666666668,117
28.5,115
28.583333333333332,116
28.666666666666668,114
28.75,115
28.833333333333332,119
28.916666666666668,116
29,113
29.083333333333332,115
29.166666666666668,115
29.25,116
29.333333333333332,115
29.416666666666668,118
29.5,117
29.583333333333332,117
29.666666666666668,114
29.75,115
29.833333333333332,114
29.916666666666668,114
30,114
30.083333333333332,117
30.166666666666668,120
30.25,114
30.333333333333332,114
30.416666666666668,114
30.5,116
30.583333333333332,112
30.666666666666668,112
30.75,113
30.833333333333332,116
30.916666666666668,119
31,115
31.083333333333332,117
31.166666666666668,115
31.25,119
31.333333333333332,113
31.416666666666668,116
31.5,116
31.583333333333332,120
31.666666666666668,117
31.75,120
31.833333333333332,118
31.916666666666668,121
32,118
32.083333333333336,119
32.166666666666664,120
32.25,120
32.333333333333336,121
32.416666666666664,121
32.5,118
32.583333333333336,118
32.666666666666664,118
32.75,118
32.833333333333336,116
32.916666666666664,121
33,120
33.083333333333336,120
33.166666666666664,124
33.25,119
33.333333333333336,121
33.416666666666664,119
33.5,121
33.583333333333336,118
33.666666666666664,121
33.75,121
33.833333333333336,123
33.916666666666664,122
34,120
34.083333333333336,121
34.166666666666664,117
34.25,118
34.333333333333336,122
34.416666666666664,121
34.5,119
34.583333333333336,125
34.666666666666664,119
34.75,122
34.833333333333336,121
34.916666666666664,120
35,119
35.083333333333336,123
35.166666666666664,124
35.25,124
35.333333333333336,122
35.416666666666664,119
35.5,123
35.583333333333336,121
35.666666666666664,123
35.75,123
35.833333333333336,122
35.916666666666664,121
36,122
36.083333333333336,124
36.166666666666664,121
36.25,120
36.333333333333336,124
36.416666666666664,126
36.5,122
36.583333333333336,124
36.666666666666664,121
36.75,123
36.833333333333336,124
36.916666666666664,121
37,122
37.083333333333336,126
37.166666666666664,125
37.25,127
37.333333333333336,123
37.416666666666664,126
37.5,128
37.583333333333336,126
37.666666666666664,123
37.75,121
37.833333333333336,127
37.916666666666664,123
38,125
38.083333333333336,122
38.166666666666664,125
38.25,126
38.333333333333336,126
38.416666666666664,128
38.5,124
38.583333333333336,129
38.666666666666664,128
38.75,127
38.833333333333336,125
38.916666666666664,124
39,126
39.083333333333336,126
39.166666666666664,127
39.25,125
39.333333333333336,126
39.416666666666664,124
39.5,127
39.583333333333336,129
39.666666666666664,126
39.75,126
39.833333333333336,127
39.916666666666664,124
40,125
40.083333333333336,127
40.166666666666664,128
40.25,130
40.333333333333336,127
40.416666666666664,127
40.5,130
40.583333333333336,127
40.666666666666664,126
40.75,125
40.833333333333336,128
40.916666666666664,130
41,127
41.083333333333336,123
41.166666666666664,126
41.25,130
41.333333333333336,125
41.416666666666664,124
41.5,126
41.583333333333336,129
41.666666666666664,126
41.75,125
41.833333333333336,128
41.916666666666664,127
42,122
42.083333333333336,127
42.166666666666664,126
42.25,128
42.333333333333336,128
42.416666666666664,126
42.5,127
42.583333333333336,123
42.666666666666664,130
42.75,127
42.833333333333336,127
42.916666666666664,127
43,126
43.083333333333336,124
43.166666666666664,126
43.25,124
43.333333333333336,128
43.416666666666664,127
43.5,127
43.583333333333336,128
43.666666666666664,126
43.75,124
43.833333333333336,125
43.916666666666664,127
44,127
44.083333333333336,123
44.166666666666664,125
44.25,124
44.333333333333336,129
44.416666666666664,127
44.5,127
44.583333333333336,123
44.666666666666664,125
44.75,126
44.833333333333336,125
44.916666666666664,127
45,126
45.083333333333336,124
45.166666666666664,125
45.25,125
45.333333333333336,128
45.416666666666664,129
45.5,126
45.583333333333336,126
45.666666666666664,122
45.75,125
45.833333333333336,124
45.916666666666664,126
46,121
46.083333333333336,124
46.166666666666664,128
46.25,125
46.333333333333336,125
46.416666666666664,124
46.5,122
46.583333333333336,123
46.666666666666664,123
46.75,126
46.833333333333336,129
46.916666666666664,127
47,124
47.083333333333336,122
47.166666666666664,127
47.25,123
47.333333333333336,128
47.416666666666664,122
47.5,126
47.583333333333336,123
47.666666666666664,129
47.75,128
47.833333333333336,129
47.916666666666664,128
