"Hours since thread went live","Shinkalion: Change the World - Episode 6 discussion"
35.583333333333336,6
35.666666666666664,4
35.75,8
35.833333333333336,6
35.916666666666664,6
36,8
36.083333333333336,6
36.166666666666664,6
36.25,8
36.333333333333336,7
36.416666666666664,6
36.5,8
36.583333333333336,6
36.666666666666664,7
36.75,8
36.833333333333336,7
36.916666666666664,5
37,6
37.083333333333336,6
37.166666666666664,6
37.25,7
37.333333333333336,7
37.416666666666664,8
37.5,9
37.583333333333336,7
37.666666666666664,7
37.75,7
37.833333333333336,6
37.916666666666664,7
38,5
38.083333333333336,6
38.166666666666664,7
38.25,8
38.333333333333336,8
38.416666666666664,7
38.5,5
38.583333333333336,7
38.666666666666664,9
38.75,6
38.833333333333336,5
38.916666666666664,6
39,9
39.083333333333336,8
39.166666666666664,9
39.25,9
39.333333333333336,7
39.416666666666664,7
39.5,8
39.583333333333336,6
39.666666666666664,6
39.75,5
39.833333333333336,8
39.916666666666664,8
40,7
40.083333333333336,6
40.166666666666664,8
40.25,5
40.333333333333336,6
40.416666666666664,8
40.5,7
40.583333333333336,9
40.666666666666664,8
40.75,8
40.833333333333336,8
40.916666666666664,6
41,7
41.083333333333336,9
41.166666666666664,5
41.25,7
41.333333333333336,7
41.416666666666664,7
41.5,7
41.583333333333336,8
41.666666666666664,7
41.75,9
41.833333333333336,5
41.916666666666664,6
42,6
42.083333333333336,9
42.166666666666664,5
42.25,8
42.333333333333336,6
42.416666666666664,8
42.5,7
42.583333333333336,5
42.666666666666664,8
42.75,5
42.833333333333336,7
42.916666666666664,9
43,8
43.083333333333336,9
43.166666666666664,6
43.25,8
43.333333333333336,8
43.416666666666664,9
43.5,9
43.583333333333336,8
43.666666666666664,9
43.75,7
43.833333333333336,8
43.916666666666664,8
44,6
44.083333333333336,10
44.166666666666664,6
44.25,8
44.333333333333336,8
44.416666666666664,8
44.5,10
44.583333333333336,9
44.666666666666664,9
44.75,10
44.833333333333336,7
44.916666666666664,8
45,6
45.083333333333336,8
45.166666666666664,9
45.25,7
45.333333333333336,9
45.416666666666664,9
45.5,6
45.583333333333336,10
45.666666666666664,10
45.75,9
45.833333333333336,9
45.916666666666664,6
46,9
46.083333333333336,9
46.166666666666664,8
46.25,8
46.333333333333336,7
46.416666666666664,9
46.5,7
46.583333333333336,9
46.666666666666664,8
46.75,9
46.833333333333336,9
46.916666666666664,8
47,6
47.083333333333336,8
47.166666666666664,10
47.25,9
47.333333333333336,8
47.416666666666664,8
47.5,7
47.583333333333336,7
47.666666666666664,10
47.75,8
47.833333333333336,8
47.916666666666664,8
