"Hours since thread went live","Kusuriya no Hitorigoto • The Apothecary Diaries - Episode 8 discussion"
34.75,2315
34.833333333333336,2312
34.916666666666664,2319
35,2310
35.083333333333336,2318
35.166666666666664,2315
35.25,2319
35.333333333333336,2319
35.416666666666664,2319
35.5,2317
35.583333333333336,2324
35.666666666666664,2323
35.75,2319
35.833333333333336,2319
35.916666666666664,2322
36,2325
36.083333333333336,2323
36.166666666666664,2324
36.25,2326
36.333333333333336,2328
36.416666666666664,2330
36.5,2325
36.583333333333336,2328
36.666666666666664,2330
36.75,2332
36.833333333333336,2335
36.916666666666664,2327
37,2333
37.083333333333336,2334
37.166666666666664,2335
37.25,2329
37.333333333333336,2334
37.416666666666664,2337
37.5,2334
37.583333333333336,2339
37.666666666666664,2336
37.75,2332
37.833333333333336,2339
37.916666666666664,2337
38,2336
38.083333333333336,2340
38.166666666666664,2333
38.25,2337
38.333333333333336,2333
38.416666666666664,2337
38.5,2341
38.583333333333336,2344
38.666666666666664,2336
38.75,2343
38.833333333333336,2340
38.916666666666664,2338
39,2341
39.083333333333336,2338
39.166666666666664,2343
39.25,2344
39.333333333333336,2341
39.416666666666664,2338
39.5,2342
39.583333333333336,2335
39.666666666666664,2337
39.75,2336
39.833333333333336,2347
39.916666666666664,2341
40,2346
40.083333333333336,2340
40.166666666666664,2339
40.25,2341
40.333333333333336,2339
40.416666666666664,2338
40.5,2346
40.583333333333336,2338
40.666666666666664,2340
40.75,2344
40.833333333333336,2339
40.916666666666664,2344
41,2348
41.083333333333336,2355
41.166666666666664,2350
41.25,2353
41.333333333333336,2351
41.416666666666664,2356
41.5,2348
41.583333333333336,2349
41.666666666666664,2352
41.75,2348
41.833333333333336,2350
41.916666666666664,2354
42,2353
42.083333333333336,2348
42.166666666666664,2350
42.25,2354
42.333333333333336,2352
42.416666666666664,2351
42.5,2354
42.583333333333336,2356
42.666666666666664,2359
42.75,2353
42.833333333333336,2356
42.916666666666664,2360
43,2356
43.083333333333336,2357
43.166666666666664,2356
43.25,2360
43.333333333333336,2363
43.416666666666664,2358
43.5,2357
43.583333333333336,2362
43.666666666666664,2362
43.75,2357
43.833333333333336,2359
43.916666666666664,2359
44,2357
44.083333333333336,2355
44.166666666666664,2356
44.25,2363
44.333333333333336,2357
44.416666666666664,2362
44.666666666666664,2362
44.75,2359
44.833333333333336,2363
44.916666666666664,2363
45,2368
45.083333333333336,2365
45.166666666666664,2362
45.25,2368
45.333333333333336,2361
45.416666666666664,2364
45.5,2368
45.583333333333336,2369
45.666666666666664,2370
45.75,2368
45.833333333333336,2369
45.916666666666664,2360
46,2365
46.083333333333336,2364
46.166666666666664,2371
46.25,2366
46.333333333333336,2366
46.416666666666664,2366
46.5,2363
46.583333333333336,2368
46.666666666666664,2367
46.75,2371
46.833333333333336,2369
46.916666666666664,2370
47,2370
47.083333333333336,2368
47.166666666666664,2365
47.25,2373
47.333333333333336,2365
47.416666666666664,2365
47.5,2364
47.583333333333336,2367
47.666666666666664,2368
47.75,2366
47.916666666666664,2368
